CLIENT_IP_ADDRESS SERVER_IP_ADDRESS CLIENT_L4_PORT SERVER_L4_PORT TIME_ABS_START TIME_REL_START TIME_REL_END TIME_BIN_DELTA C_PKTS_ALL C_RSTS_PKTS C_ACKS_PKTS C_PURE_ACKS_PKTS C_BYTES C_PKTS_WITH_DATA C_BYTES_ALL C_PKTS_RETX C_BYTS_RETX S_PKTS_ALL S_RSTS_PKTS S_ACKS_PKTS S_PURE_ACKS_PKTS S_BYTES S_PKTS_WITH_DATA S_BYTES_ALL S_PKTS_RETX S_BYTS_RETX
192.168.2.55 31.13.86.36 60746 443 3987.29833984375 0.0 529.291 529.291 15 0 14 10 750 3 750 0 0 23 0 23 4 26756 17 26756 0 0
192.168.2.55 23.40.157.96 60747 443 5263.130615234375 0.0 892.139 892.139 11 0 10 5 2074 4 2074 0 0 14 1 13 1 13963 9 13963 1 0
192.168.2.55 18.154.156.167 60748 443 6772.420654296875 0.0 822.05 822.05 11 0 10 6 748 3 748 0 0 12 0 12 4 7147 6 7293 1 146
192.168.2.55 185.15.58.224 60749 443 8084.224609375 0.0 323.259 323.259 11 1 10 5 767 3 767 0 0 16 0 16 4 28066 11 28066 0 0
192.168.2.55 23.40.157.96 60750 443 9915.681640625 0.0 927.916 927.916 8 0 7 2 1667 4 1667 0 0 7 0 7 1 1856 4 1856 0 0
192.168.2.55 23.40.157.96 60750 443 10967.726318359375 1052.045 1052.045 0.0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0
192.168.2.55 104.244.42.1 60751 443 10822.5537109375 0.0 496.909 496.909 7 0 6 3 765 3 765 0 0 8 0 8 3 4405 4 4405 0 0
192.168.2.55 104.244.42.1 60753 443 11997.17431640625 0.0 783.596 783.596 10 1 9 4 755 3 755 0 0 11 0 11 4 10317 6 10317 0 0
192.168.2.55 104.244.42.1 60751 443 12711.20361328125 1888.65 1958.319 69.669 2 1 2 0 0 0 0 0 0 2 0 2 1 24 1 24 0 0
192.168.2.55 104.120.111.190 60754 443 12854.82763671875 0.0 473.36 473.36 8 0 7 3 870 3 870 0 0 10 1 9 1 4921 5 4921 1 0
192.168.2.55 23.52.38.143 60755 443 13670.154296875 0.0 680.998 680.998 10 0 9 5 1654 3 1654 0 0 12 1 11 2 5891 7 6132 1 241
192.168.2.55 13.107.42.14 60757 443 13733.515625 0.0 916.023 916.023 11 0 10 6 887 3 887 0 0 18 0 18 3 24908 14 24908 0 0
192.168.2.55 13.107.42.14 60757 443 14757.482666015625 1023.967 1024.114 0.147 1 0 1 1 0 0 0 0 0 2 0 2 1 0 0 0 0 0
192.168.2.55 23.52.38.143 60764 443 14275.695556640625 0.0 951.275 951.275 7 0 6 2 2885 4 2885 0 0 6 0 6 2 1988 3 1988 0 0
192.168.2.55 157.240.203.174 60765 443 15255.839599609375 0.0 954.049 954.049 12 0 11 8 751 3 751 0 0 34 0 34 3 70012 30 70012 0 0
192.168.2.55 157.240.203.174 60765 443 16292.357666015625 1036.518 1138.688 102.17 10 0 10 9 0 0 0 0 0 16 0 16 1 32509 14 32509 0 0
192.168.2.55 23.52.38.143 60764 443 15306.78564453125 1031.09 1434.694 403.604 1 0 1 1 0 0 0 0 0 4 0 4 1 1895 3 2390 1 495
192.168.2.55 151.101.241.140 60769 443 17329.350341796875 0.0 613.453 613.453 8 1 7 3 748 3 748 0 0 8 0 8 3 5423 4 5423 0 0
192.168.2.55 23.40.157.96 60770 443 17941.99560546875 0.0 392.301 392.301 8 1 7 4 517 1 517 0 0 12 0 12 1 11504 9 11504 0 0
192.168.2.55 151.101.241.140 60772 443 17944.568603515625 0.0 814.751 814.751 42 1 41 36 835 3 835 0 0 112 0 112 4 100983 107 100983 0 0
192.168.2.55 23.51.48.42 60775 443 18760.288330078125 0.0 721.05 721.05 6 0 5 2 1340 3 1340 0 0 6 0 6 1 4594 4 4594 0 0
192.168.2.55 23.51.48.42 60776 443 18760.4775390625 0.0 721.012 721.012 7 0 6 3 1312 3 1312 0 0 5 0 5 1 4596 3 4596 0 0
192.168.2.55 23.51.48.42 60778 443 18760.74951171875 0.0 721.282 721.282 7 0 6 3 1312 3 1312 0 0 5 0 5 1 4596 3 4596 0 0
192.168.2.55 23.51.48.42 60780 443 18760.980712890625 0.0 721.642 721.642 7 0 6 3 1312 3 1312 0 0 6 0 6 1 4595 4 4595 0 0
192.168.2.55 23.51.48.42 60779 443 18760.86669921875 0.0 721.402 721.402 6 0 5 2 1312 3 1312 0 0 6 0 6 1 4596 4 4596 0 0
192.168.2.55 23.51.48.42 60777 443 18760.59765625 0.0 721.199 721.199 6 0 5 2 1312 3 1312 0 0 6 0 6 1 4595 4 4595 0 0
192.168.2.55 23.40.157.96 60774 443 18248.168701171875 0.0 511.332 511.332 10 0 9 6 1221 3 1221 0 0 12 0 12 1 13382 10 13382 0 0
192.168.2.55 2.22.32.177 60785 443 20420.051513671875 0.0 328.711 328.711 5 1 4 1 517 1 517 0 0 3 0 3 1 1400 1 1400 0 0
192.168.2.55 2.22.32.204 60800 443 20593.84765625 0.0 393.56 393.56 5 1 4 1 517 1 517 0 0 4 0 4 1 4096 2 4096 0 0
192.168.2.55 2.22.32.204 60801 443 20642.99169921875 0.0 456.117 456.117 5 1 4 1 517 1 517 0 0 3 0 3 1 1400 1 1400 0 0
192.168.2.55 2.22.32.204 60802 443 20643.651611328125 0.0 456.795 456.795 5 1 4 1 517 1 517 0 0 4 0 4 1 4096 2 4096 0 0
192.168.2.55 2.22.33.86 60781 443 20025.34228515625 0.0 979.06 979.06 16 0 15 12 746 3 746 0 0 25 0 25 3 79980 21 79980 0 0
192.168.2.55 2.22.33.86 60781 443 21221.2626953125 1195.92 1319.24 123.32 3 1 3 1 0 0 0 0 0 4 0 4 1 3076 3 3076 0 0
192.168.2.55 23.214.205.236 60784 443 20382.2275390625 0.0 991.047 991.047 42 0 41 38 1267 3 1267 0 0 68 0 68 2 164217 65 164217 0 0
192.168.2.55 2.22.32.204 60792 443 20502.272705078125 0.0 855.532 855.532 30 0 29 5 3231 24 3231 0 0 18 0 18 7 23527 10 23527 0 0
192.168.2.55 2.22.32.177 60783 443 20380.904296875 0.0 978.109 978.109 59 0 58 41 2726 17 2726 0 0 61 0 61 4 121445 56 121445 0 0
192.168.2.55 23.40.157.96 60774 443 20555.856689453125 2307.688 2985.203 677.515 7 0 7 3 2282 4 2282 0 0 6 0 6 0 9180 6 9180 0 0
192.168.2.55 23.40.157.96 60796 443 20559.672607421875 0.0 996.881 996.881 9 0 8 4 1718 4 1718 0 0 9 0 9 2 7958 6 7958 0 0
192.168.2.55 23.40.157.96 60795 443 20558.36669921875 0.0 997.951 997.951 10 0 9 4 2289 5 2289 0 0 9 0 9 2 8603 6 8603 0 0
192.168.2.55 23.40.157.96 60798 443 20562.3076171875 0.0 994.246 994.246 7 0 6 2 1719 4 1719 0 0 7 0 7 2 3684 4 3684 0 0
192.168.2.55 23.40.157.96 60797 443 20560.890625 0.0 995.765 995.765 9 0 8 4 1718 4 1718 0 0 9 0 9 2 7315 5 7315 1 0
192.168.2.55 23.40.157.96 60794 443 20556.5546875 0.0 803.429 803.429 8 0 7 2 2289 5 2289 0 0 7 0 7 2 3395 4 3395 0 0
192.168.2.55 2.22.32.204 60804 443 20841.925537109375 0.0 256.838 256.838 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
192.168.2.55 2.22.32.204 60803 443 20841.359619140625 0.0 259.244 259.244 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
192.168.2.55 54.73.148.110 60806 443 22558.86767578125 0.0 974.0 974.0 73 0 72 68 1687 4 1687 0 0 87 0 87 4 265562 82 265562 0 0
192.168.2.55 54.73.148.110 60806 443 23621.726318359375 1062.859 1196.784 133.925 19 0 19 18 0 0 0 0 0 20 0 20 1 49035 18 49035 0 0
192.168.2.55 2.22.32.204 60804 443 22058.2783203125 1216.353 1216.353 0.0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0
192.168.2.55 2.22.32.204 60803 443 22070.841552734375 1229.482 1229.482 0.0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0
192.168.2.55 185.26.140.126 60768 443 16516.3095703125 0.0 400.561 400.561 12 0 11 3 8930 8 8930 0 0 8 0 8 4 3153 3 3153 0 0
192.168.2.55 185.26.140.126 60768 443 24700.673583984375 8184.364 8184.364 0.0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0
192.168.2.55 151.101.242.167 60808 443 25089.62158203125 0.0 450.658 450.658 19 1 18 13 747 3 747 0 0 33 0 33 4 52291 28 52291 0 0
192.168.2.55 23.220.255.178 60807 443 23120.071533203125 0.0 150.772 150.772 13 0 12 2 4923 10 4923 0 0 16 0 16 10 899 5 899 0 0
192.168.2.55 23.51.49.221 60809 443 26329.218505859375 0.0 305.588 305.588 11 1 10 5 767 3 767 0 0 13 0 13 4 17899 8 17899 0 0
192.168.2.55 2.22.32.204 60804 443 24118.17431640625 3276.249 3276.249 0.0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0
192.168.2.55 2.22.32.204 60803 443 24118.17431640625 3276.815 3276.815 0.0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0
192.168.2.55 23.214.204.249 60810 443 27825.698486328125 0.0 959.523 959.523 18 1 17 11 763 4 1009 1 246 30 0 30 2 45375 25 45949 2 574
192.168.2.55 23.40.140.194 60756 443 13670.564697265625 0.0 386.563 386.563 7 0 6 3 1183 3 1183 0 0 9 0 9 2 6920 6 6920 0 0
