CLIENT_IP_ADDRESS SERVER_IP_ADDRESS CLIENT_L4_PORT SERVER_L4_PORT TIME_ABS_START TIME_REL_START TIME_REL_END TIME_BIN_DELTA C_PKTS_ALL C_RSTS_PKTS C_ACKS_PKTS C_PURE_ACKS_PKTS C_BYTES C_PKTS_WITH_DATA C_BYTES_ALL C_PKTS_RETX C_BYTS_RETX S_PKTS_ALL S_RSTS_PKTS S_ACKS_PKTS S_PURE_ACKS_PKTS S_BYTES S_PKTS_WITH_DATA S_BYTES_ALL S_PKTS_RETX S_BYTS_RETX
192.168.2.55 185.15.58.224 60461 443 2979.05859375 0.0 846.571 846.571 13 1 12 6 767 4 1017 1 250 16 0 16 5 28065 10 29465 1 1400
192.168.2.55 23.40.157.96 60462 443 4983.04052734375 0.0 765.956 765.956 12 0 11 6 2074 4 2074 0 0 13 1 12 1 13962 9 13962 0 0
192.168.2.55 104.244.42.129 60463 443 5726.092529296875 0.0 497.537 497.537 7 0 6 3 765 3 765 0 0 7 0 7 3 4406 3 4406 0 0
192.168.2.55 104.244.42.1 60465 443 6767.153564453125 0.0 820.567 820.567 9 1 8 3 755 3 755 0 0 10 0 10 4 10314 5 10314 0 0
192.168.2.55 104.244.42.129 60463 443 7498.057373046875 1771.965 1861.719 89.754 2 1 2 0 0 0 0 0 0 2 0 2 1 24 1 24 0 0
192.168.2.55 13.107.42.14 60466 443 8606.2431640625 0.0 922.722 922.722 6 0 5 2 887 3 887 0 0 8 0 8 3 4197 4 4197 0 0
192.168.2.55 13.107.42.14 60466 443 9733.781494140625 1127.538 1229.851 102.313 7 0 7 6 0 0 0 0 0 8 0 8 1 20711 6 20711 0 0
192.168.2.55 23.40.157.96 60467 443 9537.55322265625 0.0 401.089 401.089 8 0 7 2 1667 4 1667 0 0 9 1 8 2 1856 4 1856 0 0
192.168.2.55 157.240.203.174 60468 443 10147.66552734375 0.0 803.24 803.24 30 0 29 25 751 3 751 0 0 60 0 60 4 101826 54 101826 0 0
192.168.2.55 151.101.241.140 60469 443 11431.545166015625 0.0 282.386 282.386 8 1 7 3 748 3 748 0 0 8 0 8 3 5424 4 5424 0 0
192.168.2.55 104.120.111.190 60470 443 11713.321533203125 0.0 382.913 382.913 8 0 7 3 870 3 870 0 0 9 1 8 1 4920 5 4920 0 0
192.168.2.55 151.101.241.140 60471 443 11716.0615234375 0.0 694.528 694.528 18 1 17 12 835 3 835 0 0 50 0 50 4 97007 45 97007 0 0
192.168.2.55 23.52.38.143 60472 443 12413.802490234375 0.0 332.503 332.503 9 0 8 4 1654 3 1654 0 0 10 1 9 1 5891 6 5891 0 0
192.168.2.55 23.52.38.143 60475 443 12726.815185546875 0.0 295.159 295.159 7 0 6 2 1579 3 1579 0 0 8 1 7 2 1448 3 1448 0 0
192.168.2.55 2.22.33.86 60474 443 12555.8515625 0.0 864.897 864.897 16 1 15 10 746 3 746 0 0 30 0 30 4 81600 25 81600 0 0
192.168.2.55 52.214.181.141 60482 443 14581.451171875 0.0 994.043 994.043 17 0 16 12 1687 4 1687 0 0 22 0 22 4 33163 17 33163 0 0
192.168.2.55 52.214.181.141 60482 443 15581.620361328125 1000.169 1308.582 308.413 60 0 60 59 0 0 0 0 0 88 0 88 1 281492 86 281492 0 0
192.168.2.55 23.40.157.96 60488 443 16804.29736328125 0.0 405.498 405.498 9 1 8 5 517 1 517 0 0 11 0 11 1 11503 7 11503 1 0
192.168.2.55 151.101.242.167 60496 443 17495.506591796875 0.0 211.633 211.633 18 1 17 12 747 3 747 0 0 37 0 37 4 52490 32 52490 0 0
192.168.2.55 23.40.157.96 60489 443 17061.827392578125 0.0 481.649 481.649 12 0 11 8 1221 3 1221 0 0 12 0 12 2 13383 8 13383 1 0
192.168.2.55 63.140.62.27 60499 443 17981.945556640625 0.0 551.131 551.131 12 0 11 5 2722 6 2722 0 0 10 0 10 4 4859 5 4859 0 0
192.168.2.55 23.51.49.221 60512 443 20397.24755859375 0.0 158.408 158.408 15 1 14 9 767 3 767 0 0 16 0 16 4 17899 10 17899 1 0
192.168.2.55 23.40.157.96 60509 443 18232.310546875 0.0 273.188 273.188 8 0 7 3 1719 4 1719 0 0 9 0 9 4 3684 4 3684 0 0
192.168.2.55 23.40.157.96 60506 443 18229.2763671875 0.0 256.729 256.729 9 0 8 4 1718 4 1718 0 0 8 0 8 2 7259 5 7259 0 0
192.168.2.55 23.40.157.96 60508 443 18231.8115234375 0.0 206.885 206.885 9 0 8 4 1718 4 1718 0 0 10 0 10 3 7958 6 7958 0 0
192.168.2.55 23.40.157.96 60510 443 18234.446533203125 0.0 194.073 194.073 7 0 6 2 1718 4 1718 0 0 7 0 7 2 3395 4 3395 0 0
192.168.2.55 23.40.157.96 60507 443 18229.95458984375 0.0 185.921 185.921 8 0 7 3 1718 4 1718 0 0 8 0 8 2 5288 5 5288 0 0
192.168.2.55 23.40.157.96 60489 443 18227.959228515625 1166.132 1387.48 221.348 7 0 7 4 1711 3 1711 0 0 7 0 7 0 9149 7 9149 0 0
192.168.2.55 185.26.140.126 60485 443 15123.016357421875 0.0 185.724 185.724 12 0 11 3 8930 8 8930 0 0 8 0 8 4 3153 3 3153 0 0
192.168.2.55 185.26.140.126 60485 443 21077.87451171875 5954.858 5954.858 0.0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0
192.168.2.55 2.22.32.204 60505 443 18009.05859375 0.0 801.893 801.893 253 0 252 216 4527 36 4527 0 0 287 0 287 7 801882 279 801882 0 0
192.168.2.55 23.214.204.249 60513 443 21474.6865234375 0.0 250.854 250.854 20 1 19 14 763 3 763 0 0 24 0 24 1 45376 19 45376 2 0
192.168.2.55 140.82.121.4 60514 443 23962.83349609375 0.0 823.876 823.876 7 0 6 3 748 3 748 0 0 8 0 8 3 3762 4 3762 0 0
192.168.2.55 140.82.121.4 60514 443 25099.8671875 1137.034 1234.983 97.949 2 1 2 0 0 0 0 0 0 2 0 2 1 24 1 24 0 0
192.168.2.55 140.82.121.4 60515 443 24789.68359375 0.0 408.441 408.441 19 1 18 13 744 3 744 0 0 25 0 25 4 53282 20 53282 0 0
192.168.2.55 172.64.155.249 60516 443 25427.861572265625 0.0 543.405 543.405 30 0 29 26 771 3 771 0 0 41 0 41 3 187581 37 187581 0 0
192.168.2.55 104.18.32.7 60517 443 25973.866455078125 0.0 655.849 655.849 18 0 17 13 977 3 977 0 0 30 0 30 4 54044 24 54044 0 0
192.168.2.55 172.64.155.249 60516 443 26539.745361328125 1111.884 1202.163 90.279 2 0 2 1 0 0 0 0 0 2 0 2 1 0 0 0 0 0
192.168.2.55 23.40.140.194 60473 443 12414.060546875 0.0 292.566 292.566 8 0 7 4 1183 3 1183 0 0 9 0 9 2 6920 6 6920 0 0
192.168.2.55 142.251.209.46 60518 443 28144.17236328125 0.0 533.389 533.389 53 0 52 48 765 3 765 0 0 74 0 74 4 145833 68 145833 0 0
192.168.2.55 142.251.209.36 60519 443 29696.771484375 0.0 516.736 516.736 14 0 13 9 764 3 764 0 0 14 0 14 4 15173 8 15173 0 0
192.168.2.55 63.140.62.27 60499 443 20539.392578125 2557.447 2662.701 105.254 2 0 2 1 900 1 900 0 0 1 0 1 0 211 1 211 0 0
192.168.2.55 157.240.203.35 60520 443 30824.868408203125 0.0 417.131 417.131 15 0 14 10 750 3 750 0 0 24 0 24 4 26732 18 26732 0 0
192.168.2.55 23.40.157.96 60509 443 20587.400390625 2355.09 2523.774 168.684 9 0 9 5 2284 4 2284 0 0 10 0 10 0 16568 10 16568 0 0
192.168.2.55 18.154.156.167 60521 443 33029.557373046875 0.0 465.964 465.964 10 0 9 5 748 3 748 0 0 12 0 12 4 7979 6 7979 0 0
192.168.2.55 23.40.157.96 60509 443 32879.62451171875 14647.314 15326.506 679.192 4 0 4 2 1142 2 1142 0 0 2 0 2 0 1726 2 1726 0 0
192.168.2.55 23.40.157.96 60509 443 34008.1845703125 15775.874 16759.977 984.103 6 0 6 3 1142 3 1713 1 571 3 0 3 0 1402 3 2103 1 701
192.168.2.55 185.15.58.224 60522 443 35689.323486328125 0.0 361.957 361.957 14 1 13 8 767 3 767 0 0 16 0 16 4 28065 11 28065 0 0
192.168.2.55 23.40.157.96 60509 443 35009.198486328125 16776.888 17592.962 816.074 5 0 5 3 1142 2 1142 0 0 6 0 6 3 1403 3 2104 1 701
192.168.2.55 23.40.157.96 60509 443 36306.7412109375 18074.431 18785.606 711.175 4 0 4 2 1142 2 1142 0 0 3 0 3 1 1434 2 1434 0 0
192.168.2.55 23.40.157.96 60509 443 37422.4404296875 19190.13 19967.949 777.819 4 0 4 2 1142 2 1142 0 0 4 0 4 0 3622 4 3622 0 0
192.168.2.55 23.40.157.96 60509 443 38571.959228515625 20339.649 21130.535 790.886 5 0 5 3 1142 2 1142 0 0 4 0 4 0 5376 4 5376 0 0
192.168.2.55 104.244.42.1 60525 443 39369.571533203125 0.0 777.386 777.386 6 0 5 2 755 3 755 0 0 6 0 6 3 3526 2 3526 0 0
192.168.2.55 104.244.42.1 60523 443 38262.613525390625 0.0 448.149 448.149 7 0 6 3 765 3 765 0 0 7 0 7 3 4406 3 4406 0 0
192.168.2.55 104.244.42.1 60523 443 40467.50439453125 2204.891 2293.558 88.667 2 1 2 0 0 0 0 0 0 2 0 2 1 24 1 24 0 0
192.168.2.55 104.244.42.1 60525 443 40454.03857421875 1084.467 1186.911 102.444 4 1 4 2 0 0 0 0 0 5 0 5 1 6792 4 6792 0 0
192.168.2.55 23.40.157.96 60509 443 39729.01123046875 21496.701 22221.623 724.922 4 0 4 2 1142 2 1142 0 0 6 0 6 0 6017 6 6216 1 199
192.168.2.55 63.140.62.27 60499 443 30823.8984375 12841.953 12842.076 0.123 1 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0
192.168.2.55 13.107.42.14 60526 443 40589.218505859375 0.0 786.28 786.28 13 0 12 8 887 3 887 0 0 16 0 16 4 24229 10 24229 0 0
192.168.2.55 23.40.157.96 60509 443 40910.16455078125 22677.854 23450.511 772.657 4 0 4 2 1141 2 1141 0 0 4 0 4 0 6123 4 6123 0 0
192.168.2.55 157.240.203.174 60527 443 41850.992431640625 0.0 794.348 794.348 26 0 25 21 751 3 751 0 0 50 0 50 4 102085 44 102085 0 0
192.168.2.55 23.40.140.194 60473 443 27774.2275390625 15360.167 15497.686 137.519 2 0 2 1 540 1 540 0 0 1 0 1 0 605 1 605 0 0
192.168.2.55 2.22.32.204 60505 443 21210.95654296875 3201.898 3262.994 61.096 10 0 10 8 199 2 199 0 0 17 0 17 1 39141 16 39141 0 0
192.168.2.55 23.52.38.143 60486 443 15344.53515625 0.0 840.34 840.34 8 0 7 3 2885 4 2885 0 0 10 0 10 3 3793 6 4229 1 436
192.168.2.55 151.101.241.140 60528 443 43842.771484375 0.0 298.885 298.885 8 1 7 3 748 3 748 0 0 9 0 9 3 5424 5 5424 0 0
192.168.2.55 104.244.42.129 60464 443 6161.508544921875 0.0 603.17 603.17 8 0 7 4 761 3 761 0 0 9 0 9 3 9387 5 9387 0 0
192.168.2.55 104.244.42.129 60524 443 38667.932373046875 0.0 695.253 695.253 8 0 7 4 761 3 761 0 0 9 0 9 3 9387 5 9387 0 0
192.168.2.55 104.244.42.129 60464 443 44143.777587890625 37982.269 38030.967 48.698 2 1 2 0 0 0 0 0 0 2 0 2 1 24 1 24 0 0
192.168.2.55 104.244.42.129 60524 443 44144.03955078125 5476.107 5527.157 51.05 2 1 2 0 0 0 0 0 0 2 0 2 1 24 1 24 0 0
192.168.2.55 63.140.62.27 60499 443 41068.495361328125 23086.55 23086.682 0.132 1 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0
192.168.2.55 23.52.38.143 60486 443 43487.027587890625 28142.492 29140.273 997.781 7 0 7 4 2710 3 2710 0 0 10 0 10 3 4856 7 5750 2 894
192.168.2.55 151.101.241.140 60529 443 44145.092529296875 0.0 471.305 471.305 7 0 6 3 835 3 835 0 0 8 0 8 3 3728 4 5128 1 1400
192.168.2.55 151.101.241.140 60529 443 45216.223388671875 1071.131 1223.674 152.543 18 1 18 16 0 0 0 0 0 40 0 40 1 94670 39 94670 0 0
192.168.2.55 2.22.33.86 60545 443 45662.781494140625 0.0 832.345 832.345 27 1 26 21 746 3 746 0 0 51 0 51 4 81322 46 81322 0 0
192.168.2.55 185.26.141.74 60549 443 46177.70849609375 0.0 112.86 112.86 2 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0
192.168.2.55 3.251.50.149 60550 443 47315.8564453125 0.0 999.371 999.371 70 0 69 65 1687 4 1687 0 0 85 0 85 4 229164 80 229164 0 0
192.168.2.55 63.140.62.27 60531 443 45304.815185546875 0.0 644.917 644.917 13 0 12 5 2729 7 2729 0 0 11 0 11 4 5223 6 5223 0 0
192.168.2.55 3.251.50.149 60550 443 48320.1171875 1004.261 1314.722 310.461 27 0 27 26 0 0 0 0 0 33 0 33 1 85495 31 85495 0 0
192.168.2.55 101.62.213.61 60552 443 47690.46240234375 0.0 967.1 967.1 48 0 47 42 1453 5 1453 0 0 63 0 63 4 197821 58 200268 2 2447
192.168.2.55 151.101.242.167 60555 443 48352.275390625 0.0 369.132 369.132 24 1 23 18 747 3 747 0 0 36 0 36 4 52343 31 52343 0 0
192.168.2.55 13.226.244.11 60511 443 19985.53515625 0.0 177.38 177.38 11 0 10 5 1713 5 1713 0 0 15 0 15 5 6361 9 6361 0 0
192.168.2.55 63.140.62.27 60531 443 48503.277587890625 3198.462 3950.393 751.931 6 0 6 2 2803 4 2803 0 0 4 0 4 2 100 2 100 0 0
192.168.2.55 101.62.213.61 60554 443 47855.711181640625 0.0 988.671 988.671 152 0 151 146 1457 5 1457 0 0 195 0 195 5 643619 189 645019 1 1400
192.168.2.55 101.62.213.61 60552 443 48697.0595703125 1006.597 1940.697 934.1 707 0 707 705 500 2 500 0 0 822 0 822 2 3344961 820 3344961 0 0
192.168.2.55 52.223.29.147 60556 443 49073.006591796875 0.0 868.687 868.687 11 0 10 4 2519 6 2519 0 0 12 0 12 5 5730 6 5730 0 0
192.168.2.55 63.140.62.27 60531 443 49521.1455078125 4216.33 5197.269 980.939 3 0 3 2 622 1 622 0 0 5 0 5 2 100 3 138 1 38
192.168.2.55 23.51.49.221 60558 443 50947.653564453125 0.0 148.945 148.945 14 1 13 8 767 3 767 0 0 17 0 17 4 17899 11 17899 1 0
192.168.2.55 23.214.204.249 60559 443 53224.902587890625 0.0 155.477 155.477 24 1 23 18 763 3 763 0 0 24 0 24 1 45376 20 45376 1 0
192.168.2.55 63.140.62.27 60499 443 44591.68359375 26609.738 27435.067 825.329 8 0 8 3 2612 5 2612 0 0 6 0 6 2 603 4 603 0 0
192.168.2.55 140.82.121.4 60560 443 55780.04736328125 0.0 750.969 750.969 9 1 8 3 748 3 748 0 0 10 0 10 4 3787 5 3787 0 0
192.168.2.55 140.82.121.4 60561 443 56137.682373046875 0.0 393.381 393.381 17 1 16 11 744 3 744 0 0 20 0 20 4 53288 15 53288 0 0
192.168.2.55 101.62.213.61 60552 443 49845.71435546875 2155.252 3007.883 852.631 610 0 610 610 0 0 0 0 0 677 0 677 1 2861925 676 2861925 0 0
192.168.2.55 101.62.213.61 60554 443 49631.3505859375 1775.639 2279.788 504.149 56 0 56 55 250 1 250 0 0 70 0 70 1 191032 69 191032 0 0
192.168.2.55 23.40.140.194 60473 443 42790.6044921875 30376.544 30538.8 162.256 2 0 2 1 540 1 540 0 0 1 0 1 0 605 1 605 0 0
192.168.2.55 23.194.176.111 60481 443 12840.5224609375 0.0 243.791 243.791 7 0 6 3 1241 3 1241 0 0 8 0 8 1 5363 6 5363 0 0
192.168.2.55 23.194.176.111 60479 443 12840.277587890625 0.0 244.134 244.134 7 0 6 3 1238 3 1238 0 0 7 0 7 1 5359 5 5359 0 0
192.168.2.55 23.194.176.111 60476 443 12839.881591796875 0.0 244.514 244.514 7 0 6 3 1243 3 1243 0 0 8 0 8 1 5372 6 5372 0 0
192.168.2.55 23.194.176.111 60478 443 12840.150390625 0.0 250.494 250.494 8 0 7 4 1238 3 1238 0 0 7 0 7 1 5355 5 5355 0 0
192.168.2.55 23.194.176.111 60477 443 12840.023193359375 0.0 240.411 240.411 8 0 7 4 1236 3 1236 0 0 7 0 7 1 5362 5 5362 0 0
192.168.2.55 23.194.176.111 60480 443 12840.3984375 0.0 371.692 371.692 8 0 7 4 1237 3 1237 0 0 7 0 7 1 5360 5 5360 0 0
192.168.2.55 13.226.244.11 60511 443 48864.400390625 28878.865 28967.147 88.282 3 0 3 1 1390 2 1390 0 0 5 0 5 2 1630 3 1630 0 0
192.168.2.55 52.223.29.147 60556 443 50349.658447265625 1276.652 1545.066 268.414 1 0 1 0 0 1 38 1 38 2 0 2 2 0 0 0 0 0
192.168.2.55 172.64.155.249 60562 443 58338.54443359375 0.0 989.947 989.947 27 0 26 22 771 3 771 0 0 35 0 35 3 187639 31 187639 0 0
192.168.2.55 104.18.32.7 60563 443 58906.3115234375 0.0 449.671 449.671 12 0 11 7 977 3 977 0 0 46 0 46 4 54245 40 54245 0 0
192.168.2.55 172.64.155.249 60562 443 59354.114501953125 1015.57 1018.172 2.602 1 0 1 1 0 0 0 0 0 2 0 2 1 0 0 0 0 0
192.168.2.55 52.223.29.147 60557 443 49209.08837890625 0.0 774.475 774.475 7 0 6 4 643 2 643 0 0 7 0 7 2 5330 4 5330 0 0
192.168.2.55 63.140.62.27 60531 443 50698.304443359375 5393.489 5435.435 41.946 1 0 1 1 0 0 0 0 0 2 0 2 1 38 1 38 0 0
192.168.2.55 142.251.209.46 60564 443 61043.202392578125 0.0 288.849 288.849 43 0 42 38 765 3 765 0 0 65 0 65 4 145539 59 145539 0 0
192.168.2.55 92.123.101.80 60487 443 16744.445556640625 0.0 573.904 573.904 19 0 18 15 1218 3 1218 0 0 21 0 21 1 41955 19 42250 1 295
192.168.2.55 23.51.48.42 60493 443 17400.2724609375 0.0 284.815 284.815 9 0 8 4 1981 4 1981 0 0 10 0 10 1 11558 8 11558 0 0
192.168.2.55 23.51.48.42 60494 443 17400.3935546875 0.0 294.18 294.18 9 0 8 4 1981 4 1981 0 0 10 0 10 1 9045 8 9045 0 0
192.168.2.55 23.51.48.42 60491 443 17400.033203125 0.0 295.502 295.502 12 0 11 6 2678 5 2678 0 0 14 0 14 1 13297 12 13297 0 0
192.168.2.55 23.51.48.42 60495 443 17400.49658203125 0.0 294.881 294.881 8 0 7 4 1312 3 1312 0 0 9 0 9 2 6832 6 6832 0 0
192.168.2.55 23.51.48.42 60492 443 17400.147216796875 0.0 294.519 294.519 9 0 8 4 1981 4 1981 0 0 10 0 10 1 9041 8 9041 0 0
192.168.2.55 23.51.48.42 60490 443 17399.92041015625 0.0 302.771 302.771 10 0 9 5 1981 4 1981 0 0 11 0 11 1 8904 9 8904 0 0
192.168.2.55 23.214.205.236 60497 443 17852.425537109375 0.0 265.586 265.586 58 0 57 54 1267 3 1267 0 0 72 0 72 1 264602 70 264602 0 0
192.168.2.55 23.51.48.42 60503 443 17991.6884765625 0.0 158.192 158.192 8 0 7 4 1345 3 1345 0 0 8 0 8 1 16285 6 16285 0 0
192.168.2.55 23.51.48.42 60502 443 17991.545166015625 0.0 253.864 253.864 8 0 7 4 1348 3 1348 0 0 8 0 8 1 5378 6 5378 0 0
192.168.2.55 23.51.48.42 60504 443 17991.8125 0.0 253.606 253.606 9 0 8 5 1353 3 1353 0 0 8 0 8 2 5382 5 5382 0 0
