EVENT	UNIX_TS	FROM_ORIGIN_MS	FROM_ORIGIN_S
origin	1718788944248.2395	0.0	0.0
sniffer-on	1718788944248.2395	0.0	0.0
skygo-on	1718788944257.2466	9.007080078125	0.009007080078125
skysportuno-on	1718788987633.7827	43385.543212890625	43.385543212890624
skysportuno-off	1718789031634.0854	87385.84594726562	87.38584594726562
skysportcalcio-on	1718789044892.8252	100644.58569335938	100.64458569335937
skysportcalcio-off	1718789093892.218	149643.978515625	149.643978515625
skysporttennis-on	1718789103200.4448	158952.20532226562	158.95220532226563
skysporttennis-off	1718789156200.6145	211952.375	211.952375
skygo-off	1718789167791.525	223543.28540039062	223.54328540039063
sniffer-off	1718789167905.5464	223657.30688476562	223.65730688476563
