CLIENT_IP_ADDRESS SERVER_IP_ADDRESS CLIENT_L4_PORT SERVER_L4_PORT TIME_ABS_START TIME_REL_START TIME_REL_END TIME_BIN_DELTA C_PKTS_ALL C_RSTS_PKTS C_ACKS_PKTS C_PURE_ACKS_PKTS C_BYTES C_PKTS_WITH_DATA C_BYTES_ALL C_PKTS_RETX C_BYTS_RETX S_PKTS_ALL S_RSTS_PKTS S_ACKS_PKTS S_PURE_ACKS_PKTS S_BYTES S_PKTS_WITH_DATA S_BYTES_ALL S_PKTS_RETX S_BYTS_RETX
192.168.2.55 185.15.58.224 59475 443 1485.630859375 0.0 536.764 536.764 13 1 12 7 767 3 767 0 0 16 0 16 4 28066 11 28066 0 0
192.168.2.55 23.40.157.96 59478 443 4920.98486328125 0.0 483.033 483.033 12 0 11 6 2074 4 2074 0 0 13 1 12 1 13964 9 13964 0 0
192.168.2.55 104.244.42.129 59476 443 4247.80517578125 0.0 579.319 579.319 7 0 6 3 765 3 765 0 0 7 0 7 3 4406 3 4406 0 0
192.168.2.55 104.244.42.65 59479 443 5319.244140625 0.0 916.853 916.853 9 0 8 4 755 3 755 0 0 11 0 11 3 10291 7 11691 1 1400
192.168.2.55 104.244.42.65 59479 443 6432.13720703125 1112.893 1112.959 0.066 1 1 1 0 0 0 0 0 0 2 0 2 1 24 1 24 0 0
192.168.2.55 104.244.42.129 59476 443 6236.3408203125 1988.536 2184.673 196.137 2 1 2 0 0 0 0 0 0 2 0 2 1 24 1 24 0 0
192.168.2.55 13.107.42.14 59480 443 6631.815185546875 0.0 920.152 920.152 10 0 9 5 887 3 887 0 0 22 0 22 4 24910 16 24910 0 0
192.168.2.55 157.240.203.174 59481 443 8741.986083984375 0.0 670.226 670.226 7 0 6 3 751 3 751 0 0 8 0 8 3 3693 4 3693 0 0
192.168.2.55 23.40.157.96 59482 443 9333.627197265625 0.0 819.544 819.544 12 0 11 3 1667 7 4498 3 2831 11 1 10 4 1856 4 1856 0 0
192.168.2.55 157.240.203.174 59481 443 9774.536865234375 1032.551 1411.415 378.864 31 0 31 30 0 0 0 0 0 49 0 49 1 98835 47 98835 0 0
192.168.2.55 151.101.241.140 59483 443 9852.934814453125 0.0 479.978 479.978 8 1 7 3 748 3 748 0 0 9 0 9 3 5424 5 5424 0 0
192.168.2.55 151.101.241.140 59484 443 10334.8388671875 0.0 908.907 908.907 22 0 21 18 835 3 835 0 0 33 0 33 3 69241 29 69241 0 0
192.168.2.55 151.101.241.140 59484 443 11344.630859375 1009.792 1884.125 874.333 38 0 38 37 0 0 0 0 0 120 0 120 0 34797 120 34797 0 0
192.168.2.55 104.120.111.190 59486 443 11919.733154296875 0.0 503.555 503.555 9 0 8 4 870 3 870 0 0 10 1 9 1 4921 6 4921 0 0
192.168.2.55 151.101.241.140 59484 443 12423.2880859375 2088.449 2088.528 0.079 1 1 1 0 0 0 0 0 0 2 0 2 1 24 1 24 0 0
192.168.2.55 2.22.33.86 59485 443 11434.184814453125 0.0 989.232 989.232 33 0 32 29 746 3 746 0 0 39 0 39 3 79981 35 81381 1 1400
192.168.2.55 2.22.33.86 59485 443 12561.26416015625 1127.079 1284.105 157.026 3 1 3 1 0 0 0 0 0 4 0 4 1 2145 3 2145 0 0
192.168.2.55 23.52.38.143 59487 443 12622.168212890625 0.0 420.767 420.767 10 0 9 5 1654 3 1654 0 0 12 1 11 2 5891 6 5891 1 0
192.168.2.55 54.246.79.9 59497 443 13621.1220703125 0.0 999.783 999.783 54 0 53 48 1687 4 1687 0 0 66 0 66 5 314592 59 314592 0 0
192.168.2.55 151.101.242.167 59498 443 15197.856201171875 0.0 172.725 172.725 11 1 10 5 747 3 747 0 0 33 0 33 4 52313 28 52313 0 0
192.168.2.55 23.52.38.143 59496 443 13175.947021484375 0.0 952.967 952.967 9 0 8 4 2885 4 2885 0 0 9 0 9 2 3883 5 3883 1 0
192.168.2.55 23.52.38.143 59496 443 15635.528076171875 2459.581 2537.422 77.841 1 0 1 0 1011 1 1011 0 0 1 0 1 1 0 0 0 0 0
192.168.2.55 23.194.176.111 59492 443 13050.462158203125 0.0 338.429 338.429 8 0 7 4 1238 3 1238 0 0 7 0 7 1 5358 5 5358 0 0
192.168.2.55 23.40.157.96 59503 443 17013.651123046875 0.0 598.076 598.076 8 1 7 4 517 1 517 0 0 9 0 9 1 11504 6 11504 0 0
192.168.2.55 23.51.49.221 59505 443 17712.26806640625 0.0 458.935 458.935 13 1 12 7 767 3 767 0 0 17 0 17 4 17899 12 17899 0 0
192.168.2.55 23.40.157.96 59504 443 17453.523193359375 0.0 569.281 569.281 11 0 10 7 1221 3 1221 0 0 12 0 12 1 13382 10 13782 1 400
192.168.2.55 23.214.204.249 59529 443 18789.74609375 0.0 405.347 405.347 21 1 20 15 763 3 763 0 0 24 0 24 1 45375 20 45375 1 0
192.168.2.55 2.22.32.204 59520 443 18460.550048828125 0.0 895.654 895.654 156 0 155 119 4527 36 4527 0 0 169 0 169 5 587112 163 587112 0 0
192.168.2.55 2.22.32.177 59526 443 18618.300048828125 0.0 50.594 50.594 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
192.168.2.55 2.22.32.204 59528 443 18710.2900390625 0.0 70.132 70.132 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
192.168.2.55 2.22.32.204 59527 443 18709.8388671875 0.0 70.265 70.265 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
192.168.2.55 63.140.62.17 59514 443 18409.820068359375 0.0 625.186 625.186 12 0 11 5 2723 6 2723 0 0 10 0 10 4 4928 5 4928 0 0
192.168.2.55 23.40.157.96 59524 443 18614.567138671875 0.0 285.466 285.466 8 0 7 3 1719 4 1719 0 0 7 0 7 2 3684 4 3684 0 0
192.168.2.55 23.40.157.96 59504 443 18606.59423828125 1153.071 1401.131 248.06 7 0 7 3 2282 4 2282 0 0 8 0 8 0 9401 8 9401 0 0
192.168.2.55 23.40.157.96 59521 443 18609.84912109375 0.0 289.182 289.182 9 0 8 4 1718 4 1718 0 0 8 0 8 2 7957 5 7957 0 0
192.168.2.55 23.40.157.96 59522 443 18611.541015625 0.0 240.519 240.519 8 0 7 3 1718 4 1718 0 0 7 0 7 2 5288 4 5288 0 0
192.168.2.55 23.40.157.96 59523 443 18612.966796875 0.0 237.214 237.214 8 0 7 3 1718 4 1718 0 0 8 0 8 2 7259 5 7259 0 0
192.168.2.55 23.40.157.96 59525 443 18616.1220703125 0.0 172.677 172.677 6 0 5 2 1147 3 1147 0 0 6 0 6 2 3141 3 3141 0 0
192.168.2.55 185.26.140.126 59501 443 15389.81884765625 0.0 209.052 209.052 13 0 12 3 8930 9 10330 1 1400 8 0 8 4 3153 3 3153 0 0
192.168.2.55 185.26.140.126 59501 443 20734.898193359375 5345.079 5345.079 0.0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0
192.168.2.55 2.22.32.204 59520 443 19636.536865234375 1175.987 1201.959 25.972 42 0 42 42 0 0 0 0 0 48 0 48 0 214748 48 214748 0 0
192.168.2.55 2.22.32.177 59526 443 19737.482177734375 1119.182 1119.182 0.0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0
192.168.2.55 2.22.32.204 59528 443 19769.953125 1059.663 1059.663 0.0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0
192.168.2.55 2.22.32.204 59527 443 19781.156005859375 1071.317 1071.317 0.0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0
192.168.2.55 140.82.121.3 59532 443 21447.858154296875 0.0 405.466 405.466 28 1 27 22 744 3 744 0 0 30 0 30 4 53335 25 53335 0 0
192.168.2.55 140.82.121.3 59531 443 21220.8662109375 0.0 632.629 632.629 9 1 8 3 748 3 748 0 0 10 0 10 4 3786 5 3786 0 0
192.168.2.55 104.18.32.7 59533 443 23521.530029296875 0.0 724.634 724.634 57 0 56 53 771 3 771 0 0 70 0 70 3 187600 66 187600 0 0
192.168.2.55 172.64.155.249 59534 443 24248.6220703125 0.0 760.416 760.416 25 0 24 19 977 4 1437 1 460 29 0 29 3 54086 25 54086 0 0
192.168.2.55 172.64.155.249 59534 443 25308.01123046875 1059.389 1059.476 0.087 1 0 1 1 0 0 0 0 0 3 0 3 2 0 0 0 0 0
192.168.2.55 104.18.32.7 59533 443 25009.34814453125 1487.818 1786.661 298.843 2 0 2 1 0 0 0 0 0 2 0 2 1 0 0 0 0 0
192.168.2.55 2.22.32.177 59526 443 21808.7080078125 3190.408 3190.408 0.0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0
192.168.2.55 2.22.32.204 59528 443 21816.0380859375 3105.748 3105.748 0.0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0
192.168.2.55 2.22.32.204 59527 443 21828.88916015625 3119.05 3119.05 0.0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0
192.168.2.55 216.58.204.142 59535 443 25233.38916015625 0.0 961.705 961.705 28 0 27 24 765 3 765 0 0 44 0 44 3 71321 39 71321 1 0
192.168.2.55 216.58.204.142 59535 443 26236.800048828125 1003.411 1165.321 161.91 26 0 26 25 0 0 0 0 0 29 0 29 1 74751 27 74751 0 0
