CLIENT_IP_ADDRESS SERVER_IP_ADDRESS CLIENT_L4_PORT SERVER_L4_PORT TIME_ABS_START TIME_REL_START TIME_REL_END TIME_BIN_DELTA C_PKTS_ALL C_RSTS_PKTS C_ACKS_PKTS C_PURE_ACKS_PKTS C_BYTES C_PKTS_WITH_DATA C_BYTES_ALL C_PKTS_RETX C_BYTS_RETX S_PKTS_ALL S_RSTS_PKTS S_ACKS_PKTS S_PURE_ACKS_PKTS S_BYTES S_PKTS_WITH_DATA S_BYTES_ALL S_PKTS_RETX S_BYTS_RETX
192.168.2.55 104.244.42.129 58629 443 1140.06298828125 0.0 757.887 757.887 9 1 8 3 755 3 755 0 0 10 0 10 4 10317 5 10317 0 0
192.168.2.55 13.107.42.14 58630 443 1939.510009765625 0.0 629.997 629.997 13 0 12 8 887 3 887 0 0 15 0 15 4 24911 9 24911 0 0
192.168.2.55 157.240.203.174 58631 443 3869.60498046875 0.0 853.265 853.265 27 0 26 22 751 3 751 0 0 70 0 70 4 102371 64 102371 0 0
192.168.2.55 23.40.157.96 58632 443 4977.18896484375 0.0 666.779 666.779 12 0 11 6 2074 4 2074 0 0 14 1 13 1 13962 10 13962 0 0
192.168.2.55 151.101.241.140 58633 443 5467.493896484375 0.0 285.431 285.431 8 1 7 3 748 3 748 0 0 9 0 9 3 5424 5 5424 0 0
192.168.2.55 151.101.241.140 58634 443 5754.940673828125 0.0 422.319 422.319 10 0 9 6 835 3 835 0 0 34 0 34 3 69870 30 69870 0 0
192.168.2.55 151.101.241.140 58634 443 6767.5068359375 1012.566 1114.973 102.407 7 1 7 5 0 0 0 0 0 52 0 52 1 29943 51 29943 0 0
192.168.2.55 2.22.33.86 58635 443 7342.510986328125 0.0 963.043 963.043 20 0 19 15 746 3 746 0 0 24 0 24 3 82562 20 82562 0 0
192.168.2.55 2.22.33.86 58635 443 8406.064697265625 1063.554 1063.613 0.059 1 1 1 0 0 0 0 0 0 2 0 2 1 24 1 24 0 0
192.168.2.55 23.40.157.96 58637 443 9339.303955078125 0.0 501.125 501.125 9 0 8 2 1667 5 3067 1 1400 10 1 9 3 1856 4 1856 0 0
192.168.2.55 54.155.246.232 58636 443 9261.279052734375 0.0 999.664 999.664 89 0 88 84 1687 4 1687 0 0 96 0 96 4 257127 91 258527 1 1400
192.168.2.55 54.155.246.232 58636 443 10271.65869140625 1010.38 1109.244 98.864 5 0 5 4 0 0 0 0 0 6 0 6 1 57696 4 57696 0 0
192.168.2.55 151.101.242.167 58638 443 11592.796875 0.0 499.781 499.781 24 1 23 18 747 3 747 0 0 40 0 40 4 52291 35 52291 0 0
192.168.2.55 104.120.111.190 58639 443 11650.7080078125 0.0 551.713 551.713 9 0 8 4 870 3 870 0 0 11 1 10 1 4921 6 4921 1 0
192.168.2.55 23.52.38.143 58641 443 12552.218017578125 0.0 461.632 461.632 9 0 8 4 1654 3 1654 0 0 11 1 10 2 5891 6 5891 0 0
192.168.2.55 23.51.49.221 58648 443 13121.4169921875 0.0 286.711 286.711 10 1 9 4 767 3 767 0 0 12 0 12 3 17899 8 17899 0 0
192.168.2.55 23.52.38.143 58649 443 13132.5146484375 0.0 940.896 940.896 7 0 6 2 2885 4 2885 0 0 6 0 6 2 1988 3 1988 0 0
192.168.2.55 23.214.204.249 58650 443 14202.139892578125 0.0 556.053 556.053 17 1 16 11 763 3 763 0 0 22 0 22 1 45375 19 45375 0 0
192.168.2.55 23.52.38.143 58649 443 14198.412841796875 1065.898 1066.188 0.29 1 0 1 1 0 0 0 0 0 2 0 2 0 1895 2 1895 0 0
192.168.2.55 23.40.157.96 58656 443 16679.836669921875 0.0 273.571 273.571 8 1 7 4 517 1 517 0 0 9 0 9 1 11504 6 11504 0 0
192.168.2.55 140.82.121.4 58657 443 16679.987060546875 0.0 743.011 743.011 10 1 9 4 748 3 748 0 0 11 0 11 4 3786 6 3786 0 0
192.168.2.55 140.82.121.4 58659 443 17010.666015625 0.0 412.391 412.391 20 1 19 14 744 3 744 0 0 24 0 24 4 53350 19 53350 0 0
192.168.2.55 23.40.157.96 58658 443 16943.196044921875 0.0 265.115 265.115 9 0 8 5 1221 3 1221 0 0 12 0 12 2 13382 9 13382 0 0
192.168.2.55 2.22.32.204 58681 443 18147.052978515625 0.0 157.75 157.75 5 1 4 1 517 1 517 0 0 7 0 7 1 6058 5 6058 0 0
192.168.2.55 2.22.32.204 58680 443 18146.755859375 0.0 158.175 158.175 5 1 4 1 517 1 517 0 0 7 0 7 1 6058 5 6058 0 0
192.168.2.55 172.64.155.249 58682 443 18188.9306640625 0.0 503.199 503.199 56 0 55 52 771 3 771 0 0 68 0 68 3 187572 64 187572 0 0
