CLIENT_IP_ADDRESS SERVER_IP_ADDRESS CLIENT_L4_PORT SERVER_L4_PORT TIME_ABS_START TIME_REL_START TIME_REL_END TIME_BIN_DELTA C_PKTS_ALL C_RSTS_PKTS C_ACKS_PKTS C_PURE_ACKS_PKTS C_BYTES C_PKTS_WITH_DATA C_BYTES_ALL C_PKTS_RETX C_BYTS_RETX S_PKTS_ALL S_RSTS_PKTS S_ACKS_PKTS S_PURE_ACKS_PKTS S_BYTES S_PKTS_WITH_DATA S_BYTES_ALL S_PKTS_RETX S_BYTS_RETX
192.168.2.55 104.244.42.129 59191 443 1949.144775390625 0.0 698.673 698.673 6 0 5 2 761 3 761 0 0 7 0 7 3 3526 3 4926 1 1400
192.168.2.55 13.107.42.14 59192 443 2678.5576171875 0.0 866.871 866.871 6 0 5 2 887 3 887 0 0 7 0 7 3 4197 3 4197 0 0
192.168.2.55 13.107.42.14 59192 443 3748.892822265625 1070.335 1189.53 119.195 5 0 5 4 0 0 0 0 0 6 0 6 1 20709 4 20709 0 0
192.168.2.55 104.244.42.129 59190 443 1223.48681640625 0.0 847.793 847.793 8 0 7 4 765 3 765 0 0 8 0 8 3 4405 4 5284 1 879
192.168.2.55 104.244.42.129 59190 443 3870.213623046875 2646.727 2731.844 85.117 2 1 2 0 0 0 0 0 0 2 0 2 1 24 1 24 0 0
192.168.2.55 104.244.42.129 59193 443 3050.208740234375 0.0 905.216 905.216 9 1 8 3 755 3 755 0 0 10 0 10 4 10338 5 10338 0 0
192.168.2.55 23.40.157.96 59194 443 4845.566650390625 0.0 648.425 648.425 11 0 10 5 2074 4 2074 0 0 14 1 13 2 13963 9 13963 0 0
192.168.2.55 157.240.203.174 59195 443 5528.672607421875 0.0 711.682 711.682 28 0 27 22 751 4 985 1 234 58 0 58 5 102550 51 103950 1 1400
192.168.2.55 151.101.241.140 59197 443 6738.889404296875 0.0 431.131 431.131 9 1 8 3 748 4 979 1 231 9 0 9 3 5423 5 5423 0 0
192.168.2.55 20.190.177.21 59196 443 6542.692626953125 0.0 734.368 734.368 13 1 12 5 4149 6 4149 0 0 13 0 13 6 17240 6 17240 0 0
192.168.2.55 151.101.241.140 59198 443 7171.797607421875 0.0 775.321 775.321 34 1 33 28 835 3 835 0 0 93 0 93 4 99441 88 99441 0 0
192.168.2.55 23.40.157.96 59200 443 9405.047607421875 0.0 385.538 385.538 8 0 7 2 1667 4 1667 0 0 9 1 8 2 1856 4 1856 0 0
192.168.2.55 2.22.33.86 59199 443 8798.581787109375 0.0 994.676 994.676 19 0 18 15 746 3 746 0 0 26 0 26 3 50211 22 50211 0 0
192.168.2.55 2.22.33.86 59199 443 9809.09375 1010.512 1095.724 85.212 4 1 4 2 0 0 0 0 0 7 0 7 1 33252 6 33252 0 0
192.168.2.55 3.251.50.149 59201 443 9895.66259765625 0.0 646.386 646.386 6 0 5 2 765 3 765 0 0 4 0 4 1 2931 2 2931 0 0
192.168.2.55 3.251.50.149 59201 443 10936.790771484375 1041.128 1949.81 908.682 67 0 67 65 922 1 922 0 0 86 0 86 4 311717 81 311717 0 0
192.168.2.55 104.120.111.190 59202 443 11541.177734375 0.0 614.986 614.986 9 0 8 3 870 4 894 1 24 9 1 8 1 4920 5 4920 0 0
192.168.2.55 151.101.242.167 59203 443 11628.7607421875 0.0 527.528 527.528 20 1 19 13 747 3 747 1 0 37 0 37 4 52417 32 52441 1 24
192.168.2.55 23.52.38.143 59204 443 12229.296630859375 0.0 182.841 182.841 11 1 10 5 1654 3 1654 0 0 9 0 9 1 5891 6 5891 0 0
192.168.2.55 23.51.49.221 59213 443 13376.305419921875 0.0 226.417 226.417 11 1 10 5 767 3 767 0 0 14 0 14 4 17899 9 17899 0 0
192.168.2.55 185.26.140.126 59216 443 14831.806640625 0.0 906.099 906.099 11 0 10 2 8930 8 8930 0 0 5 0 5 2 2528 2 2528 0 0
192.168.2.55 23.52.38.143 59212 443 12576.9248046875 0.0 864.014 864.014 8 0 7 3 2885 4 2885 0 0 8 0 8 2 3883 5 3883 0 0
192.168.2.55 23.214.204.249 59217 443 15233.053466796875 0.0 906.455 906.455 20 1 19 14 763 3 763 0 0 21 0 21 1 45377 18 45377 0 0
192.168.2.55 140.82.121.4 59220 443 16575.427734375 0.0 329.608 329.608 14 1 13 8 744 3 744 0 0 15 0 15 4 53281 10 53281 0 0
192.168.2.55 140.82.121.4 59218 443 16270.192626953125 0.0 635.903 635.903 10 1 9 4 748 3 748 0 0 11 0 11 4 3787 6 3787 0 0
192.168.2.55 23.40.157.96 59221 443 16625.28076171875 0.0 314.868 314.868 9 1 8 5 517 1 517 0 0 10 0 10 1 11504 7 11504 0 0
192.168.2.55 23.40.157.96 59222 443 16905.57275390625 0.0 258.208 258.208 9 0 8 5 1221 3 1221 0 0 11 0 11 1 13382 9 13382 0 0
192.168.2.55 185.26.140.126 59216 443 15832.373779296875 1000.567 1000.81 0.243 1 0 1 1 0 0 0 0 0 3 0 3 2 625 1 625 0 0
192.168.2.55 185.26.140.126 59216 443 18728.4833984375 3896.677 3896.677 0.0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0
