CLIENT_IP_ADDRESS SERVER_IP_ADDRESS CLIENT_L4_PORT SERVER_L4_PORT TIME_ABS_START TIME_REL_START TIME_REL_END TIME_BIN_DELTA C_PKTS_ALL C_RSTS_PKTS C_ACKS_PKTS C_PURE_ACKS_PKTS C_BYTES C_PKTS_WITH_DATA C_BYTES_ALL C_PKTS_RETX C_BYTS_RETX S_PKTS_ALL S_RSTS_PKTS S_ACKS_PKTS S_PURE_ACKS_PKTS S_BYTES S_PKTS_WITH_DATA S_BYTES_ALL S_PKTS_RETX S_BYTS_RETX
192.168.2.55 54.74.73.31 60180 443 2449.48193359375 0.0 956.233 956.233 14 0 13 9 1687 4 1687 0 0 20 0 20 4 70155 15 70155 0 0
192.168.2.55 54.74.73.31 60180 443 3518.98095703125 1069.499 1336.135 266.636 48 0 48 47 0 0 0 0 0 53 0 53 1 244678 51 244678 0 0
192.168.2.55 151.101.242.167 60181 443 3771.28955078125 0.0 475.786 475.786 16 1 15 10 747 3 747 0 0 36 0 36 4 52417 31 52417 0 0
192.168.2.55 23.40.157.96 60182 443 4998.281982421875 0.0 263.331 263.331 12 0 11 6 2074 4 2074 0 0 15 1 14 1 13964 11 13964 0 0
192.168.2.55 23.51.49.221 60183 443 5698.15087890625 0.0 288.629 288.629 13 1 12 7 767 3 767 0 0 16 0 16 4 17899 11 17899 0 0
192.168.2.55 23.214.204.249 60184 443 8330.344970703125 0.0 515.455 515.455 21 1 20 15 763 3 763 0 0 29 0 29 1 45376 25 45376 1 0
192.168.2.55 23.40.157.96 60185 443 9090.43896484375 0.0 814.361 814.361 9 0 8 2 1667 5 1698 1 31 10 1 9 2 1856 4 1856 1 0
192.168.2.55 104.120.111.190 60187 443 11300.66357421875 0.0 511.027 511.027 8 0 7 3 870 3 870 0 0 10 1 9 1 4920 5 4920 1 0
192.168.2.55 140.82.121.4 60188 443 11507.109619140625 0.0 407.1 407.1 19 1 18 13 744 3 744 0 0 23 0 23 4 53152 18 53152 0 0
192.168.2.55 140.82.121.4 60186 443 11081.846923828125 0.0 832.454 832.454 9 1 8 3 748 3 748 0 0 9 0 9 3 3786 5 3786 0 0
192.168.2.55 23.52.38.143 60189 443 12148.700927734375 0.0 341.706 341.706 9 0 8 4 1654 3 1654 0 0 11 1 10 2 5891 6 5891 0 0
192.168.2.55 172.64.155.249 60199 443 12816.3017578125 0.0 391.391 391.391 11 0 10 6 977 3 977 0 0 30 0 30 4 54246 24 54246 0 0
192.168.2.55 172.64.155.249 60191 443 12270.35791015625 0.0 937.385 937.385 26 0 25 21 771 3 771 0 0 40 0 40 4 187609 34 187609 0 0
192.168.2.55 216.58.205.46 60200 443 14166.77490234375 0.0 447.286 447.286 45 0 44 40 765 3 765 0 0 69 0 69 4 149790 63 149790 0 0
192.168.2.55 23.52.38.143 60198 443 12621.158935546875 0.0 890.126 890.126 8 0 7 3 2885 4 2885 0 0 9 0 9 3 3883 5 3883 0 0
192.168.2.55 142.251.209.36 60204 443 16006.14892578125 0.0 346.332 346.332 11 0 10 6 764 3 764 0 0 15 0 15 4 15322 9 15322 0 0
192.168.2.55 23.40.157.96 60205 443 16343.86376953125 0.0 419.701 419.701 10 1 9 6 517 1 517 0 0 11 0 11 1 11504 9 11905 1 401
192.168.2.55 23.40.157.96 60207 443 16735.685546875 0.0 401.573 401.573 9 0 8 5 1221 3 1221 0 0 11 0 11 1 13383 9 13383 0 0
192.168.2.55 157.240.203.35 60214 443 17520.0439453125 0.0 585.293 585.293 15 0 14 10 750 3 750 0 0 21 0 21 4 26780 15 26780 0 0
192.168.2.55 2.22.32.204 60231 443 18013.319580078125 0.0 360.295 360.295 5 1 4 1 517 1 517 0 0 3 0 3 1 2800 1 2800 0 0
192.168.2.55 2.22.32.204 60230 443 18012.07177734375 0.0 405.772 405.772 5 1 4 1 517 1 517 0 0 5 0 5 1 5496 3 5496 0 0
192.168.2.55 2.22.32.204 60229 443 17964.914794921875 0.0 510.25 510.25 7 1 6 3 517 1 517 0 0 6 0 6 1 6051 4 6051 0 0
192.168.2.55 2.22.32.204 60233 443 18197.98095703125 0.0 278.879 278.879 5 1 4 1 517 1 517 0 0 3 0 3 1 2800 1 2800 0 0
192.168.2.55 2.22.32.204 60232 443 18197.077880859375 0.0 280.281 280.281 5 1 4 1 517 1 517 0 0 3 0 3 1 1400 1 1400 0 0
192.168.2.55 2.22.32.177 60215 443 17610.6708984375 0.0 964.905 964.905 87 0 86 69 2726 17 2726 0 0 101 0 101 7 212445 93 212445 0 0
192.168.2.55 23.214.205.236 60216 443 17610.998779296875 0.0 965.16 965.16 75 0 74 71 1267 3 1267 0 0 101 0 101 1 260424 99 260424 0 0
192.168.2.55 2.22.32.204 60223 443 17878.68359375 0.0 919.455 919.455 70 0 69 41 3723 28 3723 0 0 68 0 68 8 104727 59 104727 0 0
