CLIENT_IP_ADDRESS SERVER_IP_ADDRESS CLIENT_L4_PORT SERVER_L4_PORT TIME_ABS_START TIME_REL_START TIME_REL_END TIME_BIN_DELTA C_PKTS_ALL C_RSTS_PKTS C_ACKS_PKTS C_PURE_ACKS_PKTS C_BYTES C_PKTS_WITH_DATA C_BYTES_ALL C_PKTS_RETX C_BYTS_RETX S_PKTS_ALL S_RSTS_PKTS S_ACKS_PKTS S_PURE_ACKS_PKTS S_BYTES S_PKTS_WITH_DATA S_BYTES_ALL S_PKTS_RETX S_BYTS_RETX
192.168.2.55 185.26.140.126 59946 443 15844.614501953125 0.0 670.294 670.294 13 0 12 4 8930 8 8930 0 0 8 0 8 4 3153 3 3153 0 0
192.168.2.55 185.26.140.126 59946 443 22361.490478515625 6516.876 6516.876 0.0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0
192.168.2.55 157.240.203.174 59978 443 21936.427734375 0.0 609.599 609.599 38 0 37 33 751 3 751 0 0 59 0 59 4 102400 53 102400 0 0
192.168.2.55 151.101.241.140 59979 443 24733.122802734375 0.0 481.922 481.922 8 1 7 3 748 3 748 0 0 8 0 8 3 5424 4 5424 0 0
192.168.2.55 151.101.241.140 59980 443 25217.057861328125 0.0 805.341 805.341 34 1 33 28 835 3 835 0 0 107 0 107 4 100799 102 100799 0 0
192.168.2.55 23.40.140.194 59934 443 13123.34375 0.0 304.045 304.045 8 0 7 4 1183 3 1183 0 0 9 0 9 2 6920 6 6920 0 0
192.168.2.55 2.22.33.86 59981 443 27503.015869140625 0.0 896.765 896.765 9 0 8 5 746 3 746 0 0 13 0 13 3 15423 9 16823 1 1400
192.168.2.55 2.22.33.86 59981 443 28597.510498046875 1094.495 1495.02 400.525 24 1 24 22 0 0 0 0 0 34 0 34 1 66283 33 66283 0 0
192.168.2.55 63.140.62.27 59961 443 20496.53466796875 2457.069 2626.348 169.279 2 0 2 1 901 1 901 0 0 1 0 1 0 211 1 211 0 0
192.168.2.55 3.251.50.149 59982 443 30069.841796875 0.0 868.283 868.283 8 0 7 3 1687 4 1687 0 0 10 0 10 4 5373 5 5373 0 0
192.168.2.55 23.40.157.96 59969 443 20531.808837890625 2286.192 2603.542 317.35 9 0 9 5 2284 4 2284 0 0 11 0 11 0 17616 11 17616 0 0
192.168.2.55 3.251.50.149 59982 443 31244.747802734375 1174.906 2125.22 950.314 67 0 67 66 0 0 0 0 0 103 0 103 1 309226 101 310626 1 1400
192.168.2.55 23.40.157.96 59969 443 31732.40380859375 13486.787 13650.098 163.311 2 0 2 1 571 1 571 0 0 2 0 2 0 3315 2 3315 0 0
192.168.2.55 151.101.242.167 59983 443 32727.0556640625 0.0 668.106 668.106 11 1 10 5 747 3 747 0 0 34 0 34 3 52291 30 52291 0 0
192.168.2.55 23.40.157.96 59969 443 32902.57080078125 14656.954 15400.211 743.257 4 0 4 2 1142 2 1142 0 0 2 0 2 0 1726 2 1726 0 0
192.168.2.55 23.40.157.96 59969 443 34022.32470703125 15776.708 16527.18 750.472 4 0 4 2 1142 2 1142 0 0 2 0 2 0 1403 2 1403 0 0
192.168.2.55 23.40.157.96 59969 443 35154.744873046875 16909.128 17593.129 684.001 4 0 4 2 1142 2 1142 0 0 2 0 2 0 1402 2 1402 0 0
192.168.2.55 23.51.49.221 59984 443 35889.2626953125 0.0 807.238 807.238 12 1 11 6 767 3 767 0 0 14 0 14 4 17899 9 17899 0 0
192.168.2.55 23.40.157.96 59969 443 36261.48681640625 18015.87 18993.036 977.166 6 0 6 2 1142 4 2284 2 1142 4 0 4 2 1432 2 1432 0 0
192.168.2.55 23.40.157.96 59969 443 37291.895751953125 19046.279 19835.95 789.671 4 0 4 2 1142 2 1142 0 0 6 0 6 2 3621 4 3621 0 0
192.168.2.55 23.214.204.249 59985 443 38082.31982421875 0.0 494.782 494.782 18 1 17 12 763 3 763 0 0 20 0 20 4 45377 15 45377 0 0
192.168.2.55 23.40.157.96 59969 443 38560.4365234375 20314.82 20987.09 672.27 4 0 4 2 1142 2 1142 0 0 4 0 4 0 5376 4 5376 0 0
192.168.2.55 140.82.121.4 59986 443 39303.15771484375 0.0 338.658 338.658 7 0 6 3 748 3 748 0 0 8 0 8 3 3763 4 3763 0 0
192.168.2.55 23.40.157.96 59969 443 39666.5126953125 21420.896 22352.618 931.722 6 0 6 2 1142 4 2284 2 1142 6 0 6 2 6019 4 6019 0 0
192.168.2.55 140.82.121.4 59987 443 39644.9677734375 0.0 968.932 968.932 22 0 21 17 744 3 744 0 0 24 0 24 3 53319 20 53319 0 0
192.168.2.55 140.82.121.4 59987 443 40892.02685546875 1247.059 1247.272 0.213 1 1 1 0 0 0 0 0 0 2 0 2 1 24 1 24 0 0
192.168.2.55 140.82.121.4 59986 443 40614.37890625 1311.221 1589.237 278.016 2 1 2 0 0 0 0 0 0 2 0 2 1 24 1 24 0 0
192.168.2.55 63.140.62.27 59961 443 30972.432861328125 12932.967 12933.056 0.089 1 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0
192.168.2.55 23.40.157.96 59969 443 40683.535888671875 22437.919 23342.736 904.817 5 0 5 2 1141 3 1711 1 570 8 0 8 4 6124 4 6124 0 0
192.168.2.55 2.22.32.204 59962 443 21316.41650390625 3215.532 3383.586 168.054 17 0 17 15 199 2 199 0 0 24 0 24 1 39143 23 39143 0 0
