EVENT	UNIX_TS	FROM_ORIGIN_MS	FROM_ORIGIN_S
origin	1718789177902.1133	0.0	0.0
sniffer-on	1718789177910.2498	8.136474609375	0.008136474609375
skygo-on	1718789177910.2498	8.136474609375	0.008136474609375
skysportuno-on	1718789221242.5881	43340.474853515625	43.34047485351562
skysportuno-off	1718789269242.052	91339.93872070312	91.33993872070313
skysportcalcio-on	1718789282504.9832	104602.86987304688	104.60286987304687
skysportcalcio-off	1718789334504.1533	156602.0400390625	156.6020400390625
skysporttennis-on	1718789348786.895	170884.78173828125	170.88478173828125
skysporttennis-off	1718789403786.444	225884.33081054688	225.88433081054689
skygo-off	1718789416380.679	238478.56567382812	238.47856567382811
sniffer-off	1718789416513.7078	238611.59448242188	238.61159448242188
