EVENT	UNIX_TS	FROM_ORIGIN_MS	FROM_ORIGIN_S
origin	1718789832188.2202	0.0	0.0
sniffer-on	1718789832196.2761	8.055908203125	0.008055908203125
skygo-on	1718789832196.2761	8.055908203125	0.008055908203125
skysportuno-on	1718789875481.7148	43293.49462890625	43.29349462890625
skysportuno-off	1718789926481.7468	94293.52661132812	94.29352661132812
skysportcalcio-on	1718789936776.9995	104588.779296875	104.588779296875
skysportcalcio-off	1718789981777.0176	149588.79736328125	149.58879736328126
skysporttennis-on	1718789992058.9324	159870.71215820312	159.87071215820313
skysporttennis-off	1718790032058.6946	199870.47436523438	199.87047436523437
skygo-off	1718790040666.934	208478.7138671875	208.4787138671875
sniffer-off	1718790040790.9624	208602.7421875	208.6027421875
