EVENT	UNIX_TS	FROM_ORIGIN_MS	FROM_ORIGIN_S
origin	1718790050790.1611	0.0	0.0
sniffer-on	1718790050798.2046	8.04345703125	0.00804345703125
skygo-on	1718790050798.2046	8.04345703125	0.00804345703125
skysportuno-on	1718790094072.164	43282.0029296875	43.2820029296875
skysportuno-off	1718790144071.6323	93281.47119140625	93.28147119140625
skysportcalcio-on	1718790157405.5674	106615.40625	106.61540625
skysportcalcio-off	1718790205404.9175	154614.75634765625	154.61475634765625
skysporttennis-on	1718790216704.6086	165914.44750976562	165.91444750976564
skysporttennis-off	1718790264704.3054	213914.14428710938	213.91414428710937
skygo-off	1718790277338.428	226548.26684570312	226.54826684570313
sniffer-off	1718790277465.457	226675.2958984375	226.6752958984375
