EVENT	UNIX_TS	FROM_ORIGIN_MS	FROM_ORIGIN_S
origin	1718790542132.1084	0.0	0.0
sniffer-on	1718790542132.1084	0.0	0.0
skygo-on	1718790542140.135	8.026611328125	0.008026611328125
skysportuno-on	1718790585404.0032	43271.894775390625	43.27189477539063
skysportuno-off	1718790634404.1868	92272.07836914062	92.27207836914063
skysportcalcio-on	1718790647680.896	105548.78759765625	105.54878759765624
skysportcalcio-off	1718790702680.754	160548.6455078125	160.5486455078125
skysporttennis-on	1718790715962.6182	173830.509765625	173.830509765625
skysporttennis-off	1718790763962.7444	221830.63598632812	221.83063598632813
skygo-off	1718790776571.116	234439.00756835938	234.4390075683594
sniffer-off	1718790776689.1428	234557.03442382812	234.55703442382813
