DA TP FP TN FN SM RT TPR FPR ACC
50.0 24 0 0 0 24 0.33 100.0% 0 100.0%
50.5 24 0 0 0 24 0.33 100.0% 0 100.0%
51.0 24 0 0 0 24 0.33 100.0% 0 100.0%
51.5 24 0 0 0 24 0.33 100.0% 0 100.0%
52.0 24 0 0 0 24 0.33 100.0% 0 100.0%
52.5 24 0 0 0 24 0.33 100.0% 0 100.0%
53.0 24 0 0 0 24 0.33 100.0% 0 100.0%
53.5 24 0 0 0 24 0.33 100.0% 0 100.0%
54.0 24 0 0 0 24 0.33 100.0% 0 100.0%
54.5 24 0 0 0 24 0.33 100.0% 0 100.0%
55.0 24 0 0 0 24 0.33 100.0% 0 100.0%
55.5 24 0 0 0 24 0.33 100.0% 0 100.0%
56.0 24 0 0 0 24 0.33 100.0% 0 100.0%
56.5 24 0 0 0 24 0.33 100.0% 0 100.0%
57.0 24 0 0 0 24 0.33 100.0% 0 100.0%
57.5 24 0 0 0 24 0.33 100.0% 0 100.0%
58.0 24 0 0 0 24 0.33 100.0% 0 100.0%
58.5 24 0 0 0 24 0.33 100.0% 0 100.0%
59.0 24 0 0 0 24 0.33 100.0% 0 100.0%
59.5 24 0 0 0 24 0.33 100.0% 0 100.0%
60.0 24 0 0 0 24 0.33 100.0% 0 100.0%
60.5 24 0 0 0 24 0.33 100.0% 0 100.0%
61.0 24 0 0 0 24 0.33 100.0% 0 100.0%
61.5 24 0 0 0 24 0.33 100.0% 0 100.0%
62.0 24 0 0 0 24 0.33 100.0% 0 100.0%
62.5 24 0 0 0 24 0.33 100.0% 0 100.0%
63.0 24 0 0 0 24 0.33 100.0% 0 100.0%
63.5 24 0 0 0 24 0.33 100.0% 0 100.0%
64.0 24 0 0 0 24 0.33 100.0% 0 100.0%
64.5 24 0 0 0 24 0.33 100.0% 0 100.0%
65.0 24 0 0 0 24 0.33 100.0% 0 100.0%
65.5 24 0 0 0 24 0.33 100.0% 0 100.0%
66.0 24 0 0 0 24 0.33 100.0% 0 100.0%
66.5 24 0 0 0 24 0.33 100.0% 0 100.0%
67.0 24 0 0 0 24 0.33 100.0% 0 100.0%
67.5 24 0 0 0 24 0.33 100.0% 0 100.0%
68.0 24 0 0 0 24 0.33 100.0% 0 100.0%
68.5 24 0 0 0 24 0.33 100.0% 0 100.0%
69.0 24 0 0 0 24 0.33 100.0% 0 100.0%
69.5 24 0 0 0 24 0.33 100.0% 0 100.0%
70.0 24 0 0 0 24 0.33 100.0% 0 100.0%
70.5 24 0 0 0 24 0.33 100.0% 0 100.0%
71.0 24 0 0 0 24 0.33 100.0% 0 100.0%
71.5 24 0 0 0 24 0.33 100.0% 0 100.0%
72.0 24 0 0 0 24 0.33 100.0% 0 100.0%
72.5 24 0 0 0 24 0.33 100.0% 0 100.0%
73.0 24 0 0 0 24 0.33 100.0% 0 100.0%
73.5 24 0 0 0 24 0.33 100.0% 0 100.0%
74.0 24 0 0 0 24 0.33 100.0% 0 100.0%
74.5 24 0 0 0 24 0.33 100.0% 0 100.0%
75.0 24 0 0 0 24 0.33 100.0% 0 100.0%
75.5 24 0 0 0 24 0.33 100.0% 0 100.0%
76.0 24 0 0 0 24 0.33 100.0% 0 100.0%
76.5 24 0 0 0 24 0.33 100.0% 0 100.0%
77.0 24 0 0 0 24 0.33 100.0% 0 100.0%
77.5 24 0 0 0 24 0.33 100.0% 0 100.0%
78.0 24 0 0 0 24 0.33 100.0% 0 100.0%
78.5 24 0 0 0 24 0.33 100.0% 0 100.0%
79.0 24 0 0 0 24 0.33 100.0% 0 100.0%
79.5 24 0 0 0 24 0.33 100.0% 0 100.0%
80.0 24 0 0 0 24 0.33 100.0% 0 100.0%
80.5 24 0 0 0 24 0.33 100.0% 0 100.0%
81.0 24 0 0 0 24 0.33 100.0% 0 100.0%
81.5 24 0 0 0 24 0.33 100.0% 0 100.0%
82.0 24 0 0 0 24 0.33 100.0% 0 100.0%
82.5 24 0 0 0 24 0.33 100.0% 0 100.0%
83.0 24 0 0 0 24 0.33 100.0% 0 100.0%
83.5 24 0 0 0 24 0.33 100.0% 0 100.0%
84.0 24 0 0 0 24 0.33 100.0% 0 100.0%
84.5 24 0 0 0 24 0.33 100.0% 0 100.0%
85.0 24 0 0 0 24 0.33 100.0% 0 100.0%
85.5 24 0 0 0 24 0.33 100.0% 0 100.0%
86.0 24 0 0 0 24 0.33 100.0% 0 100.0%
86.5 24 0 0 0 24 0.33 100.0% 0 100.0%
87.0 24 0 0 0 24 0.33 100.0% 0 100.0%
87.5 24 0 0 0 24 0.33 100.0% 0 100.0%
88.0 24 0 0 0 24 0.33 100.0% 0 100.0%
88.5 24 0 0 0 24 0.33 100.0% 0 100.0%
89.0 24 0 0 0 24 0.33 100.0% 0 100.0%
89.5 24 0 0 0 24 0.33 100.0% 0 100.0%
90.0 24 0 0 0 24 0.33 100.0% 0 100.0%
90.5 24 0 0 0 24 0.33 100.0% 0 100.0%
91.0 24 0 0 0 24 0.33 100.0% 0 100.0%
91.5 24 0 0 0 24 0.33 100.0% 0 100.0%
92.0 24 0 0 0 24 0.33 100.0% 0 100.0%
92.5 24 0 0 0 24 0.33 100.0% 0 100.0%
93.0 24 0 0 0 24 0.33 100.0% 0 100.0%
93.5 24 0 0 0 24 0.33 100.0% 0 100.0%
94.0 24 0 0 0 24 0.33 100.0% 0 100.0%
94.5 24 0 0 0 24 0.33 100.0% 0 100.0%
95.0 24 0 0 0 24 0.33 100.0% 0 100.0%
95.5 24 0 0 0 24 0.33 100.0% 0 100.0%
96.0 24 0 0 0 24 0.33 100.0% 0 100.0%
96.5 24 0 0 0 24 0.33 100.0% 0 100.0%
97.0 24 0 0 0 24 0.33 100.0% 0 100.0%
97.5 24 0 0 0 24 0.33 100.0% 0 100.0%
98.0 24 0 0 0 24 0.33 100.0% 0 100.0%
98.5 24 0 0 0 24 0.33 100.0% 0 100.0%
99.0 24 0 0 0 24 0.33 100.0% 0 100.0%
99.5 24 0 0 0 24 0.33 100.0% 0 100.0%
100.0 24 0 0 0 24 0.33 100.0% 0 100.0%
100.5 24 0 0 0 24 0.33 100.0% 0 100.0%
101.0 24 0 0 0 24 0.33 100.0% 0 100.0%
101.5 24 0 0 0 24 0.33 100.0% 0 100.0%
102.0 24 0 0 0 24 0.33 100.0% 0 100.0%
102.5 24 0 0 0 24 0.33 100.0% 0 100.0%
103.0 24 0 0 0 24 0.33 100.0% 0 100.0%
103.5 24 0 0 0 24 0.33 100.0% 0 100.0%
104.0 24 0 0 0 24 0.33 100.0% 0 100.0%
104.5 24 0 0 0 24 0.33 100.0% 0 100.0%
105.0 24 0 0 0 24 0.33 100.0% 0 100.0%
105.5 24 0 0 0 24 0.33 100.0% 0 100.0%
106.0 24 0 0 0 24 0.33 100.0% 0 100.0%
106.5 24 0 0 0 24 0.33 100.0% 0 100.0%
107.0 24 0 0 0 24 0.33 100.0% 0 100.0%
107.5 24 0 0 0 24 0.33 100.0% 0 100.0%
108.0 24 0 0 0 24 0.33 100.0% 0 100.0%
108.5 24 0 0 0 24 0.33 100.0% 0 100.0%
109.0 24 0 0 0 24 0.33 100.0% 0 100.0%
109.5 24 0 0 0 24 0.33 100.0% 0 100.0%
110.0 24 0 0 0 24 0.33 100.0% 0 100.0%
110.5 24 0 0 0 24 0.33 100.0% 0 100.0%
111.0 24 0 0 0 24 0.33 100.0% 0 100.0%
111.5 24 0 0 0 24 0.33 100.0% 0 100.0%
112.0 24 0 0 0 24 0.33 100.0% 0 100.0%
112.5 24 0 0 0 24 0.33 100.0% 0 100.0%
113.0 24 0 0 0 24 0.33 100.0% 0 100.0%
113.5 24 0 0 0 24 0.33 100.0% 0 100.0%
114.0 24 0 0 0 24 0.33 100.0% 0 100.0%
114.5 24 0 0 0 24 0.33 100.0% 0 100.0%
115.0 24 0 0 0 24 0.33 100.0% 0 100.0%
115.5 24 0 0 0 24 0.33 100.0% 0 100.0%
116.0 24 0 0 0 24 0.33 100.0% 0 100.0%
116.5 24 0 0 0 24 0.33 100.0% 0 100.0%
117.0 24 0 0 0 24 0.33 100.0% 0 100.0%
117.5 24 0 0 0 24 0.33 100.0% 0 100.0%
118.0 24 0 0 0 24 0.33 100.0% 0 100.0%
118.5 24 0 0 0 24 0.33 100.0% 0 100.0%
119.0 24 0 0 0 24 0.33 100.0% 0 100.0%
119.5 24 0 0 0 24 0.33 100.0% 0 100.0%
120.0 24 0 0 0 24 0.33 100.0% 0 100.0%
120.5 24 0 0 0 24 0.33 100.0% 0 100.0%
121.0 24 0 0 0 24 0.33 100.0% 0 100.0%
121.5 24 0 0 0 24 0.33 100.0% 0 100.0%
122.0 24 0 0 0 24 0.33 100.0% 0 100.0%
122.5 24 0 0 0 24 0.33 100.0% 0 100.0%
123.0 24 0 0 0 24 0.33 100.0% 0 100.0%
123.5 24 0 0 0 24 0.33 100.0% 0 100.0%
124.0 24 0 0 0 24 0.33 100.0% 0 100.0%
124.5 24 0 0 0 24 0.33 100.0% 0 100.0%
125.0 24 0 0 0 24 0.33 100.0% 0 100.0%
125.5 24 0 0 0 24 0.33 100.0% 0 100.0%
126.0 24 0 0 0 24 0.33 100.0% 0 100.0%
126.5 24 0 0 0 24 0.33 100.0% 0 100.0%
127.0 24 0 0 0 24 0.33 100.0% 0 100.0%
127.5 24 0 0 0 24 0.33 100.0% 0 100.0%
128.0 24 0 0 0 24 0.33 100.0% 0 100.0%
128.5 24 0 0 0 24 0.33 100.0% 0 100.0%
129.0 24 0 0 0 24 0.33 100.0% 0 100.0%
129.5 24 0 0 0 24 0.33 100.0% 0 100.0%
130.0 24 0 0 0 24 0.33 100.0% 0 100.0%
130.5 24 0 0 0 24 0.33 100.0% 0 100.0%
131.0 24 0 0 0 24 0.33 100.0% 0 100.0%
131.5 24 0 0 0 24 0.33 100.0% 0 100.0%
132.0 24 0 0 0 24 0.33 100.0% 0 100.0%
132.5 24 0 0 0 24 0.33 100.0% 0 100.0%
133.0 24 0 0 0 24 0.33 100.0% 0 100.0%
133.5 24 0 0 0 24 0.33 100.0% 0 100.0%
134.0 24 0 0 0 24 0.33 100.0% 0 100.0%
134.5 24 0 0 0 24 0.33 100.0% 0 100.0%
135.0 24 0 0 0 24 0.33 100.0% 0 100.0%
135.5 24 0 0 0 24 0.33 100.0% 0 100.0%
136.0 24 0 0 0 24 0.33 100.0% 0 100.0%
136.5 24 0 0 0 24 0.33 100.0% 0 100.0%
137.0 24 0 0 0 24 0.33 100.0% 0 100.0%
137.5 24 0 0 0 24 0.33 100.0% 0 100.0%
138.0 24 0 0 0 24 0.33 100.0% 0 100.0%
138.5 24 0 0 0 24 0.33 100.0% 0 100.0%
139.0 24 0 0 0 24 0.33 100.0% 0 100.0%
139.5 24 0 0 0 24 0.33 100.0% 0 100.0%
140.0 24 0 0 0 24 0.33 100.0% 0 100.0%
140.5 24 0 0 0 24 0.33 100.0% 0 100.0%
141.0 24 0 0 0 24 0.33 100.0% 0 100.0%
141.5 24 0 0 0 24 0.33 100.0% 0 100.0%
142.0 24 0 0 0 24 0.33 100.0% 0 100.0%
142.5 24 0 0 0 24 0.33 100.0% 0 100.0%
143.0 24 0 0 0 24 0.33 100.0% 0 100.0%
143.5 24 0 0 0 24 0.33 100.0% 0 100.0%
144.0 24 0 0 0 24 0.33 100.0% 0 100.0%
144.5 24 0 0 0 24 0.33 100.0% 0 100.0%
145.0 24 0 0 0 24 0.33 100.0% 0 100.0%
145.5 24 0 0 0 24 0.33 100.0% 0 100.0%
146.0 24 0 0 0 24 0.33 100.0% 0 100.0%
146.5 24 0 0 0 24 0.33 100.0% 0 100.0%
147.0 24 0 0 0 24 0.33 100.0% 0 100.0%
147.5 24 0 0 0 24 0.33 100.0% 0 100.0%
148.0 24 0 0 0 24 0.33 100.0% 0 100.0%
148.5 24 0 0 0 24 0.33 100.0% 0 100.0%
149.0 24 0 0 0 24 0.33 100.0% 0 100.0%
149.5 24 0 0 0 24 0.33 100.0% 0 100.0%
150.0 24 0 0 0 24 0.33 100.0% 0 100.0%
150.5 24 0 0 0 24 0.33 100.0% 0 100.0%
151.0 24 0 0 0 24 0.33 100.0% 0 100.0%
151.5 24 0 0 0 24 0.33 100.0% 0 100.0%
152.0 24 0 0 0 24 0.33 100.0% 0 100.0%
152.5 24 0 0 0 24 0.33 100.0% 0 100.0%
153.0 24 0 0 0 24 0.33 100.0% 0 100.0%
153.5 24 0 0 0 24 0.33 100.0% 0 100.0%
154.0 24 0 0 0 24 0.33 100.0% 0 100.0%
154.5 24 0 0 0 24 0.33 100.0% 0 100.0%
155.0 24 0 0 0 24 0.33 100.0% 0 100.0%
155.5 24 0 0 0 24 0.33 100.0% 0 100.0%
156.0 24 0 0 0 24 0.33 100.0% 0 100.0%
156.5 24 0 0 0 24 0.33 100.0% 0 100.0%
157.0 24 0 0 0 24 0.33 100.0% 0 100.0%
157.5 24 0 0 0 24 0.33 100.0% 0 100.0%
158.0 24 0 0 0 24 0.33 100.0% 0 100.0%
158.5 24 0 0 0 24 0.33 100.0% 0 100.0%
159.0 24 0 0 0 24 0.33 100.0% 0 100.0%
159.5 24 0 0 0 24 0.33 100.0% 0 100.0%
160.0 24 0 0 0 24 0.33 100.0% 0 100.0%
