DA TP FP TN FN SM RT TPR FPR ACC
229.0 24 0 0 0 24 0.33 100.0% 0 100.0%
229.5 24 0 0 0 24 0.33 100.0% 0 100.0%
230.0 24 0 0 0 24 0.33 100.0% 0 100.0%
230.5 24 0 0 0 24 0.33 100.0% 0 100.0%
231.0 24 0 0 0 24 0.33 100.0% 0 100.0%
231.5 24 0 0 0 24 0.33 100.0% 0 100.0%
232.0 24 0 0 0 24 0.33 100.0% 0 100.0%
232.5 24 0 0 0 24 0.33 100.0% 0 100.0%
233.0 24 0 0 0 24 0.33 100.0% 0 100.0%
233.5 24 0 0 0 24 0.33 100.0% 0 100.0%
234.0 24 0 0 0 24 0.33 100.0% 0 100.0%
234.5 24 0 0 0 24 0.33 100.0% 0 100.0%
235.0 24 0 0 0 24 0.33 100.0% 0 100.0%
235.5 24 0 0 0 24 0.33 100.0% 0 100.0%
236.0 24 0 0 0 24 0.33 100.0% 0 100.0%
236.5 24 0 0 0 24 0.33 100.0% 0 100.0%
237.0 24 0 0 0 24 0.33 100.0% 0 100.0%
237.5 24 0 0 0 24 0.33 100.0% 0 100.0%
238.0 24 0 0 0 24 0.33 100.0% 0 100.0%
238.5 24 0 0 0 24 0.33 100.0% 0 100.0%
239.0 24 0 0 0 24 0.33 100.0% 0 100.0%
239.5 24 0 0 0 24 0.33 100.0% 0 100.0%
240.0 24 0 0 0 24 0.33 100.0% 0 100.0%
240.5 24 0 0 0 24 0.33 100.0% 0 100.0%
241.0 24 0 0 0 24 0.33 100.0% 0 100.0%
241.5 24 0 0 0 24 0.33 100.0% 0 100.0%
242.0 24 0 0 0 24 0.33 100.0% 0 100.0%
242.5 24 0 0 0 24 0.33 100.0% 0 100.0%
243.0 24 0 0 0 24 0.33 100.0% 0 100.0%
243.5 24 0 0 0 24 0.33 100.0% 0 100.0%
244.0 24 0 0 0 24 0.33 100.0% 0 100.0%
244.5 24 0 0 0 24 0.33 100.0% 0 100.0%
245.0 24 0 0 0 24 0.33 100.0% 0 100.0%
245.5 24 0 0 0 24 0.33 100.0% 0 100.0%
246.0 24 0 0 0 24 0.33 100.0% 0 100.0%
246.5 24 0 0 0 24 0.33 100.0% 0 100.0%
247.0 24 0 0 0 24 0.33 100.0% 0 100.0%
247.5 24 0 0 0 24 0.33 100.0% 0 100.0%
248.0 24 0 0 0 24 0.33 100.0% 0 100.0%
248.5 24 0 0 0 24 0.33 100.0% 0 100.0%
249.0 24 0 0 0 24 0.33 100.0% 0 100.0%
249.5 24 0 0 0 24 0.33 100.0% 0 100.0%
250.0 24 0 0 0 24 0.33 100.0% 0 100.0%
250.5 24 0 0 0 24 0.33 100.0% 0 100.0%
251.0 24 0 0 0 24 0.33 100.0% 0 100.0%
251.5 24 0 0 0 24 0.33 100.0% 0 100.0%
252.0 24 0 0 0 24 0.33 100.0% 0 100.0%
252.5 24 0 0 0 24 0.33 100.0% 0 100.0%
253.0 24 0 0 0 24 0.33 100.0% 0 100.0%
253.5 24 0 0 0 24 0.33 100.0% 0 100.0%
254.0 24 0 0 0 24 0.33 100.0% 0 100.0%
254.5 24 0 0 0 24 0.33 100.0% 0 100.0%
255.0 24 0 0 0 24 0.33 100.0% 0 100.0%
255.5 24 0 0 0 24 0.33 100.0% 0 100.0%
256.0 24 0 0 0 24 0.33 100.0% 0 100.0%
256.5 24 0 0 0 24 0.33 100.0% 0 100.0%
257.0 24 0 0 0 24 0.33 100.0% 0 100.0%
257.5 24 0 0 0 24 0.33 100.0% 0 100.0%
258.0 24 0 0 0 24 0.33 100.0% 0 100.0%
258.5 24 0 0 0 24 0.33 100.0% 0 100.0%
259.0 24 0 0 0 24 0.33 100.0% 0 100.0%
259.5 24 0 0 0 24 0.33 100.0% 0 100.0%
260.0 24 0 0 0 24 0.33 100.0% 0 100.0%
260.5 24 0 0 0 24 0.33 100.0% 0 100.0%
261.0 24 0 0 0 24 0.33 100.0% 0 100.0%
261.5 24 0 0 0 24 0.33 100.0% 0 100.0%
262.0 24 0 0 0 24 0.33 100.0% 0 100.0%
262.5 24 0 0 0 24 0.33 100.0% 0 100.0%
263.0 24 0 0 0 24 0.33 100.0% 0 100.0%
263.5 24 0 0 0 24 0.33 100.0% 0 100.0%
264.0 24 0 0 0 24 0.33 100.0% 0 100.0%
264.5 24 0 0 0 24 0.33 100.0% 0 100.0%
265.0 24 0 0 0 24 0.33 100.0% 0 100.0%
265.5 24 0 0 0 24 0.33 100.0% 0 100.0%
266.0 24 0 0 0 24 0.33 100.0% 0 100.0%
266.5 24 0 0 0 24 0.33 100.0% 0 100.0%
267.0 24 0 0 0 24 0.33 100.0% 0 100.0%
267.5 24 0 0 0 24 0.33 100.0% 0 100.0%
268.0 24 0 0 0 24 0.33 100.0% 0 100.0%
268.5 24 0 0 0 24 0.33 100.0% 0 100.0%
269.0 24 0 0 0 24 0.33 100.0% 0 100.0%
269.5 24 0 0 0 24 0.33 100.0% 0 100.0%
270.0 24 0 0 0 24 0.33 100.0% 0 100.0%
270.5 24 0 0 0 24 0.33 100.0% 0 100.0%
271.0 24 0 0 0 24 0.33 100.0% 0 100.0%
271.5 24 0 0 0 24 0.33 100.0% 0 100.0%
272.0 24 0 0 0 24 0.33 100.0% 0 100.0%
272.5 24 0 0 0 24 0.33 100.0% 0 100.0%
273.0 24 0 0 0 24 0.33 100.0% 0 100.0%
273.5 24 0 0 0 24 0.33 100.0% 0 100.0%
274.0 24 0 0 0 24 0.33 100.0% 0 100.0%
274.5 24 0 0 0 24 0.33 100.0% 0 100.0%
275.0 24 0 0 0 24 0.33 100.0% 0 100.0%
275.5 24 0 0 0 24 0.33 100.0% 0 100.0%
276.0 24 0 0 0 24 0.33 100.0% 0 100.0%
276.5 24 0 0 0 24 0.33 100.0% 0 100.0%
277.0 24 0 0 0 24 0.33 100.0% 0 100.0%
277.5 24 0 0 0 24 0.33 100.0% 0 100.0%
278.0 24 0 0 0 24 0.33 100.0% 0 100.0%
278.5 24 0 0 0 24 0.33 100.0% 0 100.0%
279.0 24 0 0 0 24 0.33 100.0% 0 100.0%
279.5 24 0 0 0 24 0.33 100.0% 0 100.0%
280.0 24 0 0 0 24 0.33 100.0% 0 100.0%
280.5 24 0 0 0 24 0.33 100.0% 0 100.0%
281.0 24 0 0 0 24 0.33 100.0% 0 100.0%
281.5 24 0 0 0 24 0.33 100.0% 0 100.0%
282.0 24 0 0 0 24 0.33 100.0% 0 100.0%
282.5 24 0 0 0 24 0.33 100.0% 0 100.0%
283.0 24 0 0 0 24 0.33 100.0% 0 100.0%
283.5 24 0 0 0 24 0.33 100.0% 0 100.0%
284.0 24 0 0 0 24 0.33 100.0% 0 100.0%
284.5 24 0 0 0 24 0.33 100.0% 0 100.0%
285.0 24 0 0 0 24 0.33 100.0% 0 100.0%
285.5 24 0 0 0 24 0.33 100.0% 0 100.0%
286.0 24 0 0 0 24 0.33 100.0% 0 100.0%
286.5 24 0 0 0 24 0.33 100.0% 0 100.0%
287.0 24 0 0 0 24 0.33 100.0% 0 100.0%
287.5 24 0 0 0 24 0.33 100.0% 0 100.0%
288.0 24 0 0 0 24 0.33 100.0% 0 100.0%
288.5 24 0 0 0 24 0.33 100.0% 0 100.0%
289.0 24 0 0 0 24 0.33 100.0% 0 100.0%
289.5 24 0 0 0 24 0.33 100.0% 0 100.0%
290.0 24 0 0 0 24 0.33 100.0% 0 100.0%
290.5 24 0 0 0 24 0.33 100.0% 0 100.0%
291.0 24 0 0 0 24 0.33 100.0% 0 100.0%
291.5 24 0 0 0 24 0.33 100.0% 0 100.0%
292.0 24 0 0 0 24 0.33 100.0% 0 100.0%
292.5 24 0 0 0 24 0.33 100.0% 0 100.0%
293.0 24 0 0 0 24 0.33 100.0% 0 100.0%
293.5 24 0 0 0 24 0.33 100.0% 0 100.0%
294.0 24 0 0 0 24 0.33 100.0% 0 100.0%
294.5 24 0 0 0 24 0.33 100.0% 0 100.0%
295.0 24 0 0 0 24 0.33 100.0% 0 100.0%
295.5 24 0 0 0 24 0.33 100.0% 0 100.0%
296.0 24 0 0 0 24 0.33 100.0% 0 100.0%
296.5 24 0 0 0 24 0.33 100.0% 0 100.0%
297.0 24 0 0 0 24 0.33 100.0% 0 100.0%
297.5 24 0 0 0 24 0.33 100.0% 0 100.0%
298.0 24 0 0 0 24 0.33 100.0% 0 100.0%
298.5 24 0 0 0 24 0.33 100.0% 0 100.0%
299.0 24 0 0 0 24 0.33 100.0% 0 100.0%
299.5 24 0 0 0 24 0.33 100.0% 0 100.0%
300.0 24 0 0 0 24 0.33 100.0% 0 100.0%
