CL_IP SV_IP CL_PR SV_PR UP_BY DW_BY TS_FP TS_LP CN_CL CN_SV CN_DQ HT_HN PROTO DT_FP CNAME
192.168.97.55 13.226.244.3 55935 443 15422 188236 753.087890625 "1970-01-01 00:00:08.858418945" - - www.dazn.com - TLS "1970-01-01 00:00:00.753087891" www.dazn.com
192.168.97.55 142.250.181.227 55936 443 2354 7017 792.765869140625 "1970-01-01 00:00:08.856926025" clientservices.googleapis.com - clientservices.googleapis.com - TLS "1970-01-01 00:00:00.792765869" clientservices.googleapis.com
192.168.97.55 173.194.69.84 55937 443 1803 6542 911.8486328125 "1970-01-01 00:00:08.857322021" accounts.google.com - accounts.google.com - TLS "1970-01-01 00:00:00.911848633" accounts.google.com
192.168.97.55 104.19.178.52 55938 443 1791 3792 1072.45703125 "1970-01-01 00:00:08.831302002" cdn.cookielaw.org - cdn.cookielaw.org - TLS "1970-01-01 00:00:01.072457031" cdn.cookielaw.org
192.168.97.55 13.226.244.91 55939 443 1805 6198 1079.114013671875 "1970-01-01 00:00:08.857621826" - - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:01.079114014" acc.indazn.com
192.168.97.55 18.65.65.76 55940 443 1855 6175 1097.77587890625 "1970-01-01 00:00:08.857653809" - - static.dazndn.com - TLS "1970-01-01 00:00:01.097775879" static.dazndn.com
192.168.97.55 3.72.218.66 55941 443 2943 39603 1148.845947265625 "1970-01-01 00:00:08.873192627" startup.core.indazn.com core.indazn.com startup.core.indazn.com - TLS "1970-01-01 00:00:01.148845947" core.indazn.com
192.168.97.55 162.247.241.2 55942 443 13121 7047 1221.427978515625 "1970-01-01 00:00:08.828886963" - - bam-cell.nr-data.net - TLS "1970-01-01 00:00:01.221427979" nr.data.net
192.168.97.55 13.226.244.14 55943 443 4293 8164 1498.5419921875 "1970-01-01 00:00:08.858396973" user-profile.ar.indazn.com - user-profile.ar.indazn.com - TLS "1970-01-01 00:00:01.498541992" ar.indazn.com
192.168.97.55 13.226.244.3 55944 443 1786 6223 2084.91064453125 "1970-01-01 00:00:08.857667969" www.dazn.com - www.dazn.com - TLS "1970-01-01 00:00:02.084910645" www.dazn.com
192.168.97.55 18.65.64.11 55945 443 2715 7462 2103.8349609375 "1970-01-01 00:00:08.873092041" - - pkg.fe.indazn.com - TLS "1970-01-01 00:00:02.103834961" fe.indazn.com
192.168.97.55 13.226.244.83 55946 443 1803 6179 2104.2529296875 "1970-01-01 00:00:08.857680664" - - youth-protection.dazn-api.com - TLS "1970-01-01 00:00:02.104252930" dazn.api.com
192.168.97.55 18.65.82.54 55947 443 1903 6215 2157.071044921875 "1970-01-01 00:00:08.857403809" content-item.discovery.indazn.com - content-item.discovery.indazn.com - TLS "1970-01-01 00:00:02.157071045" discovery.indazn.com
192.168.97.55 52.29.153.29 55948 443 4486 5850 2157.721923828125 "1970-01-01 00:00:20.926873047" - pubby.indazn.com pubby.indazn.com - TLS "1970-01-01 00:00:02.157721924" pubby.indazn.com
192.168.97.55 108.139.210.118 55949 443 1832 6215 2158.037841796875 "1970-01-01 00:00:08.857427979" event.discovery.indazn.com - event.discovery.indazn.com - TLS "1970-01-01 00:00:02.158037842" discovery.indazn.com
192.168.97.55 18.65.82.56 55950 443 1801 6215 2158.200927734375 "1970-01-01 00:00:08.857604980" search.discovery.indazn.com - search.discovery.indazn.com - TLS "1970-01-01 00:00:02.158200928" discovery.indazn.com
192.168.97.55 108.139.210.50 55951 443 4160 7802 2158.77099609375 "1970-01-01 00:00:08.873155029" authentication-prod.ar.indazn.com - authentication-prod.ar.indazn.com - TLS "1970-01-01 00:00:02.158770996" ar.indazn.com
192.168.97.55 18.65.82.71 55952 443 1882 6174 2200.108642578125 "1970-01-01 00:00:08.856996826" - - cdn.dazn.com - TLS "1970-01-01 00:00:02.200108643" cdn.dazn.com
192.168.97.55 18.65.82.120 55953 443 1833 6249 2227.72998046875 "1970-01-01 00:00:08.857635986" images.discovery.indazn.com - images.discovery.indazn.com - TLS "1970-01-01 00:00:02.227729980" discovery.indazn.com
192.168.97.55 142.250.186.78 55954 443 1808 6955 2406.447998046875 "1970-01-01 00:00:08.857703857" www.google-analytics.com - www.google-analytics.com - TLS "1970-01-01 00:00:02.406447998" google.analytics.com
192.168.97.55 18.65.82.125 55955 443 4083 7447 2599.53466796875 "1970-01-01 00:00:08.873173828" - - onboarding.indazn.com - TLS "1970-01-01 00:00:02.599534668" onboarding.indazn.com
192.168.97.55 108.139.229.123 55956 443 4956 15367 2684.3759765625 "1970-01-01 00:00:08.873131836" tiered-pricing-offer-service.ar.indazn.com - tiered-pricing-offer-service.ar.indazn.com - TLS "1970-01-01 00:00:02.684375977" ar.indazn.com
192.168.97.55 18.156.47.60 55957 443 6972 10699 2684.640625 "1970-01-01 00:00:08.878254639" segmentation-service-api.discovery.indazn.com discovery.indazn.com segmentation-service-api.discovery.indazn.com - TLS "1970-01-01 00:00:02.684640625" discovery.indazn.com
192.168.97.55 13.226.244.73 55958 443 4327 8577 2684.765869140625 "1970-01-01 00:00:08.858452637" subscriptions-service.ar.indazn.com - subscriptions-service.ar.indazn.com - TLS "1970-01-01 00:00:02.684765869" ar.indazn.com
192.168.97.55 18.196.109.79 55959 443 4197 6060 2699.19384765625 "1970-01-01 00:00:08.878297852" - partner-integration.ar.indazn.com partner-integration.ar.indazn.com - TLS "1970-01-01 00:00:02.699193848" ar.indazn.com
192.168.97.55 108.139.210.24 55960 443 9776 154758 2699.434814453125 "1970-01-01 00:00:08.859380615" rail-router.discovery.indazn.com - rail-router.discovery.indazn.com - TLS "1970-01-01 00:00:02.699434814" discovery.indazn.com
192.168.97.55 108.139.229.69 55961 443 4207 9195 2708.93994140625 "1970-01-01 00:00:08.873111816" - - ott-authz-bff-prod.ar.indazn.com - TLS "1970-01-01 00:00:02.708939941" ar.indazn.com
192.168.97.55 151.101.242.49 55962 443 4442 8208 2723.951904296875 "1970-01-01 00:00:08.858441895" - cdn.contentful.com cdn.contentful.com - TLS "1970-01-01 00:00:02.723951904" cdn.contentful.com
192.168.97.55 172.64.155.119 55963 443 3329 6139 2726.074951171875 "1970-01-01 00:00:08.858428955" consent-api.onetrust.com - consent-api.onetrust.com - TLS "1970-01-01 00:00:02.726074951" api.onetrust.com
192.168.97.55 13.35.198.11 55964 443 4180 6820 3175.333984375 "1970-01-01 00:00:08.873007812" wa.appsflyer.com - wa.appsflyer.com - TLS "1970-01-01 00:00:03.175333984" wa.appsflyer.com
