CL_IP SV_IP CL_PR SV_PR UP_BY DW_BY TS_FP TS_LP CN_CL CN_SV CN_DQ HT_HN PROTO DT_FP CNAME
192.168.97.55 142.250.181.227 55086 443 2354 7017 768.29833984375 "1970-01-01 00:00:02.920164307" clientservices.googleapis.com - clientservices.googleapis.com - TLS "1970-01-01 00:00:00.768298340" clientservices.googleapis.com
192.168.97.55 13.226.244.46 55087 443 15364 187901 792.983154296875 "1970-01-01 00:00:02.920113281" - - www.dazn.com - TLS "1970-01-01 00:00:00.792983154" www.dazn.com
192.168.97.55 173.194.69.84 55088 443 1899 6543 902.77294921875 "1970-01-01 00:00:02.925916992" accounts.google.com - accounts.google.com - TLS "1970-01-01 00:00:00.902772949" accounts.google.com
192.168.97.55 104.19.177.52 55089 443 1823 3792 1186.136962890625 "1970-01-01 00:00:02.910525146" - - cdn.cookielaw.org - TLS "1970-01-01 00:00:01.186136963" cdn.cookielaw.org
192.168.97.55 18.65.65.76 55090 443 1823 6175 1203.245361328125 "1970-01-01 00:00:02.919829346" static.dazndn.com - static.dazndn.com - TLS "1970-01-01 00:00:01.203245361" static.dazndn.com
192.168.97.55 13.226.244.78 55091 443 1837 6198 1243.34326171875 "1970-01-01 00:00:02.920046143" resource-strings.acc.indazn.com - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:01.243343262" acc.indazn.com
192.168.97.55 18.159.99.45 55092 443 2974 39632 1306.017333984375 "1970-01-01 00:00:02.931338135" startup.core.indazn.com core.indazn.com startup.core.indazn.com - TLS "1970-01-01 00:00:01.306017334" core.indazn.com
192.168.97.55 162.247.243.30 55093 443 10272 5462 1329.024169921875 "1970-01-01 00:00:02.909490234" bam-cell.nr-data.net - bam-cell.nr-data.net - TLS "1970-01-01 00:00:01.329024170" nr.data.net
192.168.97.55 13.226.244.27 55094 443 4087 7003 1881.229248046875 "1970-01-01 00:00:02.919984131" user-profile.ar.indazn.com - user-profile.ar.indazn.com - TLS "1970-01-01 00:00:01.881229248" ar.indazn.com
192.168.97.55 13.226.244.46 55095 443 1818 6223 2419.294189453125 "1970-01-01 00:00:02.920066162" - - www.dazn.com - TLS "1970-01-01 00:00:02.419294189" www.dazn.com
192.168.97.55 18.65.64.84 55096 443 1823 6185 2443.18017578125 "1970-01-01 00:00:02.919958984" pkg.fe.indazn.com - pkg.fe.indazn.com - TLS "1970-01-01 00:00:02.443180176" fe.indazn.com
192.168.97.55 13.226.244.40 55097 443 1867 6179 2443.684326171875 "1970-01-01 00:00:02.920028320" youth-protection.dazn-api.com - youth-protection.dazn-api.com - TLS "1970-01-01 00:00:02.443684326" dazn.api.com
192.168.97.55 18.157.196.120 55098 443 4486 5850 2451.955322265625 "1970-01-01 00:00:21.055430176" - pubby.indazn.com pubby.indazn.com - TLS "1970-01-01 00:00:02.451955322" pubby.indazn.com
192.168.97.55 108.139.210.45 55099 443 4160 7804 2452.442138671875 "1970-01-01 00:00:02.921740234" authentication-prod.ar.indazn.com - authentication-prod.ar.indazn.com - TLS "1970-01-01 00:00:02.452442139" ar.indazn.com
192.168.97.55 108.139.210.14 55100 443 1864 6215 2477.40234375 "1970-01-01 00:00:02.920093262" - - event.discovery.indazn.com - TLS "1970-01-01 00:00:02.477402344" discovery.indazn.com
