CL_IP SV_IP CL_PR SV_PR UP_BY DW_BY TS_FP TS_LP CN_CL CN_SV CN_DQ HT_HN PROTO DT_FP CNAME
192.168.97.55 13.226.244.27 52005 443 4195 7755 1438.718505859375 "1970-01-01 00:00:07.825438477" user-profile.ar.indazn.com - user-profile.ar.indazn.com - TLS "1970-01-01 00:00:01.438718506" ar.indazn.com
192.168.97.55 34.104.33.69 52006 443 1819 4632 1986.592529296875 "1970-01-01 00:00:07.815845215" - - safe.dazn.com - TLS "1970-01-01 00:00:01.986592529" safe.dazn.com
192.168.97.55 13.226.244.3 52007 443 1850 6223 2120.466552734375 "1970-01-01 00:00:07.825501221" - - - - TLS "1970-01-01 00:00:02.120466553" NONE
192.168.97.55 18.65.64.84 52008 443 2632 7402 2145.702392578125 "1970-01-01 00:00:07.825945557" pkg.fe.indazn.com - pkg.fe.indazn.com - TLS "1970-01-01 00:00:02.145702393" fe.indazn.com
192.168.97.55 13.226.244.83 52009 443 1899 6179 2150.88720703125 "1970-01-01 00:00:07.825986572" youth-protection.dazn-api.com - youth-protection.dazn-api.com - TLS "1970-01-01 00:00:02.150887207" dazn.api.com
192.168.97.55 108.139.210.50 52010 443 4094 7804 2181.75244140625 "1970-01-01 00:00:07.825806396" - - authentication-prod.ar.indazn.com - TLS "1970-01-01 00:00:02.181752441" ar.indazn.com
192.168.97.55 18.157.196.120 52011 443 4454 5850 2212.451171875 "1970-01-01 00:00:21.184089355" - pubby.indazn.com pubby.indazn.com - TLS "1970-01-01 00:00:02.212451172" pubby.indazn.com
192.168.97.55 18.65.82.123 52012 443 1833 6215 2227.808349609375 "1970-01-01 00:00:07.825827393" search.discovery.indazn.com - search.discovery.indazn.com - TLS "1970-01-01 00:00:02.227808350" discovery.indazn.com
192.168.97.55 108.139.210.118 52013 443 1864 6215 2228.257568359375 "1970-01-01 00:00:07.811527588" event.discovery.indazn.com - event.discovery.indazn.com - TLS "1970-01-01 00:00:02.228257568" discovery.indazn.com
192.168.97.55 18.65.82.14 52014 443 1807 6215 2228.495361328125 "1970-01-01 00:00:07.811614502" content-item.discovery.indazn.com - content-item.discovery.indazn.com - TLS "1970-01-01 00:00:02.228495361" discovery.indazn.com
192.168.97.55 52.222.130.37 52015 443 1801 6249 2279.786376953125 "1970-01-01 00:00:07.811559570" - - images.discovery.indazn.com - TLS "1970-01-01 00:00:02.279786377" discovery.indazn.com
192.168.97.55 18.65.82.71 52016 443 1818 6174 2280.277587890625 "1970-01-01 00:00:07.811545166" - - cdn.dazn.com - TLS "1970-01-01 00:00:02.280277588" cdn.dazn.com
192.168.97.55 142.251.209.14 52017 443 1808 7142 2426.503173828125 "1970-01-01 00:00:07.815819580" - - www.google-analytics.com - TLS "1970-01-01 00:00:02.426503174" google.analytics.com
192.168.97.55 18.65.82.121 52018 443 4081 7422 2616.138427734375 "1970-01-01 00:00:07.825887207" onboarding.indazn.com - onboarding.indazn.com - TLS "1970-01-01 00:00:02.616138428" onboarding.indazn.com
192.168.97.55 13.226.244.112 52019 443 4325 8559 2667.3671875 "1970-01-01 00:00:07.825965576" - - subscriptions-service.ar.indazn.com - TLS "1970-01-01 00:00:02.667367188" ar.indazn.com
192.168.97.55 18.196.114.141 52020 443 7034 10728 2667.572509765625 "1970-01-01 00:00:07.834381592" segmentation-service-api.discovery.indazn.com discovery.indazn.com segmentation-service-api.discovery.indazn.com - TLS "1970-01-01 00:00:02.667572510" discovery.indazn.com
192.168.97.55 151.101.242.49 52021 443 4410 8171 2685.24951171875 "1970-01-01 00:00:07.815753174" cdn.contentful.com cdn.contentful.com cdn.contentful.com - TLS "1970-01-01 00:00:02.685249512" cdn.contentful.com
