CL_IP SV_IP CL_PR SV_PR UP_BY DW_BY TS_FP TS_LP CN_CL CN_SV CN_DQ HT_HN PROTO DT_FP CNAME
192.168.97.55 142.250.181.227 52266 443 2322 7016 836.078125 "1970-01-01 00:00:03.437661133" clientservices.googleapis.com - clientservices.googleapis.com - TLS "1970-01-01 00:00:00.836078125" clientservices.googleapis.com
192.168.97.55 173.194.69.84 52267 443 2718 8307 954.256103515625 "1970-01-01 00:00:03.437798828" accounts.google.com - accounts.google.com - TLS "1970-01-01 00:00:00.954256104" accounts.google.com
192.168.97.55 104.19.177.52 52268 443 1791 3793 1107.572998046875 "1970-01-01 00:00:03.437284180" cdn.cookielaw.org - cdn.cookielaw.org - TLS "1970-01-01 00:00:01.107572998" cdn.cookielaw.org
192.168.97.55 13.226.244.41 52269 443 1869 6198 1119.0751953125 "1970-01-01 00:00:03.437495117" resource-strings.acc.indazn.com - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:01.119075195" acc.indazn.com
192.168.97.55 18.159.99.45 52270 443 2975 39603 1213.261962890625 "1970-01-01 00:00:03.437817139" startup.core.indazn.com core.indazn.com startup.core.indazn.com - TLS "1970-01-01 00:00:01.213261963" core.indazn.com
192.168.97.55 18.65.65.76 52271 443 1855 6175 1239.93310546875 "1970-01-01 00:00:03.437697998" static.dazndn.com - static.dazndn.com - TLS "1970-01-01 00:00:01.239933105" static.dazndn.com
192.168.97.55 162.247.243.30 52272 443 3178 4798 1467.235107421875 "1970-01-01 00:00:02.017088135" - - bam-cell.nr-data.net - TLS "1970-01-01 00:00:01.467235107" nr.data.net
192.168.97.55 13.226.244.14 52273 443 4085 7001 1802.817138671875 "1970-01-01 00:00:03.437744141" user-profile.ar.indazn.com - user-profile.ar.indazn.com - TLS "1970-01-01 00:00:01.802817139" ar.indazn.com
192.168.97.55 162.247.243.30 52274 443 12030 1142 2022.369140625 "1970-01-01 00:00:03.436950195" - - bam-cell.nr-data.net - TLS "1970-01-01 00:00:02.022369141" nr.data.net
192.168.97.55 13.226.244.104 52275 443 1882 6223 2556.609130859375 "1970-01-01 00:00:03.437715088" - - - - TLS "1970-01-01 00:00:02.556609131" NONE
