CL_IP SV_IP CL_PR SV_PR UP_BY DW_BY TS_FP TS_LP CN_CL CN_SV CN_DQ HT_HN PROTO DT_FP CNAME
192.168.97.55 13.226.244.46 52539 443 15374 189003 753.3603515625 "1970-01-01 00:00:07.919516356" www.dazn.com - www.dazn.com - TLS "1970-01-01 00:00:00.753360352" www.dazn.com
192.168.97.55 142.250.181.227 52540 443 2322 7017 780.736572265625 "1970-01-01 00:00:07.919319580" - - clientservices.googleapis.com - TLS "1970-01-01 00:00:00.780736572" clientservices.googleapis.com
192.168.97.55 173.194.69.84 52541 443 1835 6543 965.642578125 "1970-01-01 00:00:07.917060547" - - accounts.google.com - TLS "1970-01-01 00:00:00.965642578" accounts.google.com
192.168.97.55 3.124.24.226 52542 443 2942 39632 1048.027587890625 "1970-01-01 00:00:07.919539551" - core.indazn.com startup.core.indazn.com - TLS "1970-01-01 00:00:01.048027588" core.indazn.com
192.168.97.55 18.65.65.76 52543 443 1887 6175 1061.373779296875 "1970-01-01 00:00:07.919485596" static.dazndn.com - static.dazndn.com - TLS "1970-01-01 00:00:01.061373779" static.dazndn.com
192.168.97.55 104.19.178.52 52544 443 1791 3794 1085.315673828125 "1970-01-01 00:00:07.915997559" cdn.cookielaw.org - cdn.cookielaw.org - TLS "1970-01-01 00:00:01.085315674" cdn.cookielaw.org
192.168.97.55 13.226.244.41 52545 443 1869 6198 1108.02978515625 "1970-01-01 00:00:07.919474365" resource-strings.acc.indazn.com - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:01.108029785" acc.indazn.com
192.168.97.55 162.247.241.2 52546 443 13224 7844 1200.7607421875 "1970-01-01 00:00:07.915917725" - - bam-cell.nr-data.net - TLS "1970-01-01 00:00:01.200760742" nr.data.net
192.168.97.55 13.226.244.13 52547 443 4259 7780 1398.765625 "1970-01-01 00:00:07.919285645" - - user-profile.ar.indazn.com - TLS "1970-01-01 00:00:01.398765625" ar.indazn.com
192.168.97.55 13.226.244.46 52548 443 1818 6223 1909.65966796875 "1970-01-01 00:00:07.919306396" www.dazn.com - www.dazn.com - TLS "1970-01-01 00:00:01.909659668" www.dazn.com
192.168.97.55 18.65.64.65 52549 443 2632 7031 1924.441650390625 "1970-01-01 00:00:07.919505615" - - pkg.fe.indazn.com - TLS "1970-01-01 00:00:01.924441650" fe.indazn.com
192.168.97.55 13.226.244.20 52550 443 1867 6179 1954.207763671875 "1970-01-01 00:00:07.919455566" youth-protection.dazn-api.com - youth-protection.dazn-api.com - TLS "1970-01-01 00:00:01.954207764" dazn.api.com
192.168.97.55 108.139.210.45 52551 443 4158 7783 1968.45556640625 "1970-01-01 00:00:07.919262695" - - authentication-prod.ar.indazn.com - TLS "1970-01-01 00:00:01.968455566" ar.indazn.com
192.168.97.55 18.65.82.93 52552 443 1903 6215 1968.685546875 "1970-01-01 00:00:07.916074707" content-item.discovery.indazn.com - content-item.discovery.indazn.com - TLS "1970-01-01 00:00:01.968685547" discovery.indazn.com
