CL_IP SV_IP CL_PR SV_PR UP_BY DW_BY TS_FP TS_LP CN_CL CN_SV CN_DQ HT_HN PROTO DT_FP CNAME
192.168.97.55 173.194.69.84 54537 443 1867 6542 948.538330078125 "1970-01-01 00:00:08.853504395" - - - - TLS "1970-01-01 00:00:00.948538330" NONE
192.168.97.55 104.19.178.52 54538 443 1823 3793 1057.419189453125 "1970-01-01 00:00:08.840125000" - - cdn.cookielaw.org - TLS "1970-01-01 00:00:01.057419189" cdn.cookielaw.org
192.168.97.55 3.72.218.66 54539 443 2974 39632 1074.523193359375 "1970-01-01 00:00:08.865292236" startup.core.indazn.com core.indazn.com startup.core.indazn.com - TLS "1970-01-01 00:00:01.074523193" core.indazn.com
192.168.97.55 13.226.244.78 54540 443 1805 6198 1074.766357421875 "1970-01-01 00:00:08.853765381" - - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:01.074766357" acc.indazn.com
192.168.97.55 18.65.65.76 54541 443 1855 6175 1084.516357421875 "1970-01-01 00:00:08.853529297" static.dazndn.com - static.dazndn.com - TLS "1970-01-01 00:00:01.084516356" static.dazndn.com
192.168.97.55 162.247.243.30 54542 443 13147 5462 1237.46435546875 "1970-01-01 00:00:08.838875000" - - bam-cell.nr-data.net - TLS "1970-01-01 00:00:01.237464355" nr.data.net
192.168.97.55 13.226.244.14 54543 443 4293 7781 1450.535400390625 "1970-01-01 00:00:08.853706299" - - user-profile.ar.indazn.com - TLS "1970-01-01 00:00:01.450535400" ar.indazn.com
192.168.97.55 13.226.244.104 54544 443 1882 6223 2107.646240234375 "1970-01-01 00:00:08.857085205" www.dazn.com - - - TLS "1970-01-01 00:00:02.107646240" NONE
192.168.97.55 18.65.64.11 54545 443 2632 7464 2121.46435546875 "1970-01-01 00:00:08.853556396" - - pkg.fe.indazn.com - TLS "1970-01-01 00:00:02.121464355" fe.indazn.com
192.168.97.55 13.226.244.20 54546 443 1803 6179 2123.668212890625 "1970-01-01 00:00:08.853471191" - - youth-protection.dazn-api.com - TLS "1970-01-01 00:00:02.123668213" dazn.api.com
192.168.97.55 54.93.189.155 54547 443 4550 5819 2134.398193359375 "1970-01-01 00:00:20.992422363" pubby.indazn.com pubby.indazn.com pubby.indazn.com - TLS "1970-01-01 00:00:02.134398193" pubby.indazn.com
192.168.97.55 18.65.82.54 54548 443 1807 6215 2134.9833984375 "1970-01-01 00:00:08.847006348" - - content-item.discovery.indazn.com - TLS "1970-01-01 00:00:02.134983398" discovery.indazn.com
192.168.97.55 18.65.82.103 54549 443 1801 6215 2135.211181640625 "1970-01-01 00:00:08.857000244" - - search.discovery.indazn.com - TLS "1970-01-01 00:00:02.135211182" discovery.indazn.com
