CL_IP SV_IP CL_PR SV_PR UP_BY DW_BY TS_FP TS_LP CN_CL CN_SV CN_DQ HT_HN PROTO DT_FP CNAME
192.168.97.55 216.58.204.227 51696 443 2322 7204 1481.7685546875 "1970-01-01 00:00:04.479401611" - - clientservices.googleapis.com - TLS "1970-01-01 00:00:01.481768555" clientservices.googleapis.com
192.168.97.55 13.226.244.78 51697 443 15464 188982 1485.770263671875 "1970-01-01 00:00:04.480479492" www.dazn.com - www.dazn.com - TLS "1970-01-01 00:00:01.485770264" www.dazn.com
192.168.97.55 173.194.69.84 51698 443 1867 7511 1864.7294921875 "1970-01-01 00:00:04.481154297" accounts.google.com - accounts.google.com - TLS "1970-01-01 00:00:01.864729492" accounts.google.com
192.168.97.55 18.159.99.45 51699 443 4930 39632 1986.37255859375 "1970-01-01 00:00:04.481233643" startup.core.indazn.com core.indazn.com startup.core.indazn.com - TLS "1970-01-01 00:00:01.986372559" core.indazn.com
192.168.97.55 18.65.65.76 51700 443 1791 6175 1997.320556640625 "1970-01-01 00:00:04.480036621" - - static.dazndn.com - TLS "1970-01-01 00:00:01.997320557" static.dazndn.com
192.168.97.55 104.19.178.52 51701 443 1791 3793 2083.512451171875 "1970-01-01 00:00:04.479505615" - - cdn.cookielaw.org - TLS "1970-01-01 00:00:02.083512451" cdn.cookielaw.org
192.168.97.55 13.226.244.41 51702 443 1805 6198 2093.7685546875 "1970-01-01 00:00:04.480357666" - - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:02.093768555" acc.indazn.com
192.168.97.55 162.247.243.30 51703 443 1826 4281 2453.879638671875 "1970-01-01 00:00:04.479321533" bam-cell.nr-data.net - bam-cell.nr-data.net - TLS "1970-01-01 00:00:02.453879639" nr.data.net
192.168.97.55 162.247.243.30 51704 443 14608 5746 2711.05859375 "1970-01-01 00:00:04.518852295" - - bam-cell.nr-data.net - TLS "1970-01-01 00:00:02.711058594" nr.data.net
192.168.97.55 13.226.244.27 51705 443 5517 7410 2830.852294921875 "1970-01-01 00:00:04.480457520" - - user-profile.ar.indazn.com - TLS "1970-01-01 00:00:02.830852295" ar.indazn.com
192.168.97.55 13.226.244.78 51706 443 3218 6223 4006.232666015625 "1970-01-01 00:00:04.480098633" www.dazn.com - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:04.006232666" acc.indazn.com
192.168.97.55 18.65.64.65 51707 443 3255 6185 4027.366455078125 "1970-01-01 00:00:04.480134277" pkg.fe.indazn.com - pkg.fe.indazn.com - TLS "1970-01-01 00:00:04.027366455" fe.indazn.com
192.168.97.55 52.29.93.60 51708 443 4518 5850 4048.270263671875 "1970-01-01 00:00:21.221697510" pubby.indazn.com pubby.indazn.com pubby.indazn.com - TLS "1970-01-01 00:00:04.048270264" pubby.indazn.com
192.168.97.55 18.65.82.21 51709 443 1807 6215 4049.439453125 "1970-01-01 00:00:04.480435547" content-item.discovery.indazn.com - content-item.discovery.indazn.com - TLS "1970-01-01 00:00:04.049439453" discovery.indazn.com
192.168.97.55 18.65.82.123 51710 443 1833 6215 4061.363525390625 "1970-01-01 00:00:04.480388428" - - search.discovery.indazn.com - TLS "1970-01-01 00:00:04.061363525" discovery.indazn.com
192.168.97.55 108.139.210.14 51711 443 1864 6215 4075.320556640625 "1970-01-01 00:00:04.480414551" - - event.discovery.indazn.com - TLS "1970-01-01 00:00:04.075320557" discovery.indazn.com
192.168.97.55 18.65.82.42 51712 443 1897 6249 4077.7734375 "1970-01-01 00:00:04.480519530" - - images.discovery.indazn.com - TLS "1970-01-01 00:00:04.077773438" discovery.indazn.com
192.168.97.55 108.139.210.50 51713 443 4126 7803 4081.708251953125 "1970-01-01 00:00:04.527828613" - - authentication-prod.ar.indazn.com - TLS "1970-01-01 00:00:04.081708252" ar.indazn.com
192.168.97.55 13.226.244.20 51714 443 1867 6117 4222.6484375 "1970-01-01 00:00:04.425341553" youth-protection.dazn-api.com - youth-protection.dazn-api.com - TLS "1970-01-01 00:00:04.222648438" dazn.api.com
192.168.97.55 18.65.82.71 51715 443 1786 5966 4224.064453125 "1970-01-01 00:00:04.480499512" cdn.dazn.com - cdn.dazn.com - TLS "1970-01-01 00:00:04.224064453" cdn.dazn.com
