CL_IP SV_IP CL_PR SV_PR UP_BY DW_BY TS_FP TS_LP CN_CL CN_SV CN_DQ HT_HN PROTO DT_FP CNAME
192.168.97.55 142.250.181.227 54244 443 2354 7017 770.20849609375 "1970-01-01 00:00:08.924843506" clientservices.googleapis.com - clientservices.googleapis.com - TLS "1970-01-01 00:00:00.770208496" clientservices.googleapis.com
192.168.97.55 13.226.244.78 54245 443 15422 187831 795.92138671875 "1970-01-01 00:00:08.925563477" www.dazn.com - www.dazn.com - TLS "1970-01-01 00:00:00.795921387" www.dazn.com
192.168.97.55 173.194.69.84 54246 443 1867 7509 1001.380126953125 "1970-01-01 00:00:08.925186523" accounts.google.com - accounts.google.com - TLS "1970-01-01 00:00:01.001380127" accounts.google.com
192.168.97.55 104.19.178.52 54247 443 1823 3793 1192.934326171875 "1970-01-01 00:00:08.924815430" cdn.cookielaw.org - cdn.cookielaw.org - TLS "1970-01-01 00:00:01.192934326" cdn.cookielaw.org
192.168.97.55 18.65.65.76 54248 443 1823 6175 1208.427490234375 "1970-01-01 00:00:08.925327393" static.dazndn.com - static.dazndn.com - TLS "1970-01-01 00:00:01.208427490" static.dazndn.com
192.168.97.55 13.226.244.41 54249 443 1901 6198 1273.385498046875 "1970-01-01 00:00:08.925340332" - - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:01.273385498" acc.indazn.com
192.168.97.55 3.72.218.66 54250 443 2973 39643 1273.878173828125 "1970-01-01 00:00:08.932166504" - core.indazn.com startup.core.indazn.com - TLS "1970-01-01 00:00:01.273878174" core.indazn.com
192.168.97.55 162.247.243.30 54251 443 13199 5462 1434.13818359375 "1970-01-01 00:00:08.924586182" bam-cell.nr-data.net - bam-cell.nr-data.net - TLS "1970-01-01 00:00:01.434138184" nr.data.net
192.168.97.55 13.226.244.27 54252 443 4293 8191 1693.600341796875 "1970-01-01 00:00:08.925680176" user-profile.ar.indazn.com - user-profile.ar.indazn.com - TLS "1970-01-01 00:00:01.693600342" ar.indazn.com
192.168.97.55 13.226.244.78 54253 443 1882 6431 2261.87255859375 "1970-01-01 00:00:08.925621338" www.dazn.com - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:02.261872559" acc.indazn.com
192.168.97.55 18.65.64.11 54254 443 2632 7063 2300.466552734375 "1970-01-01 00:00:08.925275391" pkg.fe.indazn.com - pkg.fe.indazn.com - TLS "1970-01-01 00:00:02.300466553" fe.indazn.com
192.168.97.55 108.139.210.39 54255 443 4160 7782 2320.603515625 "1970-01-01 00:00:08.925703369" - - authentication-prod.ar.indazn.com - TLS "1970-01-01 00:00:02.320603516" ar.indazn.com
192.168.97.55 13.226.244.20 54256 443 1867 6179 2331.513427734375 "1970-01-01 00:00:08.925634521" - - youth-protection.dazn-api.com - TLS "1970-01-01 00:00:02.331513428" dazn.api.com
192.168.97.55 54.93.189.155 54257 443 4486 5819 2346.09619140625 "1970-01-01 00:00:21.018309326" - pubby.indazn.com pubby.indazn.com - TLS "1970-01-01 00:00:02.346096191" pubby.indazn.com
192.168.97.55 18.65.82.93 54258 443 1903 6215 2370.494140625 "1970-01-01 00:00:08.925103516" content-item.discovery.indazn.com - content-item.discovery.indazn.com - TLS "1970-01-01 00:00:02.370494141" discovery.indazn.com
192.168.97.55 108.139.210.38 54259 443 1800 6215 2371.27734375 "1970-01-01 00:00:08.925152344" event.discovery.indazn.com - event.discovery.indazn.com - TLS "1970-01-01 00:00:02.371277344" discovery.indazn.com
192.168.97.55 18.65.82.103 54260 443 1897 6215 2392.692138671875 "1970-01-01 00:00:08.925466553" - - search.discovery.indazn.com - TLS "1970-01-01 00:00:02.392692139" discovery.indazn.com
192.168.97.55 18.65.82.14 54261 443 1865 6249 2467.26416015625 "1970-01-01 00:00:08.925249512" images.discovery.indazn.com - images.discovery.indazn.com - TLS "1970-01-01 00:00:02.467264160" discovery.indazn.com
192.168.97.55 18.65.82.84 54262 443 1850 6174 2472.574462890625 "1970-01-01 00:00:08.925133545" cdn.dazn.com - cdn.dazn.com - TLS "1970-01-01 00:00:02.472574463" cdn.dazn.com
192.168.97.55 142.250.185.232 54263 443 3212 7783 2613.3525390625 "1970-01-01 00:00:08.925649414" - - www.googletagmanager.com - TLS "1970-01-01 00:00:02.613352539" www.googletagmanager.com
192.168.97.55 18.65.82.39 54264 443 4115 7424 2762.08544921875 "1970-01-01 00:00:08.925301514" onboarding.indazn.com - onboarding.indazn.com - TLS "1970-01-01 00:00:02.762085449" onboarding.indazn.com
192.168.97.55 13.226.244.112 54265 443 4359 8591 2832.212158203125 "1970-01-01 00:00:08.925658447" subscriptions-service.ar.indazn.com - subscriptions-service.ar.indazn.com - TLS "1970-01-01 00:00:02.832212158" ar.indazn.com
192.168.97.55 108.139.229.67 54266 443 5020 17939 2837.16455078125 "1970-01-01 00:00:08.925353516" tiered-pricing-offer-service.ar.indazn.com - tiered-pricing-offer-service.ar.indazn.com - TLS "1970-01-01 00:00:02.837164551" ar.indazn.com
192.168.97.55 18.193.90.171 54267 443 4229 6091 2839.266357421875 "1970-01-01 00:00:08.932111328" partner-integration.ar.indazn.com partner-integration.ar.indazn.com partner-integration.ar.indazn.com - TLS "1970-01-01 00:00:02.839266357" ar.indazn.com
192.168.97.55 52.28.174.201 54268 443 7068 10730 2840.8994140625 "1970-01-01 00:00:08.932138184" segmentation-service-api.discovery.indazn.com discovery.indazn.com segmentation-service-api.discovery.indazn.com - TLS "1970-01-01 00:00:02.840899414" discovery.indazn.com
192.168.97.55 108.139.210.20 54269 443 9569 151166 2853.517333984375 "1970-01-01 00:00:08.925265381" - - rail-router.discovery.indazn.com - TLS "1970-01-01 00:00:02.853517333" discovery.indazn.com
192.168.97.55 151.101.242.49 54270 443 4442 9792 2863.369384765625 "1970-01-01 00:00:08.925209473" cdn.contentful.com cdn.contentful.com cdn.contentful.com - TLS "1970-01-01 00:00:02.863369385" cdn.contentful.com
192.168.97.55 108.139.229.69 54271 443 4207 9199 2868.00341796875 "1970-01-01 00:00:08.925606201" ott-authz-bff-prod.ar.indazn.com - ott-authz-bff-prod.ar.indazn.com - TLS "1970-01-01 00:00:02.868003418" ar.indazn.com
192.168.97.55 172.64.155.119 54272 443 3295 6140 2874.658447265625 "1970-01-01 00:00:08.925227539" - - consent-api.onetrust.com - TLS "1970-01-01 00:00:02.874658447" api.onetrust.com
192.168.97.55 13.35.198.25 54273 443 4150 6821 3329.551513671875 "1970-01-01 00:00:08.925416504" - - wa.appsflyer.com - TLS "1970-01-01 00:00:03.329551514" wa.appsflyer.com
192.168.97.55 52.222.130.77 54274 443 4317 7883 3766.8134765625 "1970-01-01 00:00:08.925670166" follow-shortcuts.discovery.indazn.com - follow-shortcuts.discovery.indazn.com - TLS "1970-01-01 00:00:03.766813477" discovery.indazn.com
192.168.97.55 52.28.226.137 54275 443 4531 5239 3785.91650390625 "1970-01-01 00:00:08.932084473" user-message.gateway.indazn.com - user-message.gateway.indazn.com - TLS "1970-01-01 00:00:03.785916504" gateway.indazn.com
192.168.97.55 13.226.244.94 54276 443 4578 9292 3786.326171875 "1970-01-01 00:00:08.925288330" favouritesv2.discovery.indazn.com - favouritesv2.discovery.indazn.com - TLS "1970-01-01 00:00:03.786326172" discovery.indazn.com
192.168.97.55 3.65.144.36 54277 443 2471 6100 3786.699462890625 "1970-01-01 00:00:08.932054199" - - experiments-api.acc.indazn.com - TLS "1970-01-01 00:00:03.786699463" acc.indazn.com
192.168.97.55 18.193.146.239 54278 443 4185 6629 3786.88818359375 "1970-01-01 00:00:08.931993408" - - youth-protect.discovery.indazn.com - TLS "1970-01-01 00:00:03.786888184" discovery.indazn.com
192.168.97.55 108.139.229.5 54279 443 2668 7906 3879.068359375 "1970-01-01 00:00:08.925693359" rails.discovery.indazn.com - rails.discovery.indazn.com - TLS "1970-01-01 00:00:03.879068359" discovery.indazn.com
192.168.97.55 54.93.189.155 54280 443 2807 7394 3928.7705078125 "1970-01-01 00:00:21.018097412" - - pubby.indazn.com - TLS "1970-01-01 00:00:03.928770508" pubby.indazn.com
192.168.97.55 18.185.163.139 54281 443 4226 8526 4119.2685546875 "1970-01-01 00:00:08.932194336" - - myaccount-bff.ar.indazn.com - TLS "1970-01-01 00:00:04.119268555" ar.indazn.com
192.168.97.55 54.93.189.155 54282 443 4477 390 5081.109375 "1970-01-01 00:00:21.018150146" pubby.indazn.com - pubby.indazn.com - TLS "1970-01-01 00:00:05.081109375" pubby.indazn.com
192.168.97.55 18.65.82.14 54283 443 2978 89257 6172.66015625 "1970-01-01 00:00:08.925314453" image.discovery.indazn.com - image.discovery.indazn.com - TLS "1970-01-01 00:00:06.172660156" discovery.indazn.com
192.168.97.55 142.251.209.35 54284 443 1838 6912 9066.47216796875 "1970-01-01 00:01:09.459189453" - - update.googleapis.com - TLS "1970-01-01 00:00:09.066472168" update.googleapis.com
192.168.97.55 142.251.209.10 54285 443 3220 6953 10691.245361328125 "1970-01-01 00:01:10.924570557" - - optimizationguide-pa.googleapis.com - TLS "1970-01-01 00:00:10.691245361" pa.googleapis.com
192.168.97.55 18.154.161.2 54286 443 3265 6258 10700.239501953125 "1970-01-01 00:01:12.094708496" - - static.adsafeprotected.com - TLS "1970-01-01 00:00:10.700239502" static.adsafeprotected.com
192.168.97.55 104.18.24.111 54287 443 1794 6122 11027.6875 "1970-01-01 00:01:12.088373535" expansioneggnog.com - expansioneggnog.com - TLS "1970-01-01 00:00:11.027687500" expansioneggnog.com
192.168.97.55 162.247.243.30 54288 443 37040 2053 11366.29052734375 "1970-01-01 00:00:21.958650146" - - bam-cell.nr-data.net - TLS "1970-01-01 00:00:11.366290527" nr.data.net
192.168.97.55 13.226.244.78 54289 443 178964 2361270 20468.075439453125 "1970-01-01 00:07:34.780817383" www.dazn.com - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:20.468075439" acc.indazn.com
192.168.97.55 151.101.241.91 54290 443 3002 6276 20648.252197265625 "1970-01-01 00:07:34.749495361" - - google-ohttp-relay-safebrowsing.fastly-edge.com - TLS "1970-01-01 00:00:20.648252197" fastly.edge.com
192.168.97.55 162.247.243.30 54291 443 259974 9085 20945.6455078125 "1970-01-01 00:01:33.591014160" - - bam-cell.nr-data.net - TLS "1970-01-01 00:00:20.945645508" nr.data.net
192.168.97.55 162.247.243.30 54292 443 15259 2556 20947.300537109375 "1970-01-01 00:00:31.447574463" bam-cell.nr-data.net - bam-cell.nr-data.net - TLS "1970-01-01 00:00:20.947300537" nr.data.net
192.168.97.55 162.247.243.30 54293 443 55677 6876 20948.743408203125 "1970-01-01 00:00:32.250455566" - - bam-cell.nr-data.net - TLS "1970-01-01 00:00:20.948743408" nr.data.net
192.168.97.55 104.19.178.52 54294 443 2063 3774 20950.785400390625 "1970-01-01 00:01:22.133071533" cdn.cookielaw.org - cdn.cookielaw.org - TLS "1970-01-01 00:00:20.950785400" cdn.cookielaw.org
192.168.97.55 3.72.218.66 54295 443 5664 67913 20951.6103515625 "1970-01-01 00:01:33.210551514" startup.core.indazn.com - startup.core.indazn.com - TLS "1970-01-01 00:00:20.951610352" core.indazn.com
192.168.97.55 13.226.244.41 54296 443 2086 676 20951.971435546875 "1970-01-01 00:01:22.133193359" resource-strings.acc.indazn.com - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:20.951971436" acc.indazn.com
192.168.97.55 18.65.65.76 54297 443 2072 676 20952.532470703125 "1970-01-01 00:01:22.133168457" static.dazndn.com - static.dazndn.com - TLS "1970-01-01 00:00:20.952532471" static.dazndn.com
192.168.97.55 162.247.243.30 54298 443 33635 1277 21077.03955078125 "1970-01-01 00:01:33.210594482" - - bam-cell.nr-data.net - TLS "1970-01-01 00:00:21.077039551" nr.data.net
192.168.97.55 13.226.244.27 54299 443 8134 22138 21729.495361328125 "1970-01-01 00:07:34.780886475" user-profile.ar.indazn.com - youth-protection.dazn-api.com - TLS "1970-01-01 00:00:21.729495361" dazn.api.com
192.168.97.55 13.226.244.78 54300 443 1971 442 22333.969482421875 "1970-01-01 00:01:22.954268555" www.dazn.com - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:22.333969482" acc.indazn.com
192.168.97.55 108.139.210.39 54301 443 6129 15407 22341.007568359375 "1970-01-01 00:07:34.758018555" - - authentication-prod.ar.indazn.com - TLS "1970-01-01 00:00:22.341007568" ar.indazn.com
192.168.97.55 18.65.64.11 54302 443 5085 8558 22341.9375 "1970-01-01 00:07:34.760323486" pkg.fe.indazn.com - pkg.fe.indazn.com - TLS "1970-01-01 00:00:22.341937500" fe.indazn.com
192.168.97.55 13.226.244.20 54303 443 2052 442 22342.93017578125 "1970-01-01 00:01:22.954374512" youth-protection.dazn-api.com - favouritesv2.discovery.indazn.com - TLS "1970-01-01 00:00:22.342930176" discovery.indazn.com
192.168.97.55 54.93.189.155 54304 443 4585 421 22344.112548828125 "1970-01-01 00:00:31.651779541" pubby.indazn.com - pubby.indazn.com - TLS "1970-01-01 00:00:22.344112549" pubby.indazn.com
192.168.97.55 108.139.210.38 54305 443 6016 28260 22345.4375 "1970-01-01 00:07:34.758048340" event.discovery.indazn.com - event.discovery.indazn.com - TLS "1970-01-01 00:00:22.345437500" discovery.indazn.com
192.168.97.55 18.65.82.93 54306 443 4692 11417 22345.7734375 "1970-01-01 00:07:34.758094482" - - content-item.discovery.indazn.com - TLS "1970-01-01 00:00:22.345773438" discovery.indazn.com
