CL_IP SV_IP CL_PR SV_PR UP_BY DW_BY TS_FP TS_LP CN_CL CN_SV CN_DQ HT_HN PROTO DT_FP CNAME
192.168.97.55 142.250.181.227 51365 443 3722 8417 1443.7880859375 "1970-01-01 00:00:04.772451904" clientservices.googleapis.com - clientservices.googleapis.com - TLS "1970-01-01 00:00:01.443788086" clientservices.googleapis.com
192.168.97.55 13.226.244.78 51366 443 16603 189228 1444.031982421875 "1970-01-01 00:00:04.772898682" - - www.dazn.com - TLS "1970-01-01 00:00:01.444031981" www.dazn.com
192.168.97.55 108.177.96.84 51367 443 1899 6541 2107.0966796875 "1970-01-01 00:00:04.773166992" - - accounts.google.com - TLS "1970-01-01 00:00:02.107096680" accounts.google.com
192.168.97.55 20.54.232.160 51368 443 205 6293 2371.779052734375 "1970-01-01 00:00:32.860726074" activity.windows.com *.notify.windows.com activity.windows.com - TLS "1970-01-01 00:00:02.371779053" activity.windows.com
192.168.97.55 104.19.177.52 51369 443 1791 3793 2415.947021484375 "1970-01-01 00:00:04.772426025" - - cdn.cookielaw.org - TLS "1970-01-01 00:00:02.415947021" cdn.cookielaw.org
192.168.97.55 3.72.218.66 51370 443 2942 39603 2494.785888671875 "1970-01-01 00:00:04.773305908" startup.core.indazn.com core.indazn.com startup.core.indazn.com - TLS "1970-01-01 00:00:02.494785889" core.indazn.com
192.168.97.55 13.226.244.41 51371 443 1837 6198 2500.409912109375 "1970-01-01 00:00:04.772633057" resource-strings.acc.indazn.com - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:02.500409912" acc.indazn.com
192.168.97.55 18.65.65.76 51372 443 1887 6175 2563.383056640625 "1970-01-01 00:00:04.773212891" - - static.dazndn.com - TLS "1970-01-01 00:00:02.563383057" static.dazndn.com
192.168.97.55 20.54.232.160 51373 443 3031 6800 2599.865966796875 "1970-01-01 00:00:03.289437988" activity.windows.com *.notify.windows.com activity.windows.com - TLS "1970-01-01 00:00:02.599865967" activity.windows.com
192.168.97.55 162.247.243.30 51374 443 13335 5837 2717.906982421875 "1970-01-01 00:00:04.772328857" - - bam-cell.nr-data.net - TLS "1970-01-01 00:00:02.717906982" nr.data.net
192.168.97.55 13.226.244.27 51375 443 4149 7002 3081.010009765625 "1970-01-01 00:00:04.772729980" user-profile.ar.indazn.com - user-profile.ar.indazn.com - TLS "1970-01-01 00:00:03.081010010" ar.indazn.com
192.168.97.55 13.226.244.47 51376 443 2506 6733 3514.591064453125 "1970-01-01 00:00:04.772805908" - - features.fe.indazn.com - TLS "1970-01-01 00:00:03.514591064" fe.indazn.com
