CL_IP SV_IP CL_PR SV_PR UP_BY DW_BY TS_FP TS_LP CN_CL CN_SV CN_DQ HT_HN PROTO DT_FP CNAME
192.168.97.55 142.250.181.227 56800 443 2418 7016 765.83837890625 "1970-01-01 00:00:08.833483154" clientservices.googleapis.com - clientservices.googleapis.com - TLS "1970-01-01 00:00:00.765838379" clientservices.googleapis.com
192.168.97.55 13.226.244.104 56801 443 15359 187565 778.79736328125 "1970-01-01 00:00:08.845021240" www.dazn.com - www.dazn.com - TLS "1970-01-01 00:00:00.778797363" www.dazn.com
192.168.97.55 173.194.69.84 56802 443 1867 6542 968.098388671875 "1970-01-01 00:00:08.836929199" accounts.google.com - accounts.google.com - TLS "1970-01-01 00:00:00.968098389" accounts.google.com
192.168.97.55 104.19.177.52 56803 443 1791 3793 1051.666015625 "1970-01-01 00:00:08.833263184" cdn.cookielaw.org - cdn.cookielaw.org - TLS "1970-01-01 00:00:01.051666016" cdn.cookielaw.org
192.168.97.55 13.226.244.91 56804 443 1869 6198 1062.586181640625 "1970-01-01 00:00:08.845118164" - - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:01.062586182" acc.indazn.com
192.168.97.55 18.65.65.76 56805 443 1855 6175 1077.5419921875 "1970-01-01 00:00:08.845302002" static.dazndn.com - static.dazndn.com - TLS "1970-01-01 00:00:01.077541992" static.dazndn.com
192.168.97.55 3.124.24.226 56806 443 2941 39632 1082.177978515625 "1970-01-01 00:00:08.851431152" - core.indazn.com startup.core.indazn.com - TLS "1970-01-01 00:00:01.082177979" core.indazn.com
192.168.97.55 162.247.243.30 56807 443 13237 5462 1220.021240234375 "1970-01-01 00:00:08.822232178" - - bam-cell.nr-data.net - TLS "1970-01-01 00:00:01.220021240" nr.data.net
192.168.97.55 13.226.244.13 56808 443 4229 7780 1399.00830078125 "1970-01-01 00:00:08.845224365" - - user-profile.ar.indazn.com - TLS "1970-01-01 00:00:01.399008301" ar.indazn.com
192.168.97.55 13.226.244.64 56809 443 2474 6767 1728.7392578125 "1970-01-01 00:00:08.845245361" - - features.fe.indazn.com - TLS "1970-01-01 00:00:01.728739258" fe.indazn.com
192.168.97.55 13.226.244.104 56810 443 1850 6223 2239.75830078125 "1970-01-01 00:00:08.844881348" www.dazn.com - www.dazn.com - TLS "1970-01-01 00:00:02.239758301" www.dazn.com
192.168.97.55 18.65.64.100 56811 443 2632 7029 2265.957275390625 "1970-01-01 00:00:08.845204346" pkg.fe.indazn.com - pkg.fe.indazn.com - TLS "1970-01-01 00:00:02.265957275" fe.indazn.com
192.168.97.55 13.226.244.40 56812 443 1835 6179 2266.1923828125 "1970-01-01 00:00:08.845165283" youth-protection.dazn-api.com - youth-protection.dazn-api.com - TLS "1970-01-01 00:00:02.266192383" dazn.api.com
192.168.97.55 108.139.210.114 56813 443 4064 7804 2266.559326171875 "1970-01-01 00:00:08.845325195" - - authentication-prod.ar.indazn.com - TLS "1970-01-01 00:00:02.266559326" ar.indazn.com
192.168.97.55 18.65.82.14 56814 443 1807 6215 2279.6962890625 "1970-01-01 00:00:08.833497314" - - content-item.discovery.indazn.com - TLS "1970-01-01 00:00:02.279696289" discovery.indazn.com
192.168.97.55 108.139.210.30 56815 443 1800 6215 2280.08837890625 "1970-01-01 00:00:08.833510009" - - event.discovery.indazn.com - TLS "1970-01-01 00:00:02.280088379" discovery.indazn.com
192.168.97.55 18.65.82.103 56816 443 1865 6215 2285.365234375 "1970-01-01 00:00:08.845003174" search.discovery.indazn.com - search.discovery.indazn.com - TLS "1970-01-01 00:00:02.285365234" discovery.indazn.com
