CL_IP SV_IP CL_PR SV_PR UP_BY DW_BY TS_FP TS_LP CN_CL CN_SV CN_DQ HT_HN PROTO DT_FP CNAME
192.168.97.55 13.226.244.46 53954 443 15449 188988 787.689208984375 "1970-01-01 00:00:04.912132080" www.dazn.com - www.dazn.com - TLS "1970-01-01 00:00:00.787689209" www.dazn.com
192.168.97.55 142.250.181.227 53955 443 2418 7015 798.21484375 "1970-01-01 00:00:04.908961182" clientservices.googleapis.com - clientservices.googleapis.com - TLS "1970-01-01 00:00:00.798214844" clientservices.googleapis.com
192.168.97.55 173.194.69.84 53956 443 1803 6542 961.773193359375 "1970-01-01 00:00:04.914676025" accounts.google.com - accounts.google.com - TLS "1970-01-01 00:00:00.961773193" accounts.google.com
192.168.97.55 104.19.177.52 53957 443 1887 3792 1105.447021484375 "1970-01-01 00:00:04.902958008" cdn.cookielaw.org - cdn.cookielaw.org - TLS "1970-01-01 00:00:01.105447021" cdn.cookielaw.org
192.168.97.55 3.72.218.66 53958 443 2942 39632 1105.76220703125 "1970-01-01 00:00:04.932600830" - core.indazn.com startup.core.indazn.com - TLS "1970-01-01 00:00:01.105762207" core.indazn.com
192.168.97.55 13.226.244.91 53959 443 1837 6198 1106.05712890625 "1970-01-01 00:00:04.911756836" - - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:01.106057129" acc.indazn.com
192.168.97.55 18.65.65.76 53960 443 1855 6175 1167.083984375 "1970-01-01 00:00:04.912256836" - - static.dazndn.com - TLS "1970-01-01 00:00:01.167083984" static.dazndn.com
192.168.97.55 162.247.241.2 53961 443 13176 7063 1280.372802734375 "1970-01-01 00:00:04.899103027" bam-cell.nr-data.net - bam-cell.nr-data.net - TLS "1970-01-01 00:00:01.280372803" nr.data.net
192.168.97.55 13.226.244.27 53962 443 4261 7759 1596.8828125 "1970-01-01 00:00:04.911694824" user-profile.ar.indazn.com - user-profile.ar.indazn.com - TLS "1970-01-01 00:00:01.596882812" ar.indazn.com
192.168.97.55 34.104.33.69 53963 443 1851 4632 2170.776123046875 "1970-01-01 00:00:04.902796143" safe.dazn.com - safe.dazn.com - TLS "1970-01-01 00:00:02.170776123" safe.dazn.com
192.168.97.55 13.226.244.46 53964 443 1818 6223 2281.9990234375 "1970-01-01 00:00:04.912231201" - - www.dazn.com - TLS "1970-01-01 00:00:02.281999023" www.dazn.com
192.168.97.55 18.65.64.65 53965 443 2663 7026 2325.926025390625 "1970-01-01 00:00:04.914610840" - - pkg.fe.indazn.com - TLS "1970-01-01 00:00:02.325926025" fe.indazn.com
192.168.97.55 13.226.244.20 53966 443 1835 6179 2358.31005859375 "1970-01-01 00:00:04.914632080" - - youth-protection.dazn-api.com - TLS "1970-01-01 00:00:02.358310059" dazn.api.com
192.168.97.55 108.139.210.39 53967 443 4128 7804 2358.80615234375 "1970-01-01 00:00:04.912208008" - - authentication-prod.ar.indazn.com - TLS "1970-01-01 00:00:02.358806152" ar.indazn.com
192.168.97.55 18.194.141.54 53968 443 4550 5850 2359.076171875 "1970-01-01 00:00:20.911366211" - pubby.indazn.com pubby.indazn.com - TLS "1970-01-01 00:00:02.359076172" pubby.indazn.com
192.168.97.55 108.139.210.38 53969 443 1864 6215 2415.72900390625 "1970-01-01 00:00:04.911583984" - - event.discovery.indazn.com - TLS "1970-01-01 00:00:02.415729004" discovery.indazn.com
192.168.97.55 18.65.82.56 53970 443 1801 6215 2444.989013671875 "1970-01-01 00:00:04.911780029" - - search.discovery.indazn.com - TLS "1970-01-01 00:00:02.444989014" discovery.indazn.com
192.168.97.55 18.65.82.42 53971 443 1897 6249 2445.218994140625 "1970-01-01 00:00:04.911676025" images.discovery.indazn.com - images.discovery.indazn.com - TLS "1970-01-01 00:00:02.445218994" discovery.indazn.com
192.168.97.55 18.65.82.41 53972 443 1818 6174 2465.380859375 "1970-01-01 00:00:04.909048828" - - cdn.dazn.com - TLS "1970-01-01 00:00:02.465380859" cdn.dazn.com
192.168.97.55 18.65.82.93 53973 443 1903 6215 2469.793212890625 "1970-01-01 00:00:04.911649170" content-item.discovery.indazn.com - content-item.discovery.indazn.com - TLS "1970-01-01 00:00:02.469793213" discovery.indazn.com
192.168.97.55 142.250.186.78 53974 443 1904 6955 2605.088134765625 "1970-01-01 00:00:04.912183105" www.google-analytics.com - www.google-analytics.com - TLS "1970-01-01 00:00:02.605088135" google.analytics.com
192.168.97.55 108.139.210.110 53975 443 2448 6917 2836.0771484375 "1970-01-01 00:00:04.914595215" - - rail-router.discovery.indazn.com - TLS "1970-01-01 00:00:02.836077148" discovery.indazn.com
192.168.97.55 13.226.244.112 53976 443 4295 8560 2836.260009765625 "1970-01-01 00:00:05.032794189" - - subscriptions-service.ar.indazn.com - TLS "1970-01-01 00:00:02.836260010" ar.indazn.com
192.168.97.55 3.125.212.229 53977 443 4197 6060 2841.5751953125 "1970-01-01 00:00:04.932770996" partner-integration.ar.indazn.com partner-integration.ar.indazn.com partner-integration.ar.indazn.com - TLS "1970-01-01 00:00:02.841575195" ar.indazn.com
192.168.97.55 18.65.82.121 53978 443 4147 7443 2844.9091796875 "1970-01-01 00:00:04.911803223" - - onboarding.indazn.com - TLS "1970-01-01 00:00:02.844909180" onboarding.indazn.com
192.168.97.55 104.18.32.137 53979 443 3296 6138 2853.8701171875 "1970-01-01 00:00:04.905862793" consent-api.onetrust.com - consent-api.onetrust.com - TLS "1970-01-01 00:00:02.853870117" api.onetrust.com
192.168.97.55 151.101.242.49 53980 443 3554 7099 2854.218017578125 "1970-01-01 00:00:04.902855225" - cdn.contentful.com cdn.contentful.com - TLS "1970-01-01 00:00:02.854218018" cdn.contentful.com
192.168.97.55 13.35.198.11 53981 443 4168 6821 3257.252197265625 "1970-01-01 00:00:04.911828857" wa.appsflyer.com - wa.appsflyer.com - TLS "1970-01-01 00:00:03.257252197" wa.appsflyer.com
192.168.97.55 108.139.229.111 53982 443 4956 18291 3870.22314453125 "1970-01-01 00:00:04.914554199" - - tiered-pricing-offer-service.ar.indazn.com - TLS "1970-01-01 00:00:03.870223145" ar.indazn.com
192.168.97.55 18.156.47.60 53983 443 7004 10699 3878.022216796875 "1970-01-01 00:00:04.932696045" - discovery.indazn.com segmentation-service-api.discovery.indazn.com - TLS "1970-01-01 00:00:03.878022217" discovery.indazn.com
192.168.97.55 108.139.229.69 53984 443 4239 9173 3883.080078125 "1970-01-01 00:00:04.911739990" ott-authz-bff-prod.ar.indazn.com - ott-authz-bff-prod.ar.indazn.com - TLS "1970-01-01 00:00:03.883080078" ar.indazn.com
192.168.97.55 13.226.244.20 53985 443 1775 6007 4641.15283203125 "1970-01-01 00:00:04.911718994" favouritesv2.discovery.indazn.com - favouritesv2.discovery.indazn.com - TLS "1970-01-01 00:00:04.641152832" discovery.indazn.com
192.168.97.55 52.222.130.123 53986 443 2364 6912 4641.338134765625 "1970-01-01 00:00:05.024402100" follow-shortcuts.discovery.indazn.com - follow-shortcuts.discovery.indazn.com - TLS "1970-01-01 00:00:04.641338135" discovery.indazn.com
192.168.97.55 52.28.15.171 53987 443 1837 3938 4673.609130859375 "1970-01-01 00:00:04.932671143" - - user-message.gateway.indazn.com - TLS "1970-01-01 00:00:04.673609131" gateway.indazn.com
192.168.97.55 3.123.135.7 53988 443 1836 5512 4673.80615234375 "1970-01-01 00:00:04.932749023" - - experiments-api.acc.indazn.com - TLS "1970-01-01 00:00:04.673806152" acc.indazn.com
192.168.97.55 18.193.146.239 53989 443 1840 5528 4673.942138671875 "1970-01-01 00:00:04.932722168" youth-protect.discovery.indazn.com - youth-protect.discovery.indazn.com - TLS "1970-01-01 00:00:04.673942139" discovery.indazn.com
192.168.97.55 108.139.229.113 53990 443 1800 6007 4679.98681640625 "1970-01-01 00:00:04.911852051" - - rails.discovery.indazn.com - TLS "1970-01-01 00:00:04.679986816" discovery.indazn.com
192.168.97.55 3.123.135.7 53991 443 0 0 4849.51220703125 "1970-01-01 00:00:20.464832031" - - experiments-api.acc.indazn.com - Unknown "1970-01-01 00:00:04.849512206" acc.indazn.com
192.168.97.55 13.226.244.20 53992 443 0 0 4849.670166015625 "1970-01-01 00:00:20.464832031" - - favouritesv2.discovery.indazn.com - Unknown "1970-01-01 00:00:04.849670166" discovery.indazn.com
192.168.97.55 108.139.229.113 53993 443 0 0 4849.778076171875 "1970-01-01 00:00:20.464832031" - - rails.discovery.indazn.com - Unknown "1970-01-01 00:00:04.849778076" discovery.indazn.com
192.168.97.55 52.28.15.171 53994 443 0 0 4849.90478515625 "1970-01-01 00:00:20.464832031" - - user-message.gateway.indazn.com - Unknown "1970-01-01 00:00:04.849904785" gateway.indazn.com
192.168.97.55 18.193.146.239 53995 443 0 0 4850.03515625 "1970-01-01 00:00:20.464832031" - - youth-protect.discovery.indazn.com - Unknown "1970-01-01 00:00:04.850035156" discovery.indazn.com
192.168.97.55 3.123.135.7 53996 443 4560 11590 4882.330810546875 "1970-01-01 00:07:35.244332031" - - experiments-api.acc.indazn.com - TLS "1970-01-01 00:00:04.882330811" acc.indazn.com
192.168.97.55 13.226.244.20 53997 443 16846 59852 4882.537109375 "1970-01-01 00:07:35.234798828" favouritesv2.discovery.indazn.com - favouritesv2.discovery.indazn.com - TLS "1970-01-01 00:00:04.882537109" discovery.indazn.com
