CL_IP SV_IP CL_PR SV_PR UP_BY DW_BY TS_FP TS_LP CN_CL CN_SV CN_DQ HT_HN PROTO DT_FP CNAME
192.168.97.55 52.28.226.137 53391 443 4627 5234 3863.390380859375 "1970-01-01 00:00:09.586985107" user-message.gateway.indazn.com - user-message.gateway.indazn.com - TLS "1970-01-01 00:00:03.863390381" gateway.indazn.com
192.168.97.55 3.123.141.166 53392 443 2503 6079 3863.702392578125 "1970-01-01 00:00:09.579541504" experiments-api.acc.indazn.com - experiments-api.acc.indazn.com - TLS "1970-01-01 00:00:03.863702393" acc.indazn.com
192.168.97.55 108.139.229.52 53393 443 2764 7936 3870.138427734375 "1970-01-01 00:00:09.569165527" rails.discovery.indazn.com - rails.discovery.indazn.com - TLS "1970-01-01 00:00:03.870138428" discovery.indazn.com
192.168.97.55 3.70.37.52 53394 443 4089 6607 3876.636474609375 "1970-01-01 00:00:09.586954346" - - youth-protect.discovery.indazn.com - TLS "1970-01-01 00:00:03.876636475" discovery.indazn.com
192.168.97.55 3.73.166.182 53395 443 4322 8544 4146.762451171875 "1970-01-01 00:00:09.587010498" - - myaccount-bff.ar.indazn.com - TLS "1970-01-01 00:00:04.146762451" ar.indazn.com
192.168.97.55 18.194.141.54 53370 443 4550 7219 5478.91943359375 "1970-01-01 00:00:20.920085449" - pubby.indazn.com pubby.indazn.com - TLS "1970-01-01 00:00:05.478919434" pubby.indazn.com
192.168.97.55 18.65.82.120 53396 443 3906 24093 5593.052490234375 "1970-01-01 00:00:09.574253417" - - image.discovery.indazn.com - TLS "1970-01-01 00:00:05.593052490" discovery.indazn.com
192.168.97.55 18.194.141.54 53397 443 2711 4639 5887.925537109375 "1970-01-01 00:00:20.917961426" - - pubby.indazn.com - TLS "1970-01-01 00:00:05.887925537" pubby.indazn.com
192.168.97.55 18.194.141.54 53398 443 4541 390 6132.62353515625 "1970-01-01 00:00:20.920035156" - - pubby.indazn.com - TLS "1970-01-01 00:00:06.132623535" pubby.indazn.com
192.168.97.55 18.154.161.53 53399 443 1865 6258 10834.05712890625 "1970-01-01 00:01:11.123426514" static.adsafeprotected.com - static.adsafeprotected.com - TLS "1970-01-01 00:00:10.834057129" static.adsafeprotected.com
192.168.97.55 162.247.243.30 53400 443 36665 1634 11295.96435546875 "1970-01-01 00:00:31.668262451" bam-cell.nr-data.net - bam-cell.nr-data.net - TLS "1970-01-01 00:00:11.295964355" nr.data.net
192.168.97.55 13.226.244.78 53401 443 174860 2363215 20460.2314453125 "1970-01-01 00:07:34.920095459" www.dazn.com - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:20.460231445" acc.indazn.com
192.168.97.55 151.101.241.91 53402 443 2970 5742 20576.789306640625 "1970-01-01 00:07:34.910724365" google-ohttp-relay-safebrowsing.fastly-edge.com - google-ohttp-relay-safebrowsing.fastly-edge.com - TLS "1970-01-01 00:00:20.576789307" fastly.edge.com
192.168.97.55 162.247.243.30 53403 443 223543 9274 20843.489501953125 "1970-01-01 00:02:42.680434326" bam-cell.nr-data.net - bam-cell.nr-data.net - TLS "1970-01-01 00:00:20.843489502" nr.data.net
192.168.97.55 162.247.243.30 53404 443 32405 4638 20845.64453125 "1970-01-01 00:00:21.387991455" - - bam-cell.nr-data.net - TLS "1970-01-01 00:00:20.845644531" nr.data.net
192.168.97.55 162.247.243.30 53405 443 271088 7792 20847.260498046875 "1970-01-01 00:02:13.314698486" - - bam-cell.nr-data.net - TLS "1970-01-01 00:00:20.847260498" nr.data.net
192.168.97.55 104.19.178.52 53406 443 2031 3262 20850.43310546875 "1970-01-01 00:01:21.118051514" - - cdn.cookielaw.org - TLS "1970-01-01 00:00:20.850433105" cdn.cookielaw.org
192.168.97.55 3.72.218.66 53407 443 5279 203797 20850.848388671875 "1970-01-01 00:03:53.628318359" startup.core.indazn.com - startup.core.indazn.com - TLS "1970-01-01 00:00:20.850848389" core.indazn.com
192.168.97.55 13.226.244.91 53408 443 1990 442 20851.068359375 "1970-01-01 00:01:21.125159424" resource-strings.acc.indazn.com - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:20.851068359" acc.indazn.com
192.168.97.55 18.65.65.76 53409 443 1976 676 20851.955322265625 "1970-01-01 00:01:21.125250488" static.dazndn.com - static.dazndn.com - TLS "1970-01-01 00:00:20.851955322" static.dazndn.com
192.168.97.55 162.247.243.30 53410 443 72884 2097 20933.955322265625 "1970-01-01 00:01:42.277639160" - - bam-cell.nr-data.net - TLS "1970-01-01 00:00:20.933955322" nr.data.net
192.168.97.55 13.226.244.13 53411 443 8147 21384 21219.739501953125 "1970-01-01 00:07:34.920171143" - - user-profile.ar.indazn.com - TLS "1970-01-01 00:00:21.219739502" ar.indazn.com
192.168.97.55 34.104.33.69 53412 443 1820 4632 21690.9453125 "1970-01-01 00:01:23.094176514" - - safe.dazn.com - TLS "1970-01-01 00:00:21.690945312" safe.dazn.com
192.168.97.55 13.226.244.78 53413 443 2003 676 21826.075439453125 "1970-01-01 00:01:23.104911133" - - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:21.826075439" acc.indazn.com
192.168.97.55 108.139.210.114 53414 443 6161 15614 21832.990478515625 "1970-01-01 00:07:34.920082520" authentication-prod.ar.indazn.com - authentication-prod.ar.indazn.com - TLS "1970-01-01 00:00:21.832990479" ar.indazn.com
192.168.97.55 18.65.64.100 53415 443 4908 7458 21833.846435546875 "1970-01-01 00:07:34.927376465" - - pkg.fe.indazn.com - TLS "1970-01-01 00:00:21.833846436" fe.indazn.com
192.168.97.55 18.194.141.54 53416 443 4484 421 21835.622314453125 "1970-01-01 00:00:31.513060303" pubby.indazn.com - pubby.indazn.com - TLS "1970-01-01 00:00:21.835622314" pubby.indazn.com
192.168.97.55 13.226.244.20 53417 443 1956 676 21835.923095703125 "1970-01-01 00:01:23.105036377" - - favouritesv2.discovery.indazn.com - TLS "1970-01-01 00:00:21.835923096" discovery.indazn.com
192.168.97.55 108.139.210.38 53418 443 6057 25655 21836.851318359375 "1970-01-01 00:07:34.920120361" event.discovery.indazn.com - event.discovery.indazn.com - TLS "1970-01-01 00:00:21.836851318" discovery.indazn.com
192.168.97.55 18.65.82.54 53419 443 4635 10783 21837.71044921875 "1970-01-01 00:07:34.918683105" - - content-item.discovery.indazn.com - TLS "1970-01-01 00:00:21.837710449" discovery.indazn.com
192.168.97.55 18.65.82.123 53420 443 1986 442 21838.199462890625 "1970-01-01 00:01:23.105072510" search.discovery.indazn.com - search.discovery.indazn.com - TLS "1970-01-01 00:00:21.838199463" discovery.indazn.com
192.168.97.55 52.222.130.37 53421 443 2018 442 21838.41650390625 "1970-01-01 00:01:23.105005127" - - images.discovery.indazn.com - TLS "1970-01-01 00:00:21.838416504" discovery.indazn.com
192.168.97.55 18.65.82.84 53422 443 2035 6174 21839.456298828125 "1970-01-01 00:01:23.105098389" - - cdn.dazn.com - TLS "1970-01-01 00:00:21.839456299" cdn.dazn.com
192.168.97.55 18.65.82.125 53423 443 10475 17303 22317.060302734375 "1970-01-01 00:07:34.919986328" - - image.discovery.indazn.com - TLS "1970-01-01 00:00:22.317060303" discovery.indazn.com
192.168.97.55 13.226.244.109 53424 443 6680 17091 22357.26953125 "1970-01-01 00:07:34.920029297" subscriptions-service.ar.indazn.com - subscriptions-service.ar.indazn.com - TLS "1970-01-01 00:00:22.357269531" ar.indazn.com
192.168.97.55 108.139.229.123 53425 443 19851 190016 22358.43310546875 "1970-01-01 00:07:34.920018311" tiered-pricing-offer-service.ar.indazn.com - tiered-pricing-offer-service.ar.indazn.com - TLS "1970-01-01 00:00:22.358433105" ar.indazn.com
192.168.97.55 18.196.114.141 53426 443 10106 10322 22359.284423828125 "1970-01-01 00:01:32.398068359" segmentation-service-api.discovery.indazn.com - segmentation-service-api.discovery.indazn.com - TLS "1970-01-01 00:00:22.359284424" discovery.indazn.com
192.168.97.55 3.125.212.229 53427 443 4506 1036 22364.71435546875 "1970-01-01 00:01:32.417959473" partner-integration.ar.indazn.com - partner-integration.ar.indazn.com - TLS "1970-01-01 00:00:22.364714355" ar.indazn.com
192.168.97.55 151.101.242.49 53428 443 18506 14129 22367.359130859375 "1970-01-01 00:07:34.910745117" - - cdn.contentful.com - TLS "1970-01-01 00:00:22.367359131" cdn.contentful.com
192.168.97.55 108.139.229.122 53429 443 7904 37875 22367.950439453125 "1970-01-01 00:05:34.135562500" ott-authz-bff-prod.ar.indazn.com - ott-authz-bff-prod.ar.indazn.com - TLS "1970-01-01 00:00:22.367950439" ar.indazn.com
192.168.97.55 172.64.155.119 53430 443 14754 4778 22394.102294921875 "1970-01-01 00:07:34.914547119" consent-api.onetrust.com - consent-api.onetrust.com - TLS "1970-01-01 00:00:22.394102295" api.onetrust.com
192.168.97.55 13.35.198.76 53431 443 27410 8149 22857.559326171875 "1970-01-01 00:07:34.918661133" - - wa.appsflyer.com - TLS "1970-01-01 00:00:22.857559326" wa.appsflyer.com
192.168.97.55 52.222.130.61 53432 443 8722 22020 23240.1064453125 "1970-01-01 00:07:34.920107422" follow-shortcuts.discovery.indazn.com - follow-shortcuts.discovery.indazn.com - TLS "1970-01-01 00:00:23.240106445" discovery.indazn.com
192.168.97.55 13.226.244.20 53433 443 17175 55195 23241.734375 "1970-01-01 00:07:34.920039307" - - favouritesv2.discovery.indazn.com - TLS "1970-01-01 00:00:23.241734375" discovery.indazn.com
192.168.97.55 108.139.229.52 53434 443 6000 11958 23265.592529296875 "1970-01-01 00:07:34.927274414" rails.discovery.indazn.com - rails.discovery.indazn.com - TLS "1970-01-01 00:00:23.265592529" discovery.indazn.com
192.168.97.55 52.28.226.137 53435 443 48632 22418 23278.233154296875 "1970-01-01 00:07:34.928377441" user-message.gateway.indazn.com - user-message.gateway.indazn.com - TLS "1970-01-01 00:00:23.278233154" gateway.indazn.com
192.168.97.55 3.70.37.52 53436 443 8927 11948 23279.4814453125 "1970-01-01 00:07:34.928390381" youth-protect.discovery.indazn.com - youth-protect.discovery.indazn.com - TLS "1970-01-01 00:00:23.279481445" discovery.indazn.com
192.168.97.55 3.123.141.166 53437 443 4718 6004 23280.321533203125 "1970-01-01 00:07:34.931694336" - - experiments-api.acc.indazn.com - TLS "1970-01-01 00:00:23.280321533" acc.indazn.com
192.168.97.55 108.139.210.24 53438 443 6985 51219 23455.90234375 "1970-01-01 00:07:34.920132324" - - rail-router.discovery.indazn.com - TLS "1970-01-01 00:00:23.455902344" discovery.indazn.com
192.168.97.55 3.73.166.182 53439 443 9284 37109 23529.50146484375 "1970-01-01 00:07:34.935658447" myaccount-bff.ar.indazn.com - myaccount-bff.ar.indazn.com - TLS "1970-01-01 00:00:23.529501465" ar.indazn.com
192.168.97.55 18.194.141.54 53440 443 2670 390 23623.453125 "1970-01-01 00:00:31.512282471" pubby.indazn.com - pubby.indazn.com - TLS "1970-01-01 00:00:23.623453125" pubby.indazn.com
192.168.97.55 18.194.141.54 53441 443 4509 421 24214.219482421875 "1970-01-01 00:00:31.513141113" pubby.indazn.com - pubby.indazn.com - TLS "1970-01-01 00:00:24.214219482" pubby.indazn.com
192.168.97.55 18.65.65.76 53442 443 1824 7575 31070.6083984375 "1970-01-01 00:01:31.444958496" - - static.dazndn.com - TLS "1970-01-01 00:00:31.070608398" static.dazndn.com
192.168.97.55 162.247.243.30 53443 443 20645 840 31316.955322265625 "1970-01-01 00:01:32.008255127" bam-cell.nr-data.net - bam-cell.nr-data.net - TLS "1970-01-01 00:00:31.316955322" nr.data.net
192.168.97.55 13.107.21.239 53444 443 3138 1697 31480.058349609375 "1970-01-01 00:02:34.144066406" - - edge.microsoft.com - TLS "1970-01-01 00:00:31.480058350" edge.microsoft.com
192.168.97.55 18.194.141.54 53445 443 4620 483 31864.71240234375 "1970-01-01 00:01:31.816180420" pubby.indazn.com - pubby.indazn.com - TLS "1970-01-01 00:00:31.864712402" pubby.indazn.com
192.168.97.55 18.154.161.25 53446 443 3931 10460 32938.387451171875 "1970-01-01 00:07:34.920145508" - - spolo-public-api-global.acc.indazn.com - TLS "1970-01-01 00:00:32.938387451" acc.indazn.com
192.168.97.55 52.113.194.132 53447 443 1110 1011 33020.337158203125 "1970-01-01 00:01:42.127035156" ecs.office.com - - - TLS "1970-01-01 00:00:33.020337158" NONE
