CL_IP SV_IP CL_PR SV_PR UP_BY DW_BY TS_FP TS_LP CN_CL CN_SV CN_DQ HT_HN PROTO DT_FP CNAME
192.168.97.55 13.226.244.3 53095 443 15423 188504 806.298828125 "1970-01-01 00:00:03.494589600" - - www.dazn.com - TLS "1970-01-01 00:00:00.806298828" www.dazn.com
192.168.97.55 142.250.181.227 53096 443 2386 7017 854.0048828125 "1970-01-01 00:00:03.494573975" - - clientservices.googleapis.com - TLS "1970-01-01 00:00:00.854004883" clientservices.googleapis.com
192.168.97.55 173.194.69.84 53097 443 1899 6542 1061.52490234375 "1970-01-01 00:00:03.519761963" - - accounts.google.com - TLS "1970-01-01 00:00:01.061524902" accounts.google.com
192.168.97.55 13.226.244.78 53098 443 1901 6198 1189.37158203125 "1970-01-01 00:00:03.494606934" resource-strings.acc.indazn.com - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:01.189371582" acc.indazn.com
192.168.97.55 104.19.178.52 53099 443 1887 4304 1189.7578125 "1970-01-01 00:00:03.484879639" - - cdn.cookielaw.org - TLS "1970-01-01 00:00:01.189757812" cdn.cookielaw.org
192.168.97.55 18.159.99.45 53100 443 2974 39632 1290.427978515625 "1970-01-01 00:00:03.520156982" startup.core.indazn.com core.indazn.com startup.core.indazn.com - TLS "1970-01-01 00:00:01.290427979" core.indazn.com
192.168.97.55 18.65.65.76 53101 443 1855 6175 1412.531005859375 "1970-01-01 00:00:03.494510009" static.dazndn.com - static.dazndn.com - TLS "1970-01-01 00:00:01.412531006" static.dazndn.com
192.168.97.55 162.247.243.30 53102 443 13166 5462 1551.907958984375 "1970-01-01 00:00:03.519816895" bam-cell.nr-data.net - bam-cell.nr-data.net - TLS "1970-01-01 00:00:01.551907959" nr.data.net
192.168.97.55 13.226.244.14 53103 443 4117 6980 1983.173583984375 "1970-01-01 00:00:03.492608887" user-profile.ar.indazn.com - user-profile.ar.indazn.com - TLS "1970-01-01 00:00:01.983173584" ar.indazn.com
192.168.97.55 34.104.33.69 53104 443 1787 4632 2840.859619140625 "1970-01-01 00:00:03.483836914" - - safe.dazn.com - TLS "1970-01-01 00:00:02.840859619" safe.dazn.com
192.168.97.55 13.226.244.3 53105 443 1818 6223 3128.789794921875 "1970-01-01 00:00:03.494643799" www.dazn.com - www.dazn.com - TLS "1970-01-01 00:00:03.128789795" www.dazn.com
192.168.97.55 18.65.64.84 53106 443 1823 6185 3143.78759765625 "1970-01-01 00:00:03.494625000" - - pkg.fe.indazn.com - TLS "1970-01-01 00:00:03.143787598" fe.indazn.com
192.168.97.55 13.226.244.20 53107 443 1803 6179 3156.251953125 "1970-01-01 00:00:03.494660889" youth-protection.dazn-api.com - youth-protection.dazn-api.com - TLS "1970-01-01 00:00:03.156251952" dazn.api.com
192.168.97.55 18.194.141.54 53108 443 4518 5850 3218.788818359375 "1970-01-01 00:00:20.923815918" - pubby.indazn.com pubby.indazn.com - TLS "1970-01-01 00:00:03.218788818" pubby.indazn.com
192.168.97.55 108.139.210.45 53109 443 2390 6684 3224.2958984375 "1970-01-01 00:00:03.565503905" - - authentication-prod.ar.indazn.com - TLS "1970-01-01 00:00:03.224295898" ar.indazn.com
192.168.97.55 18.65.82.93 53110 443 1871 6215 3238.243896484375 "1970-01-01 00:00:03.477065918" - - content-item.discovery.indazn.com - TLS "1970-01-01 00:00:03.238243896" discovery.indazn.com
192.168.97.55 18.65.82.56 53111 443 1833 6007 3243.05078125 "1970-01-01 00:00:03.494558838" search.discovery.indazn.com - search.discovery.indazn.com - TLS "1970-01-01 00:00:03.243050781" discovery.indazn.com
192.168.97.55 108.139.210.38 53112 443 1736 1400 3300.636962890625 "1970-01-01 00:00:03.477154785" - - event.discovery.indazn.com - TLS "1970-01-01 00:00:03.300636963" discovery.indazn.com
192.168.97.55 18.65.82.120 53113 443 1737 1400 3301.498779296875 "1970-01-01 00:00:03.490329590" images.discovery.indazn.com - images.discovery.indazn.com - TLS "1970-01-01 00:00:03.301498779" discovery.indazn.com
192.168.97.55 18.65.82.84 53114 443 1722 1400 3326.866943359375 "1970-01-01 00:00:03.494729980" - - cdn.dazn.com - TLS "1970-01-01 00:00:03.326866943" cdn.dazn.com
192.168.97.55 108.139.210.45 53115 443 6343 20054 3478.180908203125 "1970-01-01 00:07:34.766284912" authentication-prod.ar.indazn.com - authentication-prod.ar.indazn.com - TLS "1970-01-01 00:00:03.478180908" ar.indazn.com
192.168.97.55 142.250.186.78 53116 443 1873 6953 3497.240966796875 "1970-01-01 00:01:04.609995605" www.google-analytics.com - www.google-analytics.com - TLS "1970-01-01 00:00:03.497240967" google.analytics.com
192.168.97.55 142.250.185.195 53117 443 1838 6724 3620.218017578125 "1970-01-01 00:01:04.948614014" update.googleapis.com - update.googleapis.com - TLS "1970-01-01 00:00:03.620218018" update.googleapis.com
192.168.97.55 18.65.82.9 53118 443 9244 24272 3658.722900390625 "1970-01-01 00:07:34.760684814" onboarding.indazn.com - onboarding.indazn.com - TLS "1970-01-01 00:00:03.658722900" onboarding.indazn.com
192.168.97.55 13.226.244.112 53119 443 8777 25893 3714.928955078125 "1970-01-01 00:07:34.760425781" - - subscriptions-service.ar.indazn.com - TLS "1970-01-01 00:00:03.714928955" ar.indazn.com
192.168.97.55 52.28.174.201 53120 443 14526 20832 3736.61279296875 "1970-01-01 00:01:32.885379639" - discovery.indazn.com segmentation-service-api.discovery.indazn.com - TLS "1970-01-01 00:00:03.736612793" discovery.indazn.com
192.168.97.55 18.196.109.79 53121 443 4701 6936 3736.77880859375 "1970-01-01 00:01:33.174181641" - partner-integration.ar.indazn.com partner-integration.ar.indazn.com - TLS "1970-01-01 00:00:03.736778809" ar.indazn.com
192.168.97.55 108.139.210.24 53122 443 12045 194218 3738.198974609375 "1970-01-01 00:07:34.760346924" rail-router.discovery.indazn.com - rail-router.discovery.indazn.com - TLS "1970-01-01 00:00:03.738198975" discovery.indazn.com
192.168.97.55 151.101.242.49 53123 443 20182 23321 3761.822998046875 "1970-01-01 00:07:34.749880859" - cdn.contentful.com cdn.contentful.com - TLS "1970-01-01 00:00:03.761822998" cdn.contentful.com
192.168.97.55 104.18.32.137 53124 443 16246 9097 3776.803955078125 "1970-01-01 00:07:34.751071777" - - consent-api.onetrust.com - TLS "1970-01-01 00:00:03.776803955" api.onetrust.com
192.168.97.55 108.139.229.47 53125 443 20740 236709 3778.04296875 "1970-01-01 00:07:34.766714844" - - tiered-pricing-offer-service.ar.indazn.com - TLS "1970-01-01 00:00:03.778042969" ar.indazn.com
192.168.97.55 108.139.229.124 53126 443 10923 64164 3781.5869140625 "1970-01-01 00:07:34.760627930" ott-authz-bff-prod.ar.indazn.com - ott-authz-bff-prod.ar.indazn.com - TLS "1970-01-01 00:00:03.781586914" ar.indazn.com
