CL_IP SV_IP CL_PR SV_PR UP_BY DW_BY TS_FP TS_LP CN_CL CN_SV CN_DQ HT_HN PROTO DT_FP CNAME
192.168.97.55 142.250.181.227 56219 443 2418 7015 806.12841796875 "1970-01-01 00:00:09.860081543" - - clientservices.googleapis.com - TLS "1970-01-01 00:00:00.806128418" clientservices.googleapis.com
192.168.97.55 13.226.244.46 56220 443 15432 187910 875.4765625 "1970-01-01 00:00:09.853453613" www.dazn.com - www.dazn.com - TLS "1970-01-01 00:00:00.875476562" www.dazn.com
192.168.97.55 173.194.69.84 56221 443 1867 6541 1059.78271484375 "1970-01-01 00:00:09.849642578" accounts.google.com - accounts.google.com - TLS "1970-01-01 00:00:01.059782715" accounts.google.com
192.168.97.55 104.19.178.52 56222 443 1823 3793 1171.59765625 "1970-01-01 00:00:09.843951660" - - cdn.cookielaw.org - TLS "1970-01-01 00:00:01.171597656" cdn.cookielaw.org
192.168.97.55 3.124.24.226 56223 443 2972 39632 1171.877685546875 "1970-01-01 00:00:09.862963623" - core.indazn.com startup.core.indazn.com - TLS "1970-01-01 00:00:01.171877686" core.indazn.com
192.168.97.55 13.226.244.91 56224 443 1869 6198 1172.144775390625 "1970-01-01 00:00:09.853317627" resource-strings.acc.indazn.com - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:01.172144775" acc.indazn.com
192.168.97.55 18.65.65.76 56225 443 1855 6175 1239.41455078125 "1970-01-01 00:00:09.853366699" static.dazndn.com - static.dazndn.com - TLS "1970-01-01 00:00:01.239414551" static.dazndn.com
192.168.97.55 162.247.243.30 56226 443 10965 5082 1360.52978515625 "1970-01-01 00:00:02.022865723" - - bam-cell.nr-data.net - TLS "1970-01-01 00:00:01.360529785" nr.data.net
192.168.97.55 13.226.244.68 56227 443 4293 8160 1568.647705078125 "1970-01-01 00:00:09.853426758" user-profile.ar.indazn.com - user-profile.ar.indazn.com - TLS "1970-01-01 00:00:01.568647705" ar.indazn.com
192.168.97.55 13.226.244.46 56228 443 3218 6223 2166.24072265625 "1970-01-01 00:00:09.853383545" - - www.dazn.com - TLS "1970-01-01 00:00:02.166240723" www.dazn.com
192.168.97.55 18.65.64.84 56229 443 4064 7065 2192.28564453125 "1970-01-01 00:00:09.853441650" pkg.fe.indazn.com - pkg.fe.indazn.com - TLS "1970-01-01 00:00:02.192285645" fe.indazn.com
192.168.97.55 13.226.244.40 56230 443 3267 6387 2201.2607421875 "1970-01-01 00:00:09.853397705" - - youth-protection.dazn-api.com - TLS "1970-01-01 00:00:02.201260741" dazn.api.com
192.168.97.55 108.139.210.118 56231 443 3200 6215 2216.286376953125 "1970-01-01 00:00:09.844359619" event.discovery.indazn.com - event.discovery.indazn.com - TLS "1970-01-01 00:00:02.216286377" discovery.indazn.com
192.168.97.55 18.65.82.54 56232 443 1839 6215 2216.6845703125 "1970-01-01 00:00:09.844064697" - - content-item.discovery.indazn.com - TLS "1970-01-01 00:00:02.216684570" discovery.indazn.com
192.168.97.55 18.157.196.120 56233 443 4518 5850 2216.8896484375 "1970-01-01 00:00:21.447241699" pubby.indazn.com pubby.indazn.com pubby.indazn.com - TLS "1970-01-01 00:00:02.216889648" pubby.indazn.com
192.168.97.55 108.139.210.39 56234 443 5464 7802 2231.177734375 "1970-01-01 00:00:09.859366699" - - authentication-prod.ar.indazn.com - TLS "1970-01-01 00:00:02.231177734" ar.indazn.com
192.168.97.55 18.65.82.14 56235 443 3233 6249 2246.207763671875 "1970-01-01 00:00:09.845400391" - - images.discovery.indazn.com - TLS "1970-01-01 00:00:02.246207764" discovery.indazn.com
192.168.97.55 18.65.82.123 56236 443 1865 6215 2300.149658203125 "1970-01-01 00:00:09.849866699" - - search.discovery.indazn.com - TLS "1970-01-01 00:00:02.300149658" discovery.indazn.com
192.168.97.55 162.247.243.30 56237 443 4308 858 2324.58837890625 "1970-01-01 00:00:09.833741699" - - bam-cell.nr-data.net - TLS "1970-01-01 00:00:02.324588379" nr.data.net
192.168.97.55 18.65.82.84 56238 443 1882 6174 2344.99658203125 "1970-01-01 00:00:09.844123779" cdn.dazn.com - cdn.dazn.com - TLS "1970-01-01 00:00:02.344996582" cdn.dazn.com
192.168.97.55 142.250.186.78 56239 443 1872 6954 2589.877685546875 "1970-01-01 00:00:09.853412354" - - www.google-analytics.com - TLS "1970-01-01 00:00:02.589877686" google.analytics.com
192.168.97.55 18.65.82.125 56240 443 4082 7445 2838.61962890625 "1970-01-01 00:00:09.855334717" onboarding.indazn.com - onboarding.indazn.com - TLS "1970-01-01 00:00:02.838619629" onboarding.indazn.com
192.168.97.55 18.193.90.171 56241 443 4196 6198 2840.95361328125 "1970-01-01 00:00:09.867326416" - partner-integration.ar.indazn.com partner-integration.ar.indazn.com - TLS "1970-01-01 00:00:02.840953613" ar.indazn.com
192.168.97.55 52.28.174.201 56242 443 7067 10699 2841.07763671875 "1970-01-01 00:00:09.867337646" - discovery.indazn.com segmentation-service-api.discovery.indazn.com - TLS "1970-01-01 00:00:02.841077637" discovery.indazn.com
192.168.97.55 13.226.244.109 56243 443 4326 8579 2856.45556640625 "1970-01-01 00:00:09.855321777" - - subscriptions-service.ar.indazn.com - TLS "1970-01-01 00:00:02.856455566" ar.indazn.com
192.168.97.55 216.239.34.36 56244 443 1812 8139 2871.431640625 "1970-01-01 00:00:09.843157715" region1.analytics.google.com - region1.analytics.google.com - TLS "1970-01-01 00:00:02.871431641" analytics.google.com
192.168.97.55 108.139.210.24 56245 443 9536 151056 2917.666748046875 "1970-01-01 00:00:09.860027588" - - rail-router.discovery.indazn.com - TLS "1970-01-01 00:00:02.917666748" discovery.indazn.com
192.168.97.55 108.139.229.67 56246 443 4955 30435 2918.645751953125 "1970-01-01 00:00:09.855304688" tiered-pricing-offer-service.ar.indazn.com - tiered-pricing-offer-service.ar.indazn.com - TLS "1970-01-01 00:00:02.918645752" ar.indazn.com
192.168.97.55 108.139.229.122 56247 443 4142 9199 2919.589599609375 "1970-01-01 00:00:09.860053711" - - ott-authz-bff-prod.ar.indazn.com - TLS "1970-01-01 00:00:02.919589600" ar.indazn.com
192.168.97.55 151.101.242.49 56248 443 4442 8204 2923.045654296875 "1970-01-01 00:00:09.844341553" - cdn.contentful.com cdn.contentful.com - TLS "1970-01-01 00:00:02.923045654" cdn.contentful.com
192.168.97.55 172.64.155.119 56249 443 3234 6140 3048.194580078125 "1970-01-01 00:00:09.849576416" consent-api.onetrust.com - consent-api.onetrust.com - TLS "1970-01-01 00:00:03.048194580" api.onetrust.com
192.168.97.55 92.123.101.130 56250 443 2571 4518 3756.587646484375 "1970-01-01 00:00:09.844046387" - - websdk.appsflyer.com - TLS "1970-01-01 00:00:03.756587646" websdk.appsflyer.com
192.168.97.55 52.28.226.137 56251 443 4562 5383 4135.61474609375 "1970-01-01 00:00:09.862919678" user-message.gateway.indazn.com - user-message.gateway.indazn.com - TLS "1970-01-01 00:00:04.135614746" gateway.indazn.com
192.168.97.55 108.139.229.113 56252 443 2667 8878 4151.265625 "1970-01-01 00:00:09.859308350" - - rails.discovery.indazn.com - TLS "1970-01-01 00:00:04.151265625" discovery.indazn.com
192.168.97.55 52.222.130.77 56253 443 4316 7862 4151.53466796875 "1970-01-01 00:00:09.855347656" - - follow-shortcuts.discovery.indazn.com - TLS "1970-01-01 00:00:04.151534668" discovery.indazn.com
192.168.97.55 13.226.244.60 56254 443 4545 10123 4240.127685546875 "1970-01-01 00:00:09.859892578" favouritesv2.discovery.indazn.com - favouritesv2.discovery.indazn.com - TLS "1970-01-01 00:00:04.240127686" discovery.indazn.com
192.168.97.55 3.122.78.35 56255 443 4184 6628 4246.669677734375 "1970-01-01 00:00:09.867313721" - - youth-protect.discovery.indazn.com - TLS "1970-01-01 00:00:04.246669678" discovery.indazn.com
192.168.97.55 3.125.24.248 56256 443 2471 6100 4246.849609375 "1970-01-01 00:00:09.867260741" - - experiments-api.acc.indazn.com - TLS "1970-01-01 00:00:04.246849609" acc.indazn.com
192.168.97.55 18.157.196.120 56257 443 2711 11013 4324.560546875 "1970-01-01 00:00:21.447204346" pubby.indazn.com - pubby.indazn.com - TLS "1970-01-01 00:00:04.324560547" pubby.indazn.com
192.168.97.55 13.35.198.11 56258 443 4116 6799 4390.961669921875 "1970-01-01 00:00:09.859767578" wa.appsflyer.com - wa.appsflyer.com - TLS "1970-01-01 00:00:04.390961670" wa.appsflyer.com
192.168.97.55 3.73.166.182 56259 443 4290 8543 4481.935546875 "1970-01-01 00:00:09.867300781" - - myaccount-bff.ar.indazn.com - TLS "1970-01-01 00:00:04.481935547" ar.indazn.com
192.168.97.55 18.65.82.14 56260 443 3905 20250 6301.441650390625 "1970-01-01 00:00:09.860108398" image.discovery.indazn.com - image.discovery.indazn.com - TLS "1970-01-01 00:00:06.301441650" discovery.indazn.com
192.168.97.55 23.39.105.81 56261 443 2559 4662 6997.109619140625 "1970-01-01 00:00:09.855364746" images.daznservices.com san1.daznservices.com images.daznservices.com - TLS "1970-01-01 00:00:06.997109619" images.daznservices.com
192.168.97.55 18.157.196.120 56262 443 4573 421 7122.95556640625 "1970-01-01 00:00:21.447168701" pubby.indazn.com - pubby.indazn.com - TLS "1970-01-01 00:00:07.122955566" pubby.indazn.com
192.168.97.55 142.251.209.35 56263 443 1806 6911 9979.777587890625 "1970-01-01 00:01:10.367702393" - - update.googleapis.com - TLS "1970-01-01 00:00:09.979777588" update.googleapis.com
192.168.97.55 142.251.209.42 56264 443 1820 6954 10838.6787109375 "1970-01-01 00:01:12.287064697" - - optimizationguide-pa.googleapis.com - TLS "1970-01-01 00:00:10.838678711" pa.googleapis.com
192.168.97.55 18.154.161.2 56265 443 1865 6258 11200.1376953125 "1970-01-01 00:01:12.287169678" - - static.adsafeprotected.com - TLS "1970-01-01 00:00:11.200137695" static.adsafeprotected.com
192.168.97.55 162.247.243.30 56266 443 37156 1634 11317.576416015625 "1970-01-01 00:00:22.102752686" - - bam-cell.nr-data.net - TLS "1970-01-01 00:00:11.317576416" nr.data.net
192.168.97.55 104.18.24.111 56267 443 1794 5594 11747.230712890625 "1970-01-01 00:01:12.287140381" expansioneggnog.com - expansioneggnog.com - TLS "1970-01-01 00:00:11.747230713" expansioneggnog.com
192.168.97.55 13.226.244.46 56268 443 172313 2368274 20485.11474609375 "1970-01-01 00:07:34.756465576" - - www.dazn.com - TLS "1970-01-01 00:00:20.485114746" www.dazn.com
192.168.97.55 151.101.241.91 56269 443 3027 5703 20679.273681640625 "1970-01-01 00:07:34.754666748" google-ohttp-relay-safebrowsing.fastly-edge.com - google-ohttp-relay-safebrowsing.fastly-edge.com - TLS "1970-01-01 00:00:20.679273682" fastly.edge.com
192.168.97.55 162.247.243.30 56270 443 11311 2181 21296.644775390625 "1970-01-01 00:00:22.839618408" bam-cell.nr-data.net - bam-cell.nr-data.net - TLS "1970-01-01 00:00:21.296644775" nr.data.net
192.168.97.55 162.247.243.30 56271 443 19367 5051 21298.249755859375 "1970-01-01 00:00:31.595367676" - - bam-cell.nr-data.net - TLS "1970-01-01 00:00:21.298249756" nr.data.net
192.168.97.55 162.247.243.30 56272 443 86887 6339 21300.042724609375 "1970-01-01 00:01:42.815837646" bam-cell.nr-data.net - bam-cell.nr-data.net - TLS "1970-01-01 00:00:21.300042725" nr.data.net
192.168.97.55 104.19.178.52 56273 443 2127 2399 21303.88037109375 "1970-01-01 00:01:22.382568359" cdn.cookielaw.org - cdn.cookielaw.org - TLS "1970-01-01 00:00:21.303880371" cdn.cookielaw.org
192.168.97.55 3.124.24.226 56274 443 5588 202380 21304.612548828125 "1970-01-01 00:03:53.437124756" startup.core.indazn.com - startup.core.indazn.com - TLS "1970-01-01 00:00:21.304612549" core.indazn.com
192.168.97.55 13.226.244.91 56275 443 1990 442 21305.315673828125 "1970-01-01 00:01:22.382642578" resource-strings.acc.indazn.com - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:21.305315674" acc.indazn.com
192.168.97.55 18.65.65.76 56276 443 2008 884 21306.290771484375 "1970-01-01 00:01:22.382630371" static.dazndn.com - static.dazndn.com - TLS "1970-01-01 00:00:21.306290771" static.dazndn.com
192.168.97.55 162.247.243.30 56277 443 24013 4695 21350.1767578125 "1970-01-01 00:00:22.117469727" bam-cell.nr-data.net - bam-cell.nr-data.net - TLS "1970-01-01 00:00:21.350176758" nr.data.net
192.168.97.55 13.226.244.68 56278 443 8059 23408 21991.15478515625 "1970-01-01 00:07:34.756550781" - - user-profile.ar.indazn.com - TLS "1970-01-01 00:00:21.991154785" ar.indazn.com
