CL_IP SV_IP CL_PR SV_PR UP_BY DW_BY TS_FP TS_LP CN_CL CN_SV CN_DQ HT_HN PROTO DT_FP CNAME
192.168.97.55 13.226.244.46 52826 443 15364 187876 841.142578125 "1970-01-01 00:00:03.414905762" - - www.dazn.com - TLS "1970-01-01 00:00:00.841142578" www.dazn.com
192.168.97.55 20.190.177.23 52827 443 7527 21273 843.624755859375 "1970-01-01 00:00:01.535121582" login.live.com login.live.com - - TLS "1970-01-01 00:00:00.843624756" NONE
192.168.97.55 173.194.69.84 52828 443 1835 7510 968.584716796875 "1970-01-01 00:00:03.414879395" accounts.google.com - accounts.google.com - TLS "1970-01-01 00:00:00.968584717" accounts.google.com
192.168.97.55 3.72.218.66 52829 443 2942 39632 1217.283447265625 "1970-01-01 00:00:03.415018799" - core.indazn.com startup.core.indazn.com - TLS "1970-01-01 00:00:01.217283447" core.indazn.com
192.168.97.55 104.19.177.52 52830 443 1887 4305 1217.73974609375 "1970-01-01 00:00:03.414457764" cdn.cookielaw.org - cdn.cookielaw.org - TLS "1970-01-01 00:00:01.217739746" cdn.cookielaw.org
192.168.97.55 13.226.244.91 52831 443 1837 6198 1307.084716796875 "1970-01-01 00:00:03.414773438" resource-strings.acc.indazn.com - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:01.307084717" acc.indazn.com
192.168.97.55 18.65.65.76 52832 443 1823 6175 1318.106689453125 "1970-01-01 00:00:03.414926758" - - static.dazndn.com - TLS "1970-01-01 00:00:01.318106689" static.dazndn.com
192.168.97.55 162.247.241.2 52833 443 13193 7093 1657.1376953125 "1970-01-01 00:00:03.414380615" bam-cell.nr-data.net - bam-cell.nr-data.net - TLS "1970-01-01 00:00:01.657137695" nr.data.net
192.168.97.55 13.226.244.13 52834 443 4149 6999 1893.99658203125 "1970-01-01 00:00:03.414965576" - - user-profile.ar.indazn.com - TLS "1970-01-01 00:00:01.893996582" ar.indazn.com
192.168.97.55 34.104.33.69 52835 443 1819 4632 2599.140625 "1970-01-01 00:00:03.414508789" safe.dazn.com - safe.dazn.com - TLS "1970-01-01 00:00:02.599140625" safe.dazn.com
192.168.97.55 13.226.244.46 52836 443 1786 6223 2862.36376953125 "1970-01-01 00:00:03.414797607" www.dazn.com - www.dazn.com - TLS "1970-01-01 00:00:02.862363770" www.dazn.com
192.168.97.55 18.65.64.100 52837 443 1887 6185 2876.336669921875 "1970-01-01 00:00:03.414617432" - - pkg.fe.indazn.com - TLS "1970-01-01 00:00:02.876336670" fe.indazn.com
192.168.97.55 13.226.244.20 52838 443 1899 6179 2878.57275390625 "1970-01-01 00:00:03.414813721" - - youth-protection.dazn-api.com - TLS "1970-01-01 00:00:02.878572754" dazn.api.com
192.168.97.55 35.159.7.172 52839 443 4454 5850 2880.732666015625 "1970-01-01 00:00:20.876022705" - pubby.indazn.com pubby.indazn.com - TLS "1970-01-01 00:00:02.880732666" pubby.indazn.com
192.168.97.55 18.65.82.54 52840 443 1839 6215 2889.388671875 "1970-01-01 00:00:03.414592773" - - content-item.discovery.indazn.com - TLS "1970-01-01 00:00:02.889388672" discovery.indazn.com
192.168.97.55 18.65.82.103 52841 443 1897 6215 2889.707763671875 "1970-01-01 00:00:03.414663574" - - search.discovery.indazn.com - TLS "1970-01-01 00:00:02.889707764" discovery.indazn.com
192.168.97.55 18.65.82.71 52842 443 1786 6174 2898.49267578125 "1970-01-01 00:00:03.414565430" - - cdn.dazn.com - TLS "1970-01-01 00:00:02.898492676" cdn.dazn.com
192.168.97.55 108.139.210.45 52843 443 4126 7783 2977.33544921875 "1970-01-01 00:00:03.536086670" - - authentication-prod.ar.indazn.com - TLS "1970-01-01 00:00:02.977335449" ar.indazn.com
192.168.97.55 18.65.82.42 52844 443 1865 6249 2986.811767578125 "1970-01-01 00:00:03.414693604" images.discovery.indazn.com - images.discovery.indazn.com - TLS "1970-01-01 00:00:02.986811768" discovery.indazn.com
192.168.97.55 108.139.210.38 52845 443 1832 6215 2992.3427734375 "1970-01-01 00:00:03.414735596" event.discovery.indazn.com - event.discovery.indazn.com - TLS "1970-01-01 00:00:02.992342773" discovery.indazn.com
192.168.97.55 142.250.180.142 52846 443 0 0 3331.5087890625 "1970-01-01 00:00:17.894228760" - - www.google-analytics.com - Unknown "1970-01-01 00:00:03.331508789" google.analytics.com
192.168.97.55 142.250.180.142 52847 443 1766 1400 3359.210693359375 "1970-01-01 00:00:03.479252686" - - www.google-analytics.com - TLS "1970-01-01 00:00:03.359210693" google.analytics.com
192.168.97.55 18.65.82.9 52848 443 0 0 3393.23974609375 "1970-01-01 00:00:18.933963379" - - onboarding.indazn.com - Unknown "1970-01-01 00:00:03.393239746" onboarding.indazn.com
192.168.97.55 18.65.82.9 52849 443 9227 25449 3425.23876953125 "1970-01-01 00:07:34.772070801" - - onboarding.indazn.com - TLS "1970-01-01 00:00:03.425238770" onboarding.indazn.com
192.168.97.55 13.226.244.109 52850 443 8703 22997 3458.393798828125 "1970-01-01 00:07:34.771821777" - - subscriptions-service.ar.indazn.com - TLS "1970-01-01 00:00:03.458393799" ar.indazn.com
192.168.97.55 3.125.212.229 52851 443 4747 7125 3458.6748046875 "1970-01-01 00:01:33.264583740" - partner-integration.ar.indazn.com partner-integration.ar.indazn.com - TLS "1970-01-01 00:00:03.458674805" ar.indazn.com
192.168.97.55 108.139.229.123 52852 443 20737 244820 3497.19873046875 "1970-01-01 00:07:34.772015381" tiered-pricing-offer-service.ar.indazn.com - tiered-pricing-offer-service.ar.indazn.com - TLS "1970-01-01 00:00:03.497198730" ar.indazn.com
192.168.97.55 108.139.210.2 52853 443 12488 202833 3497.36474609375 "1970-01-01 00:07:34.772083740" - - rail-router.discovery.indazn.com - TLS "1970-01-01 00:00:03.497364746" discovery.indazn.com
192.168.97.55 104.18.32.137 52854 443 15370 9323 3506.726806640625 "1970-01-01 00:07:34.759899414" consent-api.onetrust.com - consent-api.onetrust.com - TLS "1970-01-01 00:00:03.506726807" api.onetrust.com
192.168.97.55 151.101.242.49 52855 443 20200 22718 3511.090576171875 "1970-01-01 00:07:34.759796631" - cdn.contentful.com cdn.contentful.com - TLS "1970-01-01 00:00:03.511090576" cdn.contentful.com
192.168.97.55 18.196.114.141 52856 443 14476 20882 3511.24658203125 "1970-01-01 00:01:33.101291748" - discovery.indazn.com segmentation-service-api.discovery.indazn.com - TLS "1970-01-01 00:00:03.511246582" discovery.indazn.com
192.168.97.55 108.139.229.124 52857 443 10810 66009 3522.86669921875 "1970-01-01 00:07:34.771954590" - - ott-authz-bff-prod.ar.indazn.com - TLS "1970-01-01 00:00:03.522866699" ar.indazn.com
192.168.97.55 13.35.198.109 52858 443 29056 14509 3838.214599609375 "1970-01-01 00:07:34.772095703" - - wa.appsflyer.com - TLS "1970-01-01 00:00:03.838214600" wa.appsflyer.com
