CL_IP SV_IP CL_PR SV_PR UP_BY DW_BY TS_FP TS_LP CN_CL CN_SV CN_DQ HT_HN PROTO DT_FP CNAME
192.168.97.55 13.226.244.3 55641 443 15366 189608 795.713623046875 "1970-01-01 00:00:08.893271973" - - www.dazn.com - TLS "1970-01-01 00:00:00.795713623" www.dazn.com
192.168.97.55 142.250.181.227 55642 443 2322 7016 813.98095703125 "1970-01-01 00:00:08.883751953" - - clientservices.googleapis.com - TLS "1970-01-01 00:00:00.813980957" clientservices.googleapis.com
192.168.97.55 173.194.69.84 55643 443 1867 6543 920.9267578125 "1970-01-01 00:00:08.888287598" accounts.google.com - accounts.google.com - TLS "1970-01-01 00:00:00.920926758" accounts.google.com
192.168.97.55 13.226.244.91 55644 443 1901 6198 1129.372802734375 "1970-01-01 00:00:08.889886963" - - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:01.129372803" acc.indazn.com
192.168.97.55 104.19.178.52 55645 443 1887 3792 1129.886962890625 "1970-01-01 00:00:08.880944824" cdn.cookielaw.org - cdn.cookielaw.org - TLS "1970-01-01 00:00:01.129886963" cdn.cookielaw.org
192.168.97.55 18.65.65.76 55646 443 1887 6175 1159.373779296875 "1970-01-01 00:00:08.888346924" static.dazndn.com - static.dazndn.com - TLS "1970-01-01 00:00:01.159373779" static.dazndn.com
192.168.97.55 18.159.99.45 55647 443 3006 39612 1195.388916015625 "1970-01-01 00:00:08.900643799" - core.indazn.com startup.core.indazn.com - TLS "1970-01-01 00:00:01.195388916" core.indazn.com
192.168.97.55 162.247.243.30 55648 443 13188 5837 1266.330810546875 "1970-01-01 00:00:08.872020996" bam-cell.nr-data.net - bam-cell.nr-data.net - TLS "1970-01-01 00:00:01.266330811" nr.data.net
192.168.97.55 13.226.244.68 55649 443 4229 7754 1520.89990234375 "1970-01-01 00:00:08.893351562" user-profile.ar.indazn.com - user-profile.ar.indazn.com - TLS "1970-01-01 00:00:01.520899902" ar.indazn.com
192.168.97.55 13.226.244.3 55650 443 1786 6223 2170.806884765625 "1970-01-01 00:00:08.889911621" www.dazn.com - www.dazn.com - TLS "1970-01-01 00:00:02.170806885" www.dazn.com
192.168.97.55 18.65.64.65 55651 443 2632 7063 2192.4208984375 "1970-01-01 00:00:08.899438965" pkg.fe.indazn.com - pkg.fe.indazn.com - TLS "1970-01-01 00:00:02.192420898" fe.indazn.com
192.168.97.55 13.226.244.27 55652 443 1835 6179 2207.52490234375 "1970-01-01 00:00:08.889966797" - - youth-protection.dazn-api.com - TLS "1970-01-01 00:00:02.207524902" dazn.api.com
192.168.97.55 108.139.210.50 55653 443 4160 7804 2324.515625 "1970-01-01 00:00:08.899637939" - - authentication-prod.ar.indazn.com - TLS "1970-01-01 00:00:02.324515625" ar.indazn.com
192.168.97.55 18.65.82.21 55654 443 1871 6215 2365.658935546875 "1970-01-01 00:00:08.883686768" content-item.discovery.indazn.com - content-item.discovery.indazn.com - TLS "1970-01-01 00:00:02.365658936" discovery.indazn.com
192.168.97.55 108.139.210.30 55655 443 1800 6215 2366.204833984375 "1970-01-01 00:00:08.883724854" event.discovery.indazn.com - event.discovery.indazn.com - TLS "1970-01-01 00:00:02.366204834" discovery.indazn.com
192.168.97.55 52.29.115.83 55656 443 5886 5819 2414.517578125 "1970-01-01 00:00:20.931547607" - pubby.indazn.com pubby.indazn.com - TLS "1970-01-01 00:00:02.414517578" pubby.indazn.com
192.168.97.55 18.65.82.71 55657 443 1818 6174 2440.833984375 "1970-01-01 00:00:08.883737793" - - cdn.dazn.com - TLS "1970-01-01 00:00:02.440833984" cdn.dazn.com
192.168.97.55 18.65.82.90 55658 443 3201 6215 2441.832763671875 "1970-01-01 00:00:08.889924805" search.discovery.indazn.com - search.discovery.indazn.com - TLS "1970-01-01 00:00:02.441832764" discovery.indazn.com
192.168.97.55 18.65.82.42 55659 443 1897 6249 2446.310791015625 "1970-01-01 00:00:08.889954834" - - images.discovery.indazn.com - TLS "1970-01-01 00:00:02.446310791" discovery.indazn.com
192.168.97.55 142.250.186.78 55660 443 1808 6954 2556.184814453125 "1970-01-01 00:00:08.889939941" www.google-analytics.com - www.google-analytics.com - TLS "1970-01-01 00:00:02.556184814" google.analytics.com
192.168.97.55 18.65.82.9 55661 443 4083 7423 2807.368896484375 "1970-01-01 00:00:08.899554932" onboarding.indazn.com - onboarding.indazn.com - TLS "1970-01-01 00:00:02.807368896" onboarding.indazn.com
192.168.97.55 18.196.114.141 55662 443 7068 10699 2927.40576171875 "1970-01-01 00:00:08.904758789" segmentation-service-api.discovery.indazn.com discovery.indazn.com segmentation-service-api.discovery.indazn.com - TLS "1970-01-01 00:00:02.927405762" discovery.indazn.com
192.168.97.55 104.18.32.137 55663 443 3232 6162 2934.5927734375 "1970-01-01 00:00:08.887957764" consent-api.onetrust.com - consent-api.onetrust.com - TLS "1970-01-01 00:00:02.934592773" api.onetrust.com
192.168.97.55 13.226.244.112 55664 443 4327 8587 2950.1748046875 "1970-01-01 00:00:08.893395996" - - subscriptions-service.ar.indazn.com - TLS "1970-01-01 00:00:02.950174805" ar.indazn.com
192.168.97.55 108.139.229.47 55665 443 5020 17969 2950.36279296875 "1970-01-01 00:00:08.899496826" tiered-pricing-offer-service.ar.indazn.com - tiered-pricing-offer-service.ar.indazn.com - TLS "1970-01-01 00:00:02.950362793" ar.indazn.com
192.168.97.55 151.101.242.49 55666 443 4442 8180 2950.626953125 "1970-01-01 00:00:08.884557617" - cdn.contentful.com cdn.contentful.com - TLS "1970-01-01 00:00:02.950626953" cdn.contentful.com
192.168.97.55 3.125.212.229 55667 443 4293 6060 2950.852783203125 "1970-01-01 00:00:08.900685791" - partner-integration.ar.indazn.com partner-integration.ar.indazn.com - TLS "1970-01-01 00:00:02.950852783" ar.indazn.com
