CL_IP SV_IP CL_PR SV_PR UP_BY DW_BY TS_FP TS_LP CN_CL CN_SV CN_DQ HT_HN PROTO DT_FP CNAME
192.168.97.55 13.226.244.46 56528 443 15391 187800 792.820068359375 "1970-01-01 00:00:09.008720215" - - www.dazn.com - TLS "1970-01-01 00:00:00.792820068" www.dazn.com
192.168.97.55 142.250.181.227 56529 443 2386 7017 824.236083984375 "1970-01-01 00:00:09.008461182" - - clientservices.googleapis.com - TLS "1970-01-01 00:00:00.824236084" clientservices.googleapis.com
192.168.97.55 173.194.69.84 56530 443 1803 6542 966.455078125 "1970-01-01 00:00:09.020716064" accounts.google.com - accounts.google.com - TLS "1970-01-01 00:00:00.966455078" accounts.google.com
192.168.97.55 104.19.177.52 56531 443 1855 3792 1204.711181640625 "1970-01-01 00:00:09.003361084" cdn.cookielaw.org - cdn.cookielaw.org - TLS "1970-01-01 00:00:01.204711182" cdn.cookielaw.org
192.168.97.55 13.226.244.97 56532 443 1869 6198 1210.18017578125 "1970-01-01 00:00:09.008913086" - - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:01.210180176" acc.indazn.com
192.168.97.55 18.159.99.45 56533 443 3038 39632 1212.772216796875 "1970-01-01 00:00:09.020837158" - core.indazn.com startup.core.indazn.com - TLS "1970-01-01 00:00:01.212772217" core.indazn.com
192.168.97.55 18.65.65.76 56534 443 1791 6175 1232.571044921875 "1970-01-01 00:00:09.008695068" static.dazndn.com - static.dazndn.com - TLS "1970-01-01 00:00:01.232571045" static.dazndn.com
192.168.97.55 162.247.243.30 56535 443 13060 5837 1295.55322265625 "1970-01-01 00:00:09.003313232" - - bam-cell.nr-data.net - TLS "1970-01-01 00:00:01.295553223" nr.data.net
192.168.97.55 13.226.244.68 56536 443 4293 8188 1589.5791015625 "1970-01-01 00:00:09.015941162" - - user-profile.ar.indazn.com - TLS "1970-01-01 00:00:01.589579102" ar.indazn.com
192.168.97.55 34.104.33.69 56537 443 1787 4632 2087.65625 "1970-01-01 00:00:09.003373047" safe.dazn.com - safe.dazn.com - TLS "1970-01-01 00:00:02.087656250" safe.dazn.com
192.168.97.55 13.226.244.46 56538 443 1786 6223 2228.896240234375 "1970-01-01 00:00:09.008855225" www.dazn.com - www.dazn.com - TLS "1970-01-01 00:00:02.228896240" www.dazn.com
192.168.97.55 18.65.64.11 56539 443 2632 7028 2243.09423828125 "1970-01-01 00:00:09.010153076" - - pkg.fe.indazn.com - TLS "1970-01-01 00:00:02.243094238" fe.indazn.com
192.168.97.55 13.226.244.27 56540 443 1867 6179 2254.424072265625 "1970-01-01 00:00:09.008524170" - - youth-protection.dazn-api.com - TLS "1970-01-01 00:00:02.254424072" dazn.api.com
192.168.97.55 108.139.210.39 56541 443 4160 7780 2289.201904296875 "1970-01-01 00:00:09.008585205" authentication-prod.ar.indazn.com - authentication-prod.ar.indazn.com - TLS "1970-01-01 00:00:02.289201904" ar.indazn.com
192.168.97.55 18.65.82.14 56542 443 1903 6215 2319.049072265625 "1970-01-01 00:00:09.008625244" - - content-item.discovery.indazn.com - TLS "1970-01-01 00:00:02.319049072" discovery.indazn.com
192.168.97.55 18.65.82.123 56543 443 1833 6215 2319.361083984375 "1970-01-01 00:00:09.008565186" - - search.discovery.indazn.com - TLS "1970-01-01 00:00:02.319361084" discovery.indazn.com
192.168.97.55 108.139.210.118 56544 443 1800 6215 2333.174072265625 "1970-01-01 00:00:09.008605225" event.discovery.indazn.com - event.discovery.indazn.com - TLS "1970-01-01 00:00:02.333174072" discovery.indazn.com
192.168.97.55 18.65.82.120 56545 443 1897 6249 2338.186279296875 "1970-01-01 00:00:09.008765869" images.discovery.indazn.com - images.discovery.indazn.com - TLS "1970-01-01 00:00:02.338186279" discovery.indazn.com
192.168.97.55 52.29.115.83 56546 443 5886 5850 2340.814208984375 "1970-01-01 00:00:20.905787842" pubby.indazn.com pubby.indazn.com pubby.indazn.com - TLS "1970-01-01 00:00:02.340814209" pubby.indazn.com
192.168.97.55 18.65.82.84 56547 443 1850 6174 2342.550048828125 "1970-01-01 00:00:09.008742188" - - cdn.dazn.com - TLS "1970-01-01 00:00:02.342550049" cdn.dazn.com
192.168.97.55 142.250.186.78 56548 443 1840 7932 2618.963134765625 "1970-01-01 00:00:09.015986084" www.google-analytics.com - www.google-analytics.com - TLS "1970-01-01 00:00:02.618963135" google.analytics.com
192.168.97.55 18.65.82.9 56549 443 5547 7443 2726.145263671875 "1970-01-01 00:00:09.008667236" onboarding.indazn.com - onboarding.indazn.com - TLS "1970-01-01 00:00:02.726145264" onboarding.indazn.com
192.168.97.55 13.226.244.109 56550 443 4359 8582 2856.68310546875 "1970-01-01 00:00:09.008503174" - - subscriptions-service.ar.indazn.com - TLS "1970-01-01 00:00:02.856683105" ar.indazn.com
192.168.97.55 104.18.32.137 56551 443 3235 6138 2872.6640625 "1970-01-01 00:00:09.003629150" - - consent-api.onetrust.com - TLS "1970-01-01 00:00:02.872664062" api.onetrust.com
192.168.97.55 108.139.229.124 56552 443 5639 9177 2939.896240234375 "1970-01-01 00:00:09.008876221" ott-authz-bff-prod.ar.indazn.com - ott-authz-bff-prod.ar.indazn.com - TLS "1970-01-01 00:00:02.939896240" ar.indazn.com
192.168.97.55 18.196.114.141 56553 443 8436 10699 2941.154052734375 "1970-01-01 00:00:09.020898193" segmentation-service-api.discovery.indazn.com discovery.indazn.com segmentation-service-api.discovery.indazn.com - TLS "1970-01-01 00:00:02.941154053" discovery.indazn.com
192.168.97.55 108.139.210.110 56554 443 10937 151346 2941.3720703125 "1970-01-01 00:00:09.008645264" rail-router.discovery.indazn.com - rail-router.discovery.indazn.com - TLS "1970-01-01 00:00:02.941372070" discovery.indazn.com
192.168.97.55 151.101.242.49 56555 443 4442 8231 2946.441162109375 "1970-01-01 00:00:09.003383057" - cdn.contentful.com cdn.contentful.com - TLS "1970-01-01 00:00:02.946441162" cdn.contentful.com
192.168.97.55 108.139.229.123 56556 443 6356 17989 2946.7841796875 "1970-01-01 00:00:09.008894043" tiered-pricing-offer-service.ar.indazn.com - tiered-pricing-offer-service.ar.indazn.com - TLS "1970-01-01 00:00:02.946784180" ar.indazn.com
192.168.97.55 3.125.212.229 56557 443 5693 6060 2947.5751953125 "1970-01-01 00:00:09.020797852" partner-integration.ar.indazn.com partner-integration.ar.indazn.com partner-integration.ar.indazn.com - TLS "1970-01-01 00:00:02.947575195" ar.indazn.com
192.168.97.55 108.139.229.123 56558 443 0 0 3253.35986328125 "1970-01-01 00:00:18.800871094" - - tiered-pricing-offer-service.ar.indazn.com - Unknown "1970-01-01 00:00:03.253359863" ar.indazn.com
192.168.97.55 108.139.229.123 56559 443 0 0 3253.63720703125 "1970-01-01 00:00:19.136874268" - - tiered-pricing-offer-service.ar.indazn.com - Unknown "1970-01-01 00:00:03.253637207" ar.indazn.com
192.168.97.55 108.139.229.123 56560 443 0 0 3253.904052734375 "1970-01-01 00:00:19.015641846" - - tiered-pricing-offer-service.ar.indazn.com - Unknown "1970-01-01 00:00:03.253904053" ar.indazn.com
192.168.97.55 13.35.198.25 56561 443 4150 6821 3949.34326171875 "1970-01-01 00:00:09.010107178" - - wa.appsflyer.com - TLS "1970-01-01 00:00:03.949343262" wa.appsflyer.com
192.168.97.55 52.222.130.77 56562 443 4285 7885 4198.240234375 "1970-01-01 00:00:09.010173096" - - follow-shortcuts.discovery.indazn.com - TLS "1970-01-01 00:00:04.198240234" discovery.indazn.com
192.168.97.55 13.226.244.54 56563 443 4578 9300 4198.381103515625 "1970-01-01 00:00:09.008545898" - - favouritesv2.discovery.indazn.com - TLS "1970-01-01 00:00:04.198381104" discovery.indazn.com
192.168.97.55 108.139.229.5 56564 443 2764 7884 4238.359130859375 "1970-01-01 00:00:09.008931885" rails.discovery.indazn.com - rails.discovery.indazn.com - TLS "1970-01-01 00:00:04.238359131" discovery.indazn.com
192.168.97.55 52.28.226.137 56565 443 4531 5366 4256.592041015625 "1970-01-01 00:00:09.020859863" - - user-message.gateway.indazn.com - TLS "1970-01-01 00:00:04.256592041" gateway.indazn.com
192.168.97.55 3.64.160.211 56566 443 4089 6606 4259.513916015625 "1970-01-01 00:00:09.020775879" - - youth-protect.discovery.indazn.com - TLS "1970-01-01 00:00:04.259513916" discovery.indazn.com
192.168.97.55 3.123.135.7 56567 443 2439 6077 4263.490234375 "1970-01-01 00:00:09.020879883" experiments-api.acc.indazn.com - experiments-api.acc.indazn.com - TLS "1970-01-01 00:00:04.263490234" acc.indazn.com
192.168.97.55 52.29.115.83 56568 443 2743 10654 4470.877197265625 "1970-01-01 00:00:20.890459229" - - pubby.indazn.com - TLS "1970-01-01 00:00:04.470877197" pubby.indazn.com
192.168.97.55 18.185.163.139 56569 443 4290 8543 4524.628173828125 "1970-01-01 00:00:09.020817871" myaccount-bff.ar.indazn.com - myaccount-bff.ar.indazn.com - TLS "1970-01-01 00:00:04.524628174" ar.indazn.com
192.168.97.55 18.65.82.14 56570 443 2671 47006 5936.8798828125 "1970-01-01 00:00:09.010190186" image.discovery.indazn.com - image.discovery.indazn.com - TLS "1970-01-01 00:00:05.936879883" discovery.indazn.com
192.168.97.55 52.29.115.83 56571 443 4541 390 6416.917236328125 "1970-01-01 00:00:20.890409180" pubby.indazn.com - pubby.indazn.com - TLS "1970-01-01 00:00:06.416917236" pubby.indazn.com
192.168.97.55 142.250.185.195 56572 443 1838 6725 9120.033203125 "1970-01-01 00:01:09.904129149" update.googleapis.com - update.googleapis.com - TLS "1970-01-01 00:00:09.120033203" update.googleapis.com
192.168.97.55 18.154.161.6 56573 443 1897 6258 11204.478271484375 "1970-01-01 00:01:11.764423096" - - static.adsafeprotected.com - TLS "1970-01-01 00:00:11.204478271" static.adsafeprotected.com
192.168.97.55 162.247.243.30 56574 443 39178 5222 11286.723876953125 "1970-01-01 00:00:41.796665283" - - bam-cell.nr-data.net - TLS "1970-01-01 00:00:11.286723877" nr.data.net
192.168.97.55 104.18.24.111 56575 443 14177 12563 11687.037109375 "1970-01-01 00:07:34.858811279" expansioneggnog.com - expansioneggnog.com - TLS "1970-01-01 00:00:11.687037109" expansioneggnog.com
192.168.97.55 13.226.244.46 56576 443 172586 2369104 20488.917236328125 "1970-01-01 00:07:34.867847900" - - www.dazn.com - TLS "1970-01-01 00:00:20.488917236" www.dazn.com
192.168.97.55 151.101.241.91 56577 443 3002 5744 20607.811279296875 "1970-01-01 00:07:34.858707275" - - google-ohttp-relay-safebrowsing.fastly-edge.com - TLS "1970-01-01 00:00:20.607811279" fastly.edge.com
192.168.97.55 162.247.243.30 56578 443 75933 1678 20822.813232421875 "1970-01-01 00:00:32.013797852" bam-cell.nr-data.net - bam-cell.nr-data.net - TLS "1970-01-01 00:00:20.822813232" nr.data.net
192.168.97.55 162.247.243.30 56579 443 32418 4638 20826.44189453125 "1970-01-01 00:00:21.813025879" - - bam-cell.nr-data.net - TLS "1970-01-01 00:00:20.826441895" nr.data.net
